Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	89	1.0	0.01	8.835323063359958	89	0.000356
(0.08, 0.16)	0.08	0.16	284	1.0	0.03	9.397871722824824	373	0.001492
(0.16, 0.24)	0.16	0.24	473	1.0	0.05	9.391253503301709	846	0.003384
(0.24, 0.32)	0.24	0.32	695	1.0	0.07	9.85641978978358	1541	0.006164
(0.32, 0.4)	0.32	0.4	904	1.0	0.09	9.971450748161546	2445	0.00978
(0.4, 0.48)	0.4	0.48	1105	1.0	0.11	9.972453508695361	3550	0.0142
(0.48, 0.56)	0.48	0.56	1323	1.0	0.13	10.102966648941415	4873	0.019492
(0.56, 0.64)	0.56	0.64	1514	1.0	0.15000000000000002	10.019984357997739	6387	0.025548
(0.64, 0.72)	0.64	0.72	1616	1.0	0.16999999999999998	9.436802425901982	8003	0.032012
(0.72, 0.8)	0.72	0.8	1894	1.0	0.19	9.895979823775127	9897	0.039588
(0.8, 0.88)	0.8	0.88	2062	1.0	0.21000000000000002	9.747691897618113	11959	0.047836
(0.88, 0.96)	0.88	0.96	2344	1.0	0.22999999999999998	10.11724341012005	14303	0.057212
(0.96, 1.04)	0.96	1.04	2463	1.0	0.25	9.780404811260924	16766	0.067064
(1.04, 1.12)	1.04	1.12	2655	1.0	0.27	9.761873796596204	19421	0.077684
(1.12, 1.2)	1.12	1.2	2926	1.0	0.29000000000000004	10.01633292653672	22347	0.089388
(1.2, 1.28)	1.2	1.28	3132	1.0	0.31	10.029804941806223	25479	0.101916
(1.28, 1.36)	1.28	1.36	3288	1.0	0.33	9.891229905457102	28767	0.115068
(1.36, 1.44)	1.36	1.44	3471	1.0	0.35	9.845074270601117	32238	0.128952
(1.44, 1.52)	1.44	1.52	3605	1.0	0.37	9.672438397635174	35843	0.143372
(1.52, 1.6)	1.52	1.6	3942	1.0	0.39	10.03423898466289	39785	0.15914
(1.6, 1.68)	1.6	1.68	4111	1.0	0.41000000000000003	9.953963582754977	43896	0.175584
(1.68, 1.76)	1.68	1.76	4270	1.0	0.43	9.85806884780428	48166	0.192664
(1.76, 1.84)	1.76	1.84	4503	1.0	0.45	9.933947504197217	52669	0.210676
(1.84, 1.92)	1.84	1.92	4715	1.0	0.47	9.95901225047627	57384	0.229536
(1.92, 2.0)	1.92	2.0	4773	1.0	0.49	9.670029117499901	62157	0.248628
(2.0, 2.08)	2.0	2.08	5047	1.0	0.51	9.824162921519642	67204	0.268816
(2.08, 2.16)	2.08	2.16	5092	1.0	0.53	9.537728437275582	72296	0.289184
(2.16, 2.24)	2.16	2.24	5575	1.0	0.55	10.06270195673784	77871	0.311484
(2.24, 2.32)	2.24	2.32	5718	1.0	0.5700000000000001	9.958678745573112	83589	0.334356
(2.32, 2.4)	2.32	2.4	5871	1.0	0.59	9.878533937342658	89460	0.35784
(2.4, 2.48)	2.4	2.48	6046	1.0	0.61	9.839448009039279	95506	0.382024
(2.48, 2.56)	2.48	2.56	6169	1.0	0.63	9.720903866215014	101675	0.4067
(2.56, 2.64)	2.56	2.64	6392	1.0	0.65	9.762382890405672	108067	0.432268
(2.64, 2.72)	2.64	2.72	6688	1.0	0.67	9.90954899341796	114755	0.45902
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	6946	1.0	0.6900000000000001	9.993511479905267	121701	0.486804
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	7156	1.0	0.71	10.005629346637782	128857	0.515428
(2.88, 2.96)	2.88	2.96	7172	1.0	0.73	9.753261045162017	136029	0.544116
(2.96, 3.04)	2.96	3.04	7532	1.0	0.75	9.969685889622045	143561	0.574244
(3.04, 3.12)	3.04	3.12	7634	1.0	0.77	9.842237890805459	151195	0.60478
(3.12, 3.2)	3.12	3.2	7868	1.0	0.79	9.887117317951358	159063	0.636252
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	8161	1.0	0.81	10.002090653361169	167224	0.668896
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	8315	1.0	0.8300000000000001	9.945270241212741	175539	0.702156
(3.36, 3.44)	3.36	3.44	8423	1.0	0.85	9.837399360565877	183962	0.735848
(3.44, 3.52)	3.44	3.52	8660	1.0	0.87	9.881686391411227	192622	0.770488
(3.52, 3.6)	3.52	3.6	8888	1.0	0.89	9.91394412159363	201510	0.80604
(3.6, 3.68)	3.6	3.68	9036	1.0	0.91	9.857510705089592	210546	0.842184
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	9354	1.0	0.93	9.984971841810895	219900	0.8796
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	9523	1.0	0.95	9.951363871363371	229423	0.917692
(3.84, 3.92)	3.84	3.92	9516	1.0	0.97	9.739017059067935	238939	0.955756
(3.92, 4.0)	3.92	4.0	11061	1.0	0.99	11.091534264422235	250000	1.0
(5.0, 5.06)	5.0	5.06	4053	-1.0	1.2574999999999998	-4.266185881063953	4053	0.016212
(5.06, 5.12)	5.06	5.12	3957	-1.0	1.2725	-4.1160384523332185	8010	0.03204
(5.12, 5.18)	5.12	5.18	4002	-1.0	1.2875	-4.114347888390018	12012	0.048048
(5.18, 5.24)	5.18	5.24	3955	-1.0	1.3025	-4.0192027967637305	15967	0.063868
(5.24, 5.3)	5.24	5.3	4095	-1.0	1.3175	-4.114096234863067	20062	0.080248
(5.3, 5.36)	5.3	5.36	4160	-1.0	1.3325	-4.132351702238297	24222	0.096888
(5.36, 5.42)	5.36	5.42	4025	-1.0	1.3475000000000001	-3.9537415332901507	28247	0.112988
(5.42, 5.48)	5.42	5.48	4172	-1.0	1.3625	-4.053021923000384	32419	0.129676
(5.48, 5.54)	5.48	5.54	4245	-1.0	1.3775	-4.079033303176456	36664	0.146656
(5.54, 5.6)	5.54	5.6	4206	-1.0	1.3925	-3.9980224508763267	40870	0.16348
(5.6, 5.66)	5.6	5.66	4245	-1.0	1.4075	-3.992091207904436	45115	0.18046
(5.66, 5.72)	5.66	5.72	4454	-1.0	1.4224999999999999	-4.144470967445945	49569	0.198276
(5.72, 5.78)	5.72	5.78	4410	-1.0	1.4375	-4.06070930044406	53979	0.215916
(5.78, 5.84)	5.78	5.84	4528	-1.0	1.4525000000000001	-4.126306093035427	58507	0.234028
(5.84, 5.9)	5.84	5.9	4550	-1.0	1.4675	-4.103972583329178	63057	0.252228
(5.9, 5.96)	5.9	5.96	4602	-1.0	1.4825	-4.108876390607796	67659	0.270636
(5.96, 6.02)	5.96	6.02	4516	-1.0	1.4975	-3.9917034212210236	72175	0.2887
(6.02, 6.08)	6.02	6.08	4486	-1.0	1.5125	-3.9258621858774814	76661	0.306644
(6.08, 6.14)	6.08	6.14	4646	-1.0	1.5274999999999999	-4.025957172425194	81307	0.325228
(6.14, 6.2)	6.14	6.2	4614	-1.0	1.5425	-3.9593471480916986	85921	0.343684
(6.2, 6.26)	6.2	6.26	4632	-1.0	1.5575	-3.936512723091365	90553	0.362212
(6.26, 6.32)	6.26	6.32	4711	-1.0	1.5725	-3.965460371815505	95264	0.381056
(6.32, 6.38)	6.32	6.38	4884	-1.0	1.5875	-4.07223737334163	100148	0.400592
(6.38, 6.4399999999999995)	6.38	6.4399999999999995	4900	-1.0	1.6025	-4.047335496195838	105048	0.420192
(6.4399999999999995, 6.5)	6.4399999999999995	6.5	4918	-1.0	1.6175	-4.024532131645682	109966	0.439864
(6.5, 6.5600000000000005)	6.5	6.5600000000000005	5030	-1.0	1.6325	-4.078363761258628	114996	0.459984
(6.5600000000000005, 6.62)	6.5600000000000005	6.62	5127	-1.0	1.6475	-4.119163762672683	120123	0.480492
