Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	100	1.0	0.01	9.92732928467411	100	0.0004
(0.08, 0.16)	0.08	0.16	289	1.0	0.03	9.563327210902726	389	0.001556
(0.16, 0.24)	0.16	0.24	458	1.0	0.05	9.093433624761486	847	0.003388
(0.24, 0.32)	0.24	0.32	691	1.0	0.07	9.799692193871154	1538	0.006152
(0.32, 0.4)	0.32	0.4	921	1.0	0.09	10.15896696798317	2459	0.009836
(0.4, 0.48)	0.4	0.48	1092	1.0	0.11	9.85513052624012	3551	0.014204
(0.48, 0.56)	0.48	0.56	1260	1.0	0.13	9.621872998991824	4811	0.019244
(0.56, 0.64)	0.56	0.64	1414	1.0	0.15000000000000002	9.35816240568613	6225	0.0249
(0.64, 0.72)	0.64	0.72	1696	1.0	0.16999999999999998	9.903970862827824	7921	0.031684
(0.72, 0.8)	0.72	0.8	1858	1.0	0.19	9.707883058381302	9779	0.039116
(0.8, 0.88)	0.8	0.88	2091	1.0	0.21000000000000002	9.884783587739804	11870	0.04748
(0.88, 0.96)	0.88	0.96	2374	1.0	0.22999999999999998	10.246730313833192	14244	0.056976
(0.96, 1.04)	0.96	1.04	2485	1.0	0.25	9.867765308966057	16729	0.066916
(1.04, 1.12)	1.04	1.12	2755	1.0	0.27	10.12955265899154	19484	0.077936
(1.12, 1.2)	1.12	1.2	2797	1.0	0.29000000000000004	9.574737934218456	22281	0.089124
(1.2, 1.28)	1.2	1.28	3157	1.0	0.31	10.109864048940691	25438	0.101752
(1.28, 1.36)	1.28	1.36	3381	1.0	0.33	10.171000094388825	28819	0.115276
(1.36, 1.44)	1.36	1.44	3447	1.0	0.35	9.777001155506209	32266	0.129064
(1.44, 1.52)	1.44	1.52	3707	1.0	0.37	9.946110718455921	35973	0.143892
(1.52, 1.6)	1.52	1.6	3932	1.0	0.39	10.008784294189367	39905	0.15962
(1.6, 1.68)	1.6	1.68	3998	1.0	0.41000000000000003	9.680356702470057	43903	0.175612
