Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.02)	0.0	0.02	50	1.0	0.01	0.3978833788959494	50	0.00025
(0.02, 0.04)	0.02	0.04	137	1.0	0.03	0.36340015272496706	187	0.000935
(0.04, 0.06)	0.04	0.06	247	1.0	0.05	0.39310877834919794	434	0.00217
(0.06, 0.08)	0.06	0.08	300	1.0	0.07	0.341042896196528	734	0.00367
(0.08, 0.1)	0.08	0.1	437	1.0	0.09	0.3863889701722885	1171	0.005855
(0.1, 0.12)	0.1	0.12	495	1.0	0.11	0.35809504100635464	1666	0.00833
(0.12, 0.14)	0.12	0.14	579	1.0	0.13	0.3544222713550069	2245	0.011225
(0.14, 0.16)	0.14	0.16	710	1.0	0.15000000000000002	0.37666293202149886	2955	0.014775
(0.16, 0.18)	0.16	0.18	849	1.0	0.16999999999999998	0.3974152808031309	3804	0.01902
(0.18, 0.2)	0.18	0.2	908	1.0	0.19	0.38029274530265433	4712	0.02356
(0.2, 0.22)	0.2	0.22	1080	1.0	0.21000000000000002	0.4092514754358342	5792	0.02896
(0.22, 0.24)	0.22	0.24	1163	1.0	0.22999999999999998	0.40238119100520797	6955	0.034775
(0.24, 0.26)	0.24	0.26	1227	1.0	0.25	0.39056232472426355	8182	0.04091
(0.26, 0.28)	0.26	0.28	1429	1.0	0.27	0.4211669247720825	9611	0.048055
(0.28, 0.3)	0.28	0.3	1575	1.0	0.29000000000000004	0.4321836701800836	11186	0.05593
(0.3, 0.32)	0.3	0.32	1659	1.0	0.31	0.42586356489572874	12845	0.064225
(0.32, 0.34)	0.32	0.34	1807	1.0	0.33	0.43574258525150283	14652	0.07326
(0.34, 0.36)	0.34	0.36	1974	1.0	0.35	0.4488124513946319	16626	0.08313
(0.36, 0.38)	0.36	0.38	2110	1.0	0.37	0.4538021240380826	18736	0.09368
(0.38, 0.4)	0.38	0.4	2313	1.0	0.39	0.4719509001981176	21049	0.105245
(0.4, 0.42)	0.4	0.42	2439	1.0	0.41000000000000003	0.4733841761596215	23488	0.11744
(0.42, 0.44)	0.42	0.44	2652	1.0	0.43	0.4907845213172356	26140	0.1307
(0.44, 0.46)	0.44	0.46	2738	1.0	0.45	0.4841798628520482	28878	0.14439
(0.46, 0.48)	0.46	0.48	2925	1.0	0.47	0.49523782266836297	31803	0.159015
(0.48, 0.5)	0.48	0.5	3140	1.0	0.49	0.5099403305033798	34943	0.174715
(0.5, 0.52)	0.5	0.52	3387	1.0	0.51	0.5284827467923838	38330	0.19165
(0.52, 0.54)	0.52	0.54	3647	1.0	0.53	0.5475776161635953	41977	0.209885
(0.54, 0.56)	0.54	0.56	3734	1.0	0.55	0.5402532861081722	45711	0.228555
(0.56, 0.58)	0.56	0.58	3954	1.0	0.5700000000000001	0.552010835141961	49665	0.248325
(0.58, 0.6)	0.58	0.6	4159	1.0	0.59	0.5609481263824586	53824	0.26912
(0.6, 0.62)	0.6	0.62	4445	1.0	0.61	0.5798661046532763	58269	0.291345
(0.62, 0.64)	0.62	0.64	4791	1.0	0.63	0.6051616724731725	63060	0.3153
(0.64, 0.66)	0.64	0.66	4949	1.0	0.65	0.6058845668172467	68009	0.340045
(0.66, 0.68)	0.66	0.68	5249	1.0	0.67	0.6234298077089059	73258	0.36629
(0.68, 0.7000000000000001)	0.68	0.7000000000000001	5500	1.0	0.6900000000000001	0.6343068359210784	78758	0.39379
(0.7000000000000001, 0.72)	0.7000000000000001	0.72	5789	1.0	0.71	0.6488301071630033	84547	0.422735
(0.72, 0.74)	0.72	0.74	6139	1.0	0.73	0.6692071405595159	90686	0.45343
(0.74, 0.76)	0.74	0.76	6298	1.0	0.75	0.6682318720764499	96984	0.48492
(0.76, 0.78)	0.76	0.78	6728	1.0	0.77	0.6953141229121931	103712	0.51856
(0.78, 0.8)	0.78	0.8	6928	1.0	0.79	0.6978572275926914	110640	0.5532
(0.8, 0.8200000000000001)	0.8	0.8200000000000001	7472	1.0	0.81	0.734070273360626	118112	0.59056
(0.8200000000000001, 0.84)	0.8200000000000001	0.84	7587	1.0	0.8300000000000001	0.7274075170321898	125699	0.628495
(0.84, 0.86)	0.84	0.86	7837	1.0	0.85	0.73369695068413	133536	0.66768
(0.86, 0.88)	0.86	0.88	8361	1.0	0.87	0.764759294471041	141897	0.709485
(0.88, 0.9)	0.88	0.9	8744	1.0	0.89	0.7818184865317245	150641	0.753205
(0.9, 0.92)	0.9	0.92	8997	1.0	0.91	0.7867597274564523	159638	0.79819
(0.92, 0.9400000000000001)	0.92	0.9400000000000001	9468	1.0	0.93	0.8101418992229755	169106	0.84553
(0.9400000000000001, 0.96)	0.9400000000000001	0.96	9891	1.0	0.95	0.8285188422441799	178997	0.894985
(0.96, 0.98)	0.96	0.98	10304	1.0	0.97	0.84531759508121	189301	0.946505
(0.98, 1.0)	0.98	1.0	10699	1.0	0.99	0.8599907617793443	200000	1.0
