Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.008)	0.0	0.008	54	1.0	0.01	268573.9664675734	54	0.0003374957813027337
(0.008, 0.016)	0.008	0.016	157	1.0	0.03	260284.64651487052	211	0.001318733515831052
(0.016, 0.024)	0.016	0.024	279	1.0	0.049999999999999996	277526.4320164925	490	0.0030624617192285095
(0.024, 0.032)	0.024	0.032	373	1.0	0.06999999999999999	265021.4007735579	863	0.005393682578967763
(0.032, 0.04)	0.032	0.04	471	1.0	0.09000000000000001	260284.64651487046	1334	0.008337395782552718
(0.04, 0.048)	0.04	0.048	624	1.0	0.10999999999999999	282138.30820835993	1958	0.012237347033162085
(0.048, 0.056)	0.048	0.056	686	1.0	0.13	262452.6225025004	2644	0.016524793440081998
(0.056, 0.064)	0.056	0.064	826	1.0	0.15	273879.1312373034	3470	0.02168722890963863
(0.064, 0.07200000000000001)	0.064	0.07200000000000001	913	1.0	0.17	267111.14529944904	4383	0.02739340758240522
(0.07200000000000001, 0.08)	0.07200000000000001	0.08	1033	1.0	0.19000000000000003	270406.34245711844	5416	0.033849576880288994
(0.08, 0.088)	0.08	0.088	1190	1.0	0.20999999999999996	281836.87839189824	6606	0.041286983912701095
(0.088, 0.096)	0.088	0.096	1270	1.0	0.22999999999999998	274628.77408519964	7876	0.04922438469519131
(0.096, 0.10400000000000001)	0.096	0.10400000000000001	1414	1.0	0.25	281306.3619149246	9290	0.058061774227822154
(0.10400000000000001, 0.112)	0.10400000000000001	0.112	1520	1.0	0.27	279994.8072912976	10810	0.06756165547930651
(0.112, 0.12)	0.112	0.12	1675	1.0	0.29	287267.81215401395	12485	0.07803027462156722
(0.12, 0.128)	0.12	0.128	1792	1.0	0.31	287505.70364987553	14277	0.0892301346233172
(0.128, 0.136)	0.128	0.136	1942	1.0	0.33	292688.35178452684	16219	0.10136748290646366
(0.136, 0.14400000000000002)	0.136	0.14400000000000002	1964	1.0	0.35000000000000003	279089.56092185905	18183	0.11364232947088161
(0.14400000000000002, 0.152)	0.14400000000000002	0.152	2220	1.0	0.37000000000000005	298415.5182973044	20403	0.12751715603554956
(0.152, 0.16)	0.152	0.16	2314	1.0	0.38999999999999996	295099.7903162224	22717	0.1419794752565593
(0.16, 0.168)	0.16	0.168	2413	1.0	0.41	292714.0835981275	25130	0.1570605367432907
(0.168, 0.176)	0.168	0.176	2685	1.0	0.42999999999999994	310560.33590242726	27815	0.17384157698028774
(0.176, 0.184)	0.176	0.184	2804	1.0	0.44999999999999996	309910.0419650517	30619	0.191366357920526
(0.184, 0.192)	0.184	0.192	2854	1.0	0.47	302013.4358937957	33473	0.20920363495456307
(0.192, 0.2)	0.192	0.2	3052	1.0	0.49	309783.7285181528	36525	0.2282783965200435
(0.2, 0.20800000000000002)	0.2	0.20800000000000002	3118	1.0	0.51	304071.76014738315	39643	0.2477656529293384
(0.20800000000000002, 0.216)	0.20800000000000002	0.216	3262	1.0	0.53	306110.5096496255	42905	0.2681528980887739
(0.216, 0.224)	0.216	0.224	3365	1.0	0.5499999999999999	304293.39971831045	46270	0.289183885201435
(0.224, 0.232)	0.224	0.232	3635	1.0	0.57	317175.55819026305	49905	0.3119023512206097
(0.232, 0.24)	0.232	0.24	3766	1.0	0.59	317466.90449368575	53671	0.3354395570055374
(0.24, 0.248)	0.24	0.248	3882	1.0	0.61	316516.13170222234	57553	0.3597017537280784
(0.248, 0.256)	0.248	0.256	4011	1.0	0.63	316652.0221932501	61564	0.38477019037262034
(0.256, 0.264)	0.256	0.264	4112	1.0	0.65	314637.07980474614	65676	0.4104698691266359
(0.264, 0.272)	0.264	0.272	4306	1.0	0.67	319646.07507168903	69982	0.4373820327245909
(0.272, 0.28)	0.272	0.28	4477	1.0	0.6900000000000001	322706.82981087634	74459	0.46536293296333797
(0.28, 0.28800000000000003)	0.28	0.28800000000000003	4693	1.0	0.7100000000000001	328747.4242650809	79152	0.4946938163272959
(0.28800000000000003, 0.296)	0.28800000000000003	0.296	4821	1.0	0.7300000000000001	328461.464317651	83973	0.5248246896913789
(0.296, 0.304)	0.296	0.304	5017	1.0	0.7499999999999999	332700.145621682	88990	0.5561805477431532
(0.304, 0.312)	0.304	0.312	5123	1.0	0.7699999999999999	330905.3463716638	94113	0.5881988975137811
(0.312, 0.32)	0.312	0.32	5174	1.0	0.7899999999999999	325738.7957110228	99287	0.6205359933000838
(0.32, 0.328)	0.32	0.328	5536	1.0	0.8099999999999999	339923.52043083764	104823	0.65513556080549
(0.328, 0.336)	0.328	0.336	5676	1.0	0.83	340121.7835051199	110499	0.6906101173735328
(0.336, 0.34400000000000003)	0.336	0.34400000000000003	5788	1.0	0.85	338672.3568440764	116287	0.726784665191685
(0.34400000000000003, 0.352)	0.34400000000000003	0.352	5774	1.0	0.8699999999999999	330086.4372890122	122061	0.7628717141035737
(0.352, 0.36)	0.352	0.36	6067	1.0	0.8899999999999999	339042.499908191	128128	0.8007899901251234
(0.36, 0.368)	0.36	0.368	6123	1.0	0.9099999999999999	334651.6883762624	134251	0.8390582617717278
(0.368, 0.376)	0.368	0.376	6342	1.0	0.9299999999999999	339166.88477446174	140593	0.8786952663091712
(0.376, 0.384)	0.376	0.384	6427	1.0	0.95	336476.5852801352	147020	0.9188635142060724
(0.384, 0.392)	0.384	0.392	6528	1.0	0.97	334717.6122757376	153548	0.9596630042124473
(0.392, 0.4)	0.392	0.4	6454	1.0	0.99	324238.0059075414	160002	1.0
