Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.02)	0.0	0.02	96	1.0	0.01	76394.37268410977	96	0.00048
(0.02, 0.04)	0.02	0.04	261	1.0	0.03	69232.40024497447	357	0.001785
(0.04, 0.06)	0.04	0.06	414	1.0	0.05	65890.14644004467	771	0.003855
(0.06, 0.08)	0.06	0.08	529	1.0	0.07	60137.83206829472	1300	0.0065
(0.08, 0.1)	0.08	0.1	623	1.0	0.09	55085.29419236153	1923	0.009615
(0.1, 0.12)	0.1	0.12	828	1.0	0.11	59900.13312731337	2751	0.013755
(0.12, 0.14)	0.12	0.14	1072	1.0	0.13	65620.80730558142	3823	0.019115
(0.14, 0.16)	0.14	0.16	1162	1.0	0.15000000000000002	61646.01462426082	4985	0.024925
(0.16, 0.18)	0.16	0.18	1352	1.0	0.16999999999999998	63287.495017718415	6337	0.031685
(0.18, 0.2)	0.18	0.2	1472	1.0	0.19	61651.599008228855	7809	0.039045
(0.2, 0.22)	0.2	0.22	1585	1.0	0.21000000000000002	60062.04400015581	9394	0.04697
(0.22, 0.24)	0.22	0.24	1708	1.0	0.22999999999999998	59094.92234803418	11102	0.05551
(0.24, 0.26)	0.24	0.26	1960	1.0	0.25	62388.737692022914	13062	0.06531
(0.26, 0.28)	0.26	0.28	2067	1.0	0.27	60920.97543906436	15129	0.075645
(0.28, 0.3)	0.28	0.3	2392	1.0	0.29000000000000004	65637.6937716921	17521	0.087605
(0.3, 0.32)	0.3	0.32	2389	1.0	0.31	61325.993394602854	19910	0.09955
(0.32, 0.34)	0.32	0.34	2658	1.0	0.33	64096.036172463224	22568	0.11284
(0.34, 0.36)	0.34	0.36	2693	1.0	0.35	61229.180249496436	25261	0.126305
(0.36, 0.38)	0.36	0.38	3044	1.0	0.37	65468.600915098534	28305	0.141525
(0.38, 0.4)	0.38	0.4	2959	1.0	0.39	60376.855975502236	31264	0.15632
(0.4, 0.42)	0.4	0.42	3165	1.0	0.41000000000000003	61429.926205591524	34429	0.172145
(0.42, 0.44)	0.42	0.44	3371	1.0	0.43	62385.036414276576	37800	0.189
(0.44, 0.46)	0.44	0.46	3519	1.0	0.45	62229.582748931025	41319	0.206595
(0.46, 0.48)	0.46	0.48	3790	1.0	0.47	64169.91854449829	45109	0.225545
(0.48, 0.5)	0.48	0.5	3964	1.0	0.49	64376.5504506401	49073	0.245365
(0.5, 0.52)	0.5	0.52	4005	1.0	0.51	62491.72030225882	53078	0.26539
(0.52, 0.54)	0.52	0.54	4197	1.0	0.53	63016.34869402687	57275	0.286375
(0.54, 0.56)	0.54	0.56	4224	1.0	0.55	61115.49814728776	61499	0.307495
(0.56, 0.58)	0.56	0.58	4493	1.0	0.5700000000000001	62726.592922095435	65992	0.32996
(0.58, 0.6)	0.58	0.6	4711	1.0	0.59	63540.58787338294	70703	0.353515
(0.6, 0.62)	0.6	0.62	4814	1.0	0.61	62800.97508560518	75517	0.377585
(0.62, 0.64)	0.62	0.64	5052	1.0	0.63	63813.553373036135	80569	0.402845
(0.64, 0.66)	0.64	0.66	5298	1.0	0.65	64861.76065391237	85867	0.429335
(0.66, 0.68)	0.66	0.68	5345	1.0	0.67	63483.81871837157	91212	0.45606
(0.68, 0.7000000000000001)	0.68	0.7000000000000001	5588	1.0	0.6900000000000001	64446.218985326865	96800	0.484
(0.7000000000000001, 0.72)	0.7000000000000001	0.72	5726	1.0	0.71	64177.5495876195	102526	0.51263
(0.72, 0.74)	0.72	0.74	5873	1.0	0.73	64021.71101223981	108399	0.541995
(0.74, 0.76)	0.74	0.76	6004	1.0	0.75	63704.41855491592	114403	0.572015
(0.76, 0.78)	0.76	0.78	6220	1.0	0.77	64282.061430622554	120623	0.603115
(0.78, 0.8)	0.78	0.8	6312	1.0	0.79	63581.39245544564	126935	0.634675
(0.8, 0.8200000000000001)	0.8	0.8200000000000001	6533	1.0	0.81	64182.66933452795	133468	0.66734
(0.8200000000000001, 0.84)	0.8200000000000001	0.84	6715	1.0	0.8300000000000001	64381.05077482435	140183	0.700915
(0.84, 0.86)	0.84	0.86	6690	1.0	0.85	62632.15113439875	146873	0.734365
(0.86, 0.88)	0.86	0.88	7218	1.0	0.87	66021.86087570683	154091	0.770455
(0.88, 0.9)	0.88	0.9	7223	1.0	0.89	64582.929997345935	161314	0.80657
(0.9, 0.92)	0.9	0.92	7366	1.0	0.91	64414.02806675283	168680	0.8434
(0.92, 0.9400000000000001)	0.92	0.9400000000000001	7651	1.0	0.93	65467.44460194017	176331	0.881655
(0.9400000000000001, 0.96)	0.9400000000000001	0.96	7621	1.0	0.95	63837.88533175476	183952	0.91976
(0.96, 0.98)	0.96	0.98	7918	1.0	0.97	64958.187598022116	191870	0.95935
(0.98, 1.0)	0.98	1.0	8130	1.0	0.99	65349.98420894478	200000	1.0
