Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.008)	0.0	0.008	9	1.0	0.01	44762.32774459557	9	5.624929688378895e-05
(0.008, 0.016)	0.008	0.016	55	1.0	0.03	91182.51947973171	64	0.0003999950000624992
(0.016, 0.024)	0.016	0.024	70	1.0	0.049999999999999996	69630.28760270421	134	0.0008374895313808578
(0.024, 0.032)	0.024	0.032	117	1.0	0.06999999999999999	83130.0372399632	251	0.0015687303908701142
(0.032, 0.04)	0.032	0.04	147	1.0	0.09000000000000001	81235.33553648823	398	0.002487468906638667
(0.04, 0.048)	0.04	0.048	177	1.0	0.10999999999999999	80029.61627064056	575	0.0035937050786865165
(0.048, 0.056)	0.048	0.056	239	1.0	0.13	91437.57547827638	814	0.0050874364070449115
(0.056, 0.064)	0.056	0.064	249	1.0	0.15	82561.62672892075	1063	0.006643666954163073
(0.064, 0.07200000000000001)	0.064	0.07200000000000001	326	1.0	0.17	95375.94016168716	1389	0.008681141485731429
(0.07200000000000001, 0.08)	0.07200000000000001	0.08	331	1.0	0.19000000000000003	86645.20750562071	1720	0.010749865626679667
(0.08, 0.088)	0.08	0.088	410	1.0	0.20999999999999996	97103.462303091	2130	0.013312333595830053
(0.088, 0.096)	0.088	0.096	430	1.0	0.22999999999999998	92984.54555640618	2560	0.015999800002499967
(0.096, 0.10400000000000001)	0.096	0.10400000000000001	502	1.0	0.25	99869.72679016418	3062	0.019137260784240197
(0.10400000000000001, 0.112)	0.10400000000000001	0.112	533	1.0	0.27	98182.38966201422	3595	0.022468469144135698
(0.112, 0.12)	0.112	0.12	605	1.0	0.29	103759.4187183155	4200	0.026249671879101513
(0.12, 0.128)	0.12	0.128	703	1.0	0.31	112788.23084032505	4903	0.030643366957913025
(0.128, 0.136)	0.128	0.136	788	1.0	0.33	118763.3476859975	5691	0.03556830539618255
(0.136, 0.14400000000000002)	0.136	0.14400000000000002	803	1.0	0.35000000000000003	114108.41009177841	6494	0.04058699266259172
(0.14400000000000002, 0.152)	0.14400000000000002	0.152	952	1.0	0.37000000000000005	127969.17721578099	7446	0.04653691828852139
(0.152, 0.16)	0.152	0.16	1103	1.0	0.38999999999999996	140663.38319740418	8549	0.05343058211772353
(0.16, 0.168)	0.16	0.168	1149	1.0	0.41	139381.8823266674	9698	0.06061174235322059
(0.168, 0.176)	0.168	0.176	1310	1.0	0.42999999999999994	151521.05774010415	11008	0.06879914001074987
(0.176, 0.184)	0.176	0.184	1472	1.0	0.44999999999999996	162691.71960504854	12480	0.07799902501218735
(0.184, 0.192)	0.184	0.192	1660	1.0	0.47	175663.0355934481	14140	0.08837389532630842
(0.192, 0.2)	0.192	0.2	1853	1.0	0.49	188082.97802887848	15993	0.09995500056249297
(0.2, 0.20800000000000002)	0.2	0.20800000000000002	2037	1.0	0.51	198651.1146312442	18030	0.1126860914238572
(0.20800000000000002, 0.216)	0.20800000000000002	0.216	2112	1.0	0.53	198192.94800122903	20142	0.12588592642591967
(0.216, 0.224)	0.216	0.224	2451	1.0	0.5499999999999999	221641.34404445137	22593	0.1412044849439382
(0.224, 0.232)	0.224	0.232	2551	1.0	0.57	222590.05472994802	25144	0.15714803564955437
(0.232, 0.24)	0.232	0.24	2863	1.0	0.59	241345.65787717002	28007	0.17504156198047524
(0.24, 0.248)	0.24	0.248	3132	1.0	0.61	255365.4107396601	31139	0.1946163172960338
(0.248, 0.256)	0.248	0.256	3421	1.0	0.63	270073.938649491	34560	0.2159973000337496
(0.256, 0.264)	0.256	0.264	3629	1.0	0.65	277679.4656156186	38189	0.2386782665216685
(0.264, 0.272)	0.264	0.272	3956	1.0	0.67	293664.6244736651	42145	0.2634029574630317
(0.272, 0.28)	0.272	0.28	4281	1.0	0.6900000000000001	308578.94536974793	46426	0.2901588730140873
(0.28, 0.28800000000000003)	0.28	0.28800000000000003	4599	1.0	0.7100000000000001	322162.66869701835	51025	0.3189022637217035
(0.28800000000000003, 0.296)	0.28800000000000003	0.296	4902	1.0	0.7300000000000001	333980.107464245	55927	0.34953938075774055
(0.296, 0.304)	0.296	0.304	5271	1.0	0.7499999999999999	349544.0437655742	61198	0.38248271896601294
(0.304, 0.312)	0.304	0.312	5709	1.0	0.7699999999999999	368756.31903881097	66907	0.41816352295596304
(0.312, 0.32)	0.312	0.32	6228	1.0	0.7899999999999999	392095.3265729127	73135	0.457088036399545
(0.32, 0.328)	0.32	0.328	6691	1.0	0.8099999999999999	410843.2578039622	79826	0.4989062636717041
(0.328, 0.336)	0.328	0.336	7097	1.0	0.83	425272.0749710775	86923	0.5432619592255097
(0.336, 0.34400000000000003)	0.336	0.34400000000000003	7762	1.0	0.85	454176.71627915016	94685	0.5917738528268397
(0.34400000000000003, 0.352)	0.34400000000000003	0.352	8332	1.0	0.8699999999999999	476321.4747994544	103017	0.6438482018974763
(0.352, 0.36)	0.352	0.36	8784	1.0	0.8899999999999999	490876.7626823059	111801	0.6987475156560543
(0.36, 0.368)	0.36	0.368	9228	1.0	0.9099999999999999	504355.0188365424	121029	0.7564217947275659
(0.368, 0.376)	0.368	0.376	9642	1.0	0.9299999999999999	515649.180541684	130671	0.8166835414557319
(0.376, 0.384)	0.376	0.384	9810	1.0	0.95	513588.81306957	140481	0.8779952750590617
(0.384, 0.392)	0.384	0.392	10175	1.0	0.97	521714.41557990666	150656	0.9415882301471231
(0.392, 0.4)	0.392	0.4	9346	1.0	0.99	469527.1774421881	160002	1.0
(0.5, 0.506)	0.5	0.506	0	0.0	1.2574999999999998	0.0	0	0.0
(0.506, 0.512)	0.506	0.512	0	0.0	1.2725	0.0	0	0.0
(0.512, 0.518)	0.512	0.518	0	0.0	1.2874999999999999	0.0	0	0.0
(0.518, 0.524)	0.518	0.524	0	0.0	1.3025	0.0	0	0.0
(0.524, 0.53)	0.524	0.53	0	0.0	1.3175	0.0	0	0.0
(0.53, 0.536)	0.53	0.536	0	0.0	1.3325	0.0	0	0.0
(0.536, 0.542)	0.536	0.542	0	0.0	1.3475	0.0	0	0.0
(0.542, 0.548)	0.542	0.548	0	0.0	1.3625	0.0	0	0.0
(0.548, 0.554)	0.548	0.554	0	0.0	1.3775	0.0	0	0.0
(0.554, 0.56)	0.554	0.56	0	0.0	1.3925	0.0	0	0.0
(0.56, 0.5660000000000001)	0.56	0.5660000000000001	0	0.0	1.4075	0.0	0	0.0
(0.5660000000000001, 0.5720000000000001)	0.5660000000000001	0.5720000000000001	0	0.0	1.4225	0.0	0	0.0
(0.5720000000000001, 0.5780000000000001)	0.5720000000000001	0.5780000000000001	0	0.0	1.4375	0.0	0	0.0
(0.5780000000000001, 0.5840000000000001)	0.5780000000000001	0.5840000000000001	0	0.0	1.4525000000000001	0.0	0	0.0
(0.5840000000000001, 0.59)	0.5840000000000001	0.59	0	0.0	1.4674999999999998	0.0	0	0.0
(0.59, 0.596)	0.59	0.596	0	0.0	1.4825	0.0	0	0.0
(0.596, 0.602)	0.596	0.602	0	0.0	1.4974999999999998	0.0	0	0.0
(0.602, 0.608)	0.602	0.608	0	0.0	1.5125	0.0	0	0.0
(0.608, 0.614)	0.608	0.614	0	0.0	1.5274999999999999	0.0	0	0.0
(0.614, 0.62)	0.614	0.62	0	0.0	1.5425	0.0	0	0.0
(0.62, 0.626)	0.62	0.626	0	0.0	1.5574999999999999	0.0	0	0.0
(0.626, 0.632)	0.626	0.632	0	0.0	1.5725	0.0	0	0.0
(0.632, 0.638)	0.632	0.638	0	0.0	1.5875	0.0	0	0.0
(0.638, 0.644)	0.638	0.644	0	0.0	1.6025	0.0	0	0.0
(0.644, 0.65)	0.644	0.65	0	0.0	1.6175	0.0	0	0.0
(0.65, 0.656)	0.65	0.656	0	0.0	1.6325	0.0	0	0.0
(0.656, 0.662)	0.656	0.662	0	0.0	1.6475	0.0	0	0.0
(0.662, 0.668)	0.662	0.668	0	0.0	1.6625	0.0	0	0.0
(0.668, 0.674)	0.668	0.674	0	0.0	1.6775	0.0	0	0.0
(0.674, 0.68)	0.674	0.68	0	0.0	1.6925000000000001	0.0	0	0.0
(0.68, 0.686)	0.68	0.686	80001	0.0	1.7075	0.0	80001	0.5
(0.686, 0.6920000000000001)	0.686	0.6920000000000001	0	0.0	1.7225000000000001	0.0	80001	0.5
(0.6920000000000001, 0.6980000000000001)	0.6920000000000001	0.6980000000000001	0	0.0	1.7375	0.0	80001	0.5
(0.6980000000000001, 0.7040000000000001)	0.6980000000000001	0.7040000000000001	0	0.0	1.7525000000000002	0.0	80001	0.5
(0.7040000000000001, 0.7100000000000001)	0.7040000000000001	0.7100000000000001	0	0.0	1.7675	0.0	80001	0.5
(0.7100000000000001, 0.716)	0.7100000000000001	0.716	0	0.0	1.7825000000000002	0.0	80001	0.5
(0.716, 0.722)	0.716	0.722	80001	0.0	1.7974999999999999	0.0	160002	1.0
(0.722, 0.728)	0.722	0.728	0	0.0	1.8124999999999998	0.0	160002	1.0
(0.728, 0.734)	0.728	0.734	0	0.0	1.8275	0.0	160002	1.0
(0.734, 0.74)	0.734	0.74	0	0.0	1.8424999999999998	0.0	160002	1.0
(0.74, 0.746)	0.74	0.746	0	0.0	1.8575	0.0	160002	1.0
(0.746, 0.752)	0.746	0.752	0	0.0	1.8724999999999998	0.0	160002	1.0
(0.752, 0.758)	0.752	0.758	0	0.0	1.8875	0.0	160002	1.0
(0.758, 0.764)	0.758	0.764	0	0.0	1.9024999999999999	0.0	160002	1.0
(0.764, 0.77)	0.764	0.77	0	0.0	1.9175	0.0	160002	1.0
(0.77, 0.776)	0.77	0.776	0	0.0	1.9324999999999999	0.0	160002	1.0
(0.776, 0.782)	0.776	0.782	0	0.0	1.9475	0.0	160002	1.0
(0.782, 0.788)	0.782	0.788	0	0.0	1.9625	0.0	160002	1.0
(0.788, 0.794)	0.788	0.794	0	0.0	1.9775	0.0	160002	1.0
(0.794, 0.8)	0.794	0.8	0	0.0	1.9925	0.0	160002	1.0
