Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.008)	0.0	0.008	93	1.0	0.01	462544.05336082086	93	0.0005812427344658192
(0.008, 0.016)	0.008	0.016	302	1.0	0.03	500674.9251432541	395	0.0024687191410107372
(0.016, 0.024)	0.016	0.024	446	1.0	0.049999999999999996	443644.40386865824	841	0.005256184297696279
(0.024, 0.032)	0.024	0.032	628	1.0	0.06999999999999999	446202.2511683495	1469	0.009181135235809552
(0.032, 0.04)	0.032	0.04	818	1.0	0.09000000000000001	452044.2480873971	2287	0.01429357133035837
(0.04, 0.048)	0.04	0.048	1037	1.0	0.10999999999999999	468874.07950652123	3324	0.020774740315746054
(0.048, 0.056)	0.048	0.056	1185	1.0	0.13	453362.03741321136	4509	0.028180897738778264
(0.056, 0.064)	0.056	0.064	1401	1.0	0.15	464533.49014946976	5910	0.03693703828702141
(0.064, 0.07200000000000001)	0.064	0.07200000000000001	1429	1.0	0.17	418074.2898498496	7339	0.0458681766477919
(0.07200000000000001, 0.08)	0.07200000000000001	0.08	1682	1.0	0.19000000000000003	440293.7734877766	9021	0.05638054524318446
(0.08, 0.088)	0.08	0.088	1822	1.0	0.20999999999999996	431518.31296641903	10843	0.06776790290121373
(0.088, 0.096)	0.088	0.096	1971	1.0	0.22999999999999998	426215.2076550618	12814	0.08008649891876352
(0.096, 0.10400000000000001)	0.096	0.10400000000000001	2089	1.0	0.25	415593.34514871106	14903	0.09314258571767853
(0.10400000000000001, 0.112)	0.10400000000000001	0.112	2215	1.0	0.27	408018.7487830422	17118	0.10698616267296658
(0.112, 0.12)	0.112	0.12	2374	1.0	0.29	407148.52898724127	19492	0.12182347720653491
(0.12, 0.128)	0.12	0.128	2514	1.0	0.31	403342.2650534526	22006	0.13753578080273995
(0.128, 0.136)	0.128	0.136	2635	1.0	0.33	397133.78318858304	24641	0.1540043249459382
(0.136, 0.14400000000000002)	0.136	0.14400000000000002	2858	1.0	0.35000000000000003	406129.3101398539	27499	0.17186660166747916
(0.14400000000000002, 0.152)	0.14400000000000002	0.152	2965	1.0	0.37000000000000005	398559.4647529313	30464	0.19039762002974964
(0.152, 0.16)	0.152	0.16	3093	1.0	0.38999999999999996	394444.10174938454	33557	0.2097286283921451
(0.16, 0.168)	0.16	0.168	3061	1.0	0.41	371321.09817400255	36618	0.2288596392545093
(0.168, 0.176)	0.168	0.176	3225	1.0	0.42999999999999994	373019.3978716305	39843	0.2490156373045337
(0.176, 0.184)	0.176	0.184	3289	1.0	0.44999999999999996	363514.3109925304	43132	0.26957163035462056
(0.184, 0.192)	0.184	0.192	3390	1.0	0.47	358733.5485914392	46522	0.29075886551418106
(0.192, 0.2)	0.192	0.2	3487	1.0	0.49	353937.04500091705	50009	0.3125523430957113
(0.2, 0.20800000000000002)	0.2	0.20800000000000002	3592	1.0	0.51	350296.9090601027	53601	0.3350020624742191
(0.20800000000000002, 0.216)	0.20800000000000002	0.216	3694	1.0	0.53	346649.97628624056	57295	0.35808927388407646
