Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.02)	0.0	0.02	78	1.0	0.01	62070.42780583919	78	0.00039
(0.02, 0.04)	0.02	0.04	246	1.0	0.03	65253.526667677084	324	0.00162
(0.04, 0.06)	0.04	0.06	380	1.0	0.05	60478.87837492023	704	0.00352
(0.06, 0.08)	0.06	0.08	554	1.0	0.07	62979.88462350714	1258	0.00629
(0.08, 0.1)	0.08	0.1	685	1.0	0.09	60567.297787749034	1943	0.009715
(0.1, 0.12)	0.1	0.12	904	1.0	0.11	65398.21297957884	2847	0.014235
(0.12, 0.14)	0.12	0.14	1032	1.0	0.13	63172.26971955226	3879	0.019395
(0.14, 0.16)	0.14	0.16	1122	1.0	0.15000000000000002	59523.948716368875	5001	0.025005
(0.16, 0.18)	0.16	0.18	1311	1.0	0.16999999999999998	61368.27364513968	6312	0.03156
(0.18, 0.2)	0.18	0.2	1443	1.0	0.19	60436.99549515913	7755	0.038775
(0.2, 0.22)	0.2	0.22	1661	1.0	0.21000000000000002	62941.99058943773	9416	0.04708
(0.22, 0.24)	0.22	0.24	1893	1.0	0.22999999999999998	65495.71897238215	11309	0.056545
(0.24, 0.26)	0.24	0.26	1934	1.0	0.25	61561.13198794506	13243	0.066215
(0.26, 0.28)	0.26	0.28	2118	1.0	0.27	62424.10545715448	15361	0.076805
(0.28, 0.3)	0.28	0.3	2251	1.0	0.29000000000000004	61768.582224113256	17612	0.08806
(0.3, 0.32)	0.3	0.32	2429	1.0	0.31	62352.79947906669	20041	0.100205
(0.32, 0.34)	0.32	0.34	2646	1.0	0.33	63806.66354865977	22687	0.113435
(0.34, 0.36)	0.34	0.36	2891	1.0	0.35	65730.99149695292	25578	0.12789
(0.36, 0.38)	0.36	0.38	2903	1.0	0.37	62436.05402645567	28481	0.142405
(0.38, 0.4)	0.38	0.4	3135	1.0	0.39	63968.04443501166	31616	0.15808
(0.4, 0.42)	0.4	0.42	3183	1.0	0.41000000000000003	61779.29071481764	34799	0.173995
(0.42, 0.44)	0.42	0.44	3283	1.0	0.43	60756.474205894396	38082	0.19041
(0.44, 0.46)	0.44	0.46	3613	1.0	0.45	63891.86771011304	41695	0.208475
(0.46, 0.48)	0.46	0.48	3729	1.0	0.47	63137.104552093435	45424	0.22712
(0.48, 0.5)	0.48	0.5	3823	1.0	0.49	62086.66810615466	49247	0.246235
(0.5, 0.52)	0.5	0.52	4092	1.0	0.51	63849.21834627793	53339	0.266695
(0.52, 0.54)	0.52	0.54	4165	1.0	0.53	62535.88094129662	57504	0.28752
(0.54, 0.56)	0.54	0.56	4364	1.0	0.55	63141.10651391188	61868	0.30934
(0.56, 0.58)	0.56	0.58	4497	1.0	0.5700000000000001	62782.4367617768	66365	0.331825
(0.58, 0.6)	0.58	0.6	4601	1.0	0.59	62056.94009879747	70966	0.35483
(0.6, 0.62)	0.6	0.62	4781	1.0	0.61	62370.474010028745	75747	0.378735
(0.62, 0.64)	0.62	0.64	4947	1.0	0.63	62487.26218060367	80694	0.40347
(0.64, 0.66)	0.64	0.66	5263	1.0	0.65	64433.266576357266	85957	0.429785
(0.66, 0.68)	0.66	0.68	5353	1.0	0.67	63578.836594844346	91310	0.45655
(0.68, 0.7000000000000001)	0.68	0.7000000000000001	5502	1.0	0.6900000000000001	63454.3838327252	96812	0.48406
(0.7000000000000001, 0.72)	0.7000000000000001	0.72	5645	1.0	0.71	63269.69392632065	102457	0.512285
(0.72, 0.74)	0.72	0.74	5869	1.0	0.73	63978.10691824203	108326	0.54163
(0.74, 0.76)	0.74	0.76	5969	1.0	0.75	63333.05702103484	114295	0.571475
(0.76, 0.78)	0.76	0.78	6035	1.0	0.77	62370.135166206936	120330	0.60165
(0.78, 0.8)	0.78	0.8	6397	1.0	0.79	64437.605756889374	126727	0.633635
