Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	75	1.0	0.01	3730.193978716297	75	0.0002139806390317804
(0.08, 0.16)	0.08	0.16	231	1.0	0.03	3829.6658181487314	306	0.000873041007249664
(0.16, 0.24)	0.16	0.24	376	1.0	0.05	3740.1411626595404	682	0.0019457972775956565
(0.24, 0.32)	0.24	0.32	540	1.0	0.07	3836.7709495367617	1222	0.0034864578786244754
(0.32, 0.4)	0.32	0.4	641	1.0	0.09	3542.30272645503	1863	0.005315279073549425
(0.4, 0.48)	0.4	0.48	834	1.0	0.11	3770.8870039386584	2697	0.007694743779582823
(0.48, 0.56)	0.48	0.56	949	1.0	0.13	3630.72213928386	3646	0.010402312132131619
(0.56, 0.64)	0.56	0.64	1105	1.0	0.15000000000000002	3663.879419094675	4751	0.013554960213866516
(0.64, 0.72)	0.64	0.72	1228	1.0	0.16999999999999998	3592.688788912639	5979	0.017058536543613535
(0.72, 0.8)	0.72	0.8	1382	1.0	0.19	3617.6337393585377	7361	0.021001486452172473
(0.8, 0.88)	0.8	0.88	1548	1.0	0.21000000000000002	3666.247796224022	8909	0.025418046841788423
(0.88, 0.96)	0.88	0.96	1734	1.0	0.22999999999999998	3749.6558603443823	10643	0.030365279216203186
(0.96, 1.04)	0.96	1.04	1878	1.0	0.25	3736.1622890822396	12521	0.035723354417558965
(1.04, 1.12)	1.04	1.12	2074	1.0	0.27	3820.4554626457266	14595	0.04164063235558447
(1.12, 1.2)	1.12	1.2	2155	1.0	0.29000000000000004	3695.8933444292556	16750	0.04778900938376429
(1.2, 1.28)	1.2	1.28	2397	1.0	0.31	3845.7096632184766	19147	0.05462783060721999
(1.28, 1.36)	1.28	1.36	2514	1.0	0.33	3788.972792926367	21661	0.06180046162756527
(1.36, 1.44)	1.36	1.44	2593	1.0	0.35	3684.721137832906	24254	0.06919848558769069
(1.44, 1.52)	1.44	1.52	2836	1.0	0.37	3812.1910355457344	27090	0.07728980681827909
(1.52, 1.6)	1.52	1.6	3056	1.0	0.39	3897.2556577630708	30146	0.08600880459002735
(1.6, 1.68)	1.6	1.68	3287	1.0	0.41000000000000003	3987.365075785532	33433	0.09538686272999353
(1.68, 1.76)	1.68	1.76	3326	1.0	0.43	3847.015557584617	36759	0.10487619080225621
(1.76, 1.84)	1.76	1.84	3597	1.0	0.45	3975.557849316299	40356	0.1151387022502204
(1.84, 1.92)	1.84	1.92	3779	1.0	0.47	3998.9795873954326	44135	0.12592047338223505
(1.92, 2.0)	1.92	2.0	3978	1.0	0.49	4037.744665941068	48113	0.1372700064764807
(2.0, 2.08)	2.0	2.08	4278	1.0	0.51	4171.965971489751	52391	0.14947546212685342
(2.08, 2.16)	2.08	2.16	4543	1.0	0.53	4263.2128919014185	56934	0.16243698270180515
(2.16, 2.24)	2.16	2.24	4743	1.0	0.55	4289.044858436699	61677	0.17596911831417494
(2.24, 2.32)	2.24	2.32	4914	1.0	0.5700000000000001	4287.759815534957	66591	0.1899891297835372
(2.32, 2.4)	2.32	2.4	5170	1.0	0.59	4358.215337844802	71761	0.20473952850079458
(2.4, 2.48)	2.4	2.48	5463	1.0	0.61	4454.218514913028	77224	0.22032587824786948
(2.48, 2.56)	2.48	2.56	5727	1.0	0.63	4521.2319399170865	82951	0.23666543984433622
(2.56, 2.64)	2.56	2.64	6138	1.0	0.65	4696.601157202177	89089	0.2541776153426971
