Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	66	1.0	0.01	4.098090763134009	66	0.000165
(0.08, 0.16)	0.08	0.16	179	1.0	0.03	3.704839629297917	245	0.0006125
(0.16, 0.24)	0.16	0.24	349	1.0	0.05	4.334041443435664	594	0.001485
(0.24, 0.32)	0.24	0.32	485	1.0	0.07	4.302108268657996	1079	0.0026975
(0.32, 0.4)	0.32	0.4	611	1.0	0.09	4.215376189014948	1690	0.004225
(0.4, 0.48)	0.4	0.48	717	1.0	0.11	4.047287985078631	2407	0.0060175
(0.48, 0.56)	0.48	0.56	883	1.0	0.13	4.217499002153063	3290	0.008225
(0.56, 0.64)	0.56	0.64	1028	1.0	0.15000000000000002	4.255391216668447	4318	0.010795
(0.64, 0.72)	0.64	0.72	1118	1.0	0.16999999999999998	4.083480813889327	5436	0.01359
(0.72, 0.8)	0.72	0.8	1297	1.0	0.19	4.238615406526956	6733	0.0168325
(0.8, 0.88)	0.8	0.88	1445	1.0	0.21000000000000002	4.272540514234236	8178	0.020445
(0.88, 0.96)	0.88	0.96	1545	1.0	0.22999999999999998	4.170981705561294	9723	0.0243075
(0.96, 1.04)	0.96	1.04	1780	1.0	0.25	4.420970641441532	11503	0.0287575
(1.04, 1.12)	1.04	1.12	1842	1.0	0.27	4.236073617111583	13345	0.0333625
(1.12, 1.2)	1.12	1.2	2122	1.0	0.29000000000000004	4.543442319420261	15467	0.0386675
(1.2, 1.28)	1.2	1.28	2180	1.0	0.31	4.366489669419421	17647	0.0441175
(1.28, 1.36)	1.28	1.36	2418	1.0	0.33	4.549671012515161	20065	0.0501625
(1.36, 1.44)	1.36	1.44	2486	1.0	0.35	4.410326249848991	22551	0.0563775
(1.44, 1.52)	1.44	1.52	2682	1.0	0.37	4.50085152609558	25233	0.0630825
(1.52, 1.6)	1.52	1.6	2828	1.0	0.39	4.502486665945204	28061	0.0701525
(1.6, 1.68)	1.6	1.68	3069	1.0	0.41000000000000003	4.647834645993465	31130	0.077825
(1.68, 1.76)	1.68	1.76	3268	1.0	0.43	4.719013606033096	34398	0.085995
(1.76, 1.84)	1.76	1.84	3425	1.0	0.45	4.725912748731976	37823	0.0945575
(1.84, 1.92)	1.84	1.92	3702	1.0	0.47	4.8907582221541315	41525	0.1038125
(1.92, 2.0)	1.92	2.0	3999	1.0	0.49	5.067490711741774	45524	0.11381
(2.0, 2.08)	2.0	2.08	4113	1.0	0.51	5.0075601036156145	49637	0.1240925
