Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	80	1.0	0.01	5.6759965439335005	80	0.00022824666617213222
(0.08, 0.16)	0.08	0.16	211	1.0	0.03	4.990146961541535	291	0.000830247248201131
(0.16, 0.24)	0.16	0.24	374	1.0	0.05	5.307056768577822	665	0.001897300412555849
(0.24, 0.32)	0.24	0.32	533	1.0	0.07	5.40233242485099	1198	0.0034179938259276802
(0.32, 0.4)	0.32	0.4	692	1.0	0.09	5.45526334500275	1890	0.005392327488316624
(0.4, 0.48)	0.4	0.48	786	1.0	0.11	5.069696913104242	2676	0.0076348509834578224
(0.48, 0.56)	0.48	0.56	953	1.0	0.13	5.201177602277521	3629	0.010353839394233347
(0.56, 0.64)	0.56	0.64	1120	1.0	0.15000000000000002	5.2975967743379355	4749	0.013549292720643199
(0.64, 0.72)	0.64	0.72	1279	1.0	0.16999999999999998	5.3379408674198165	6028	0.017198386296070164
(0.72, 0.8)	0.72	0.8	1398	1.0	0.19	5.220423137117779	7426	0.021186996787428174
(0.8, 0.88)	0.8	0.88	1667	1.0	0.21000000000000002	5.63207514210545	9093	0.025943086693789977
(0.88, 0.96)	0.88	0.96	1712	1.0	0.22999999999999998	5.281144610442475	10805	0.030827565349873607
(0.96, 1.04)	0.96	1.04	1853	1.0	0.25	5.258810797954383	12658	0.03611432875508562
(1.04, 1.12)	1.04	1.12	2029	1.0	0.27	5.331757864648642	14687	0.04190323482587632
(1.12, 1.2)	1.12	1.2	2203	1.0	0.29000000000000004	5.3897501665023775	16890	0.04818857739559142
(1.2, 1.28)	1.2	1.28	2360	1.0	0.31	5.401351549872198	19250	0.05492185404766932
(1.28, 1.36)	1.28	1.36	2599	1.0	0.33	5.587846597607253	21849	0.062337017614936464
(1.36, 1.44)	1.36	1.44	2694	1.0	0.35	5.461119531913172	24543	0.07002322409828302
(1.44, 1.52)	1.44	1.52	2944	1.0	0.37	5.645315481533856	27487	0.07842270141341748
(1.52, 1.6)	1.52	1.6	3063	1.0	0.39	5.572300453227012	30550	0.08716169564448299
(1.6, 1.68)	1.6	1.68	3260	1.0	0.41000000000000003	5.641386808909535	33810	0.09646274729099738
(1.68, 1.76)	1.68	1.76	3488	1.0	0.43	5.75519649570931	37298	0.10641430193610235
(1.76, 1.84)	1.76	1.84	3540	1.0	0.45	5.581396601534603	40838	0.11651421691421919
(1.84, 1.92)	1.84	1.92	3986	1.0	0.47	6.017160165989083	44824	0.1278866070562457
(1.92, 2.0)	1.92	2.0	4091	1.0	0.49	5.923597413579576	48915	0.13955857094762308
(2.0, 2.08)	2.0	2.08	4296	1.0	0.51	5.976490478612324	53211	0.1518154169210666
(2.08, 2.16)	2.08	2.16	4484	1.0	0.53	6.002634080895712	57695	0.16460864256001462
(2.16, 2.24)	2.16	2.24	4786	1.0	0.55	6.173936240742207	62481	0.17826349936376243
(2.24, 2.32)	2.24	2.32	4995	1.0	0.5700000000000001	6.217456740558754	67476	0.19251465058288492
(2.32, 2.4)	2.32	2.4	5254	1.0	0.59	6.318153780048008	72730	0.2075047503837397
(2.4, 2.48)	2.4	2.48	5569	1.0	0.61	6.477382121550332	78299	0.22339357143264726
(2.48, 2.56)	2.48	2.56	5922	1.0	0.63	6.669295939121863	84221	0.24028953089603936
(2.56, 2.64)	2.56	2.64	6026	1.0	0.65	6.577606764181393	90247	0.2574822110254552
(2.64, 2.72)	2.64	2.72	6326	1.0	0.67	6.698946667336429	96573	0.27553081615301656
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	6757	1.0	0.6900000000000001	6.947954465101203	103330	0.2948091001945803
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	7032	1.0	0.71	7.027043608616294	110362	0.31487198215111073
(2.88, 2.96)	2.88	2.96	7547	1.0	0.73	7.335059232374335	117909	0.33640420202112425
(2.96, 3.04)	2.96	3.04	8051	1.0	0.75	7.616241362534762	125960	0.3593743758880222
(3.04, 3.12)	3.04	3.12	8563	1.0	0.77	7.890188052873779	134523	0.3838053284184218
(3.12, 3.2)	3.12	3.2	8978	1.0	0.79	8.063148254973868	143501	0.4094203105295893
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	9492	1.0	0.81	8.314283826391483	152993	0.4365017774709128
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	10332	1.0	0.8300000000000001	8.831987393361642	163325	0.4659798344070437
(3.36, 3.44)	3.36	3.44	11172	1.0	0.85	9.325328439533088	174497	0.49785448133798194
(3.44, 3.52)	3.44	3.52	12061	1.0	0.87	9.835947459250264	186558	0.532265519346758
(3.52, 3.6)	3.52	3.6	13374	1.0	0.89	10.66162609249529	199932	0.5704226557640842
(3.6, 3.68)	3.6	3.68	14944	1.0	0.91	11.651386312162398	214876	0.6130591330050386
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	17335	1.0	0.93	13.224919366812754	232211	0.6625173324812125
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	21530	1.0	0.95	16.079500735643272	253741	0.7239442165147876
(3.84, 3.92)	3.84	3.92	20764	1.0	0.97	15.187679412143732	274505	0.7831856387197644
(3.92, 4.0)	3.92	4.0	75993	1.0	0.99	54.461616838779996	350498	1.0
(5.0, 5.06)	5.0	5.06	33	0.75	1.2574999999999998	0.018619074150080177	33	9.4151212553495e-05
(5.06, 5.12)	5.06	5.12	51	0.75	1.2725	0.028435739070786472	84	0.00023965763195435094
(5.12, 5.18)	5.12	5.18	67	0.75	1.2875	0.036921530916849285	151	0.0004308131241084166
(5.18, 5.24)	5.18	5.24	99	0.75	1.3025	0.05392741438094151	250	0.0007132667617689016
(5.24, 5.3)	5.24	5.3	110	0.75	1.3175	0.05923715558184896	360	0.0010271041369472184
(5.3, 5.36)	5.3	5.36	176	0.75	1.3325	0.09371251329571183	536	0.0015292439372325249
(5.36, 5.42)	5.36	5.42	209	0.75	1.3475000000000001	0.11004483095381355	745	0.002125534950071327
(5.42, 5.48)	5.42	5.48	284	0.75	1.3625	0.1478883503190005	1029	0.002935805991440799
(5.48, 5.54)	5.48	5.54	388	0.75	1.3775	0.19984452441435632	1417	0.004042796005706134
(5.54, 5.6)	5.54	5.6	530	0.75	1.3925	0.2700429235444146	1947	0.0055549215406562056
(5.6, 5.66)	5.6	5.66	609	0.75	1.4075	0.30698773492499726	2556	0.00729243937232525
(5.66, 5.72)	5.66	5.72	700	0.75	1.4224999999999999	0.34913862748273194	3256	0.009289586305278173
(5.72, 5.78)	5.72	5.78	881	0.75	1.4375	0.4348306917569894	4137	0.011803138373751782
(5.78, 5.84)	5.78	5.84	1096	0.75	1.4525000000000001	0.5353607755723889	5233	0.014930099857346647
