Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	59	1.0	0.01	4.186047451150957	59	0.00016833383738380686
(0.08, 0.16)	0.08	0.16	172	1.0	0.03	4.067797523152341	231	0.0006590697700959218
(0.16, 0.24)	0.16	0.24	322	1.0	0.05	4.569177217866467	553	0.0015777730859872067
(0.24, 0.32)	0.24	0.32	459	1.0	0.07	4.652290024402635	1012	0.002887353278515467
(0.32, 0.4)	0.32	0.4	527	1.0	0.09	4.1545141370179905	1539	0.004390945351418284
(0.4, 0.48)	0.4	0.48	710	1.0	0.11	4.579497211582713	2249	0.006416657631799688
(0.48, 0.56)	0.48	0.56	763	1.0	0.13	4.1642166952127475	3012	0.008593585054237733
(0.56, 0.64)	0.56	0.64	918	1.0	0.15000000000000002	4.342137356109129	3930	0.011212745439294253
(0.64, 0.72)	0.64	0.72	1021	1.0	0.16999999999999998	4.261170934820667	4951	0.01412577676080047
(0.72, 0.8)	0.72	0.8	1186	1.0	0.19	4.42877098756916	6137	0.017509572203803773
(0.8, 0.88)	0.8	0.88	1305	1.0	0.21000000000000002	4.409033029662634	7442	0.021232888437462554
(0.88, 0.96)	0.88	0.96	1440	1.0	0.22999999999999998	4.442084251774043	8882	0.025341375315982583
(0.96, 1.04)	0.96	1.04	1610	1.0	0.25	4.569177217866463	10492	0.02993489189543901
(1.04, 1.12)	1.04	1.12	1709	1.0	0.27	4.490869487769605	12201	0.03481086694779369
(1.12, 1.2)	1.12	1.2	1884	1.0	0.29000000000000004	4.6093006417115205	14085	0.04018613728052406
(1.2, 1.28)	1.2	1.28	2016	1.0	0.31	4.61403590022981	16101	0.04593801891045211
(1.28, 1.36)	1.28	1.36	2083	1.0	0.33	4.47844727311116	18184	0.05188105930486685
(1.36, 1.44)	1.36	1.44	2340	1.0	0.35	4.743511397430149	20524	0.0585573504824619
(1.44, 1.52)	1.44	1.52	2392	1.0	0.37	4.586818828746258	22916	0.06538200368622572
(1.52, 1.6)	1.52	1.6	2643	1.0	0.39	4.808223995389811	25559	0.0729227889778427
(1.6, 1.68)	1.6	1.68	2656	1.0	0.41000000000000003	4.596172811185191	28215	0.08050066477600187
(1.68, 1.76)	1.68	1.76	3043	1.0	0.43	5.02094694278768	31258	0.0891826964227633
(1.76, 1.84)	1.76	1.84	3080	1.0	0.45	4.856130376476434	34338	0.09797029335737559
(1.84, 1.92)	1.84	1.92	3371	1.0	0.47	5.088772433404214	37709	0.10758814701535548
(1.92, 2.0)	1.92	2.0	3513	1.0	0.49	5.08667751500979	41222	0.11761114312941164
(2.0, 2.08)	2.0	2.08	3724	1.0	0.51	5.180738021962825	44946	0.1282361466958065
(2.08, 2.16)	2.08	2.16	3927	1.0	0.53	5.256990195289354	48873	0.13944033278743717
(2.16, 2.24)	2.16	2.24	4139	1.0	0.55	5.339306748941077	53012	0.15124937944729439
(2.24, 2.32)	2.24	2.32	4338	1.0	0.5700000000000001	5.399665133242017	57350	0.16362619616883597
(2.32, 2.4)	2.32	2.4	4605	1.0	0.59	5.537704255257152	61955	0.1767647948324365
(2.4, 2.48)	2.4	2.48	5025	1.0	0.61	5.8446480805872545	66980	0.1911017021689387
(2.48, 2.56)	2.48	2.56	5166	1.0	0.63	5.8178964575318375	72146	0.2058408988456293
(2.56, 2.64)	2.56	2.64	5581	1.0	0.65	6.091872444556315	77727	0.22176413861578229
(2.64, 2.72)	2.64	2.72	5808	1.0	0.67	6.1504081953667376	83535	0.23833503569247977
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	6168	1.0	0.6900000000000001	6.342309181699604	89703	0.2559330544888072
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	6675	1.0	0.71	6.670295234288079	96378	0.2749776030402803
(2.88, 2.96)	2.88	2.96	6884	1.0	0.73	6.690678117883254	103262	0.29461845281231636
(2.96, 3.04)	2.96	3.04	7579	1.0	0.75	7.169729634411994	110841	0.31624221812641584
(3.04, 3.12)	3.04	3.12	8037	1.0	0.77	7.405516919414523	118878	0.3391727105171558
(3.12, 3.2)	3.12	3.2	8697	1.0	0.79	7.810781952941381	127575	0.36398625939388407
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	9280	1.0	0.81	8.12858764316403	136855	0.3904631748332354
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	10228	1.0	0.8300000000000001	8.743086242673526	147083	0.41964484413427905
(3.36, 3.44)	3.36	3.44	11035	1.0	0.85	9.21097380328031	158118	0.45112897795682666
(3.44, 3.52)	3.44	3.52	12226	1.0	0.87	9.97050772214524	170344	0.4860111728018169
(3.52, 3.6)	3.52	3.6	13660	1.0	0.89	10.88962258288363	184004	0.5249847358299999
(3.6, 3.68)	3.6	3.68	15697	1.0	0.91	12.238477712929146	199701	0.5697700959217562
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	18287	1.0	0.93	13.951202795552632	217988	0.6219450261630727
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	24615	1.0	0.95	18.38350722748997	242603	0.6921744737427745
(3.84, 3.92)	3.84	3.92	22422	1.0	0.97	16.400411663411997	265025	0.7561470381803969
(3.92, 4.0)	3.92	4.0	85469	1.0	0.99	61.252746037051935	350494	1.0
(5.0, 5.06)	5.0	5.06	51670	-0.75	1.2574999999999998	-29.152956404080083	51670	0.1474179743223966
(5.06, 5.12)	5.06	5.12	22396	-0.75	1.2725	-12.487192396653604	74066	0.21131526390870187
(5.12, 5.18)	5.12	5.18	17052	-0.75	1.2875	-9.396805152150955	91118	0.2599657631954351
(5.18, 5.24)	5.18	5.24	14967	-0.75	1.3025	-8.152844555955067	106085	0.3026676176890157
(5.24, 5.3)	5.24	5.3	12965	-0.75	1.3175	-6.981906564715198	119050	0.33965763195435095
(5.3, 5.36)	5.3	5.36	11499	-0.75	1.3325	-6.122728354473809	130549	0.3724650499286733
(5.36, 5.42)	5.36	5.42	10236	-0.75	1.3475000000000001	-5.3895640652786385	140785	0.40166904422253924
(5.42, 5.48)	5.42	5.48	9290	-0.75	1.3625	-4.8376154030405445	150075	0.4281740370898716
(5.48, 5.54)	5.48	5.54	8363	-0.75	1.3775	-4.307473602260985	158438	0.4520342368045649
(5.54, 5.6)	5.54	5.6	7804	-0.75	1.3925	-3.976254670453984	166242	0.47429957203994294
(5.6, 5.66)	5.6	5.66	7368	-0.75	1.4075	-3.7140979161369123	173610	0.495320970042796
(5.66, 5.72)	5.66	5.72	6844	-0.75	1.4224999999999999	-3.4135782378454533	180454	0.5148473609129814
(5.72, 5.78)	5.72	5.78	6624	-0.75	1.4375	-3.269374009305673	187078	0.5337460770328103
(5.78, 5.84)	5.78	5.84	6224	-0.75	1.4525000000000001	-3.0402239663891866	193302	0.5515035663338088
(5.84, 5.9)	5.84	5.9	5856	-0.75	1.4675	-2.831229621914332	199158	0.5682111269614836
(5.9, 5.96)	5.9	5.96	5673	-0.75	1.4825	-2.715002394075453	204831	0.5843965763195436
(5.96, 6.02)	5.96	6.02	5400	-0.75	1.4975	-2.5584625490184587	210231	0.5998031383737518
(6.02, 6.08)	6.02	6.08	5088	-0.75	1.5125	-2.386733092192843	215319	0.6143195435092724
(6.08, 6.14)	6.08	6.14	4857	-0.75	1.5274999999999999	-2.255999608337573	220176	0.6281768901569187
(6.14, 6.2)	6.14	6.2	4892	-0.75	1.5425	-2.2501600561525428	225068	0.6421340941512126
(6.2, 6.26)	6.2	6.26	4636	-0.75	1.5575	-2.1118715872934195	229704	0.655360912981455
(6.26, 6.32)	6.26	6.32	4568	-0.75	1.5725	-2.061045485905237	234272	0.6683937232524965
(6.32, 6.38)	6.32	6.38	4398	-0.75	1.5875	-1.965593133875571	238670	0.680941512125535
(6.38, 6.4399999999999995)	6.38	6.4399999999999995	4113	-0.75	1.6025	-1.8210119957253326	242783	0.6926761768901569
(6.4399999999999995, 6.5)	6.4399999999999995	6.5	4222	-0.75	1.6175	-1.851936430331294	247005	0.7047218259629101
(6.5, 6.5600000000000005)	6.5	6.5600000000000005	4250	-0.75	1.6325	-1.8470892275434272	251255	0.7168473609129814
(6.5600000000000005, 6.62)	6.5600000000000005	6.62	4164	-0.75	1.6475	-1.793235933910408	255419	0.7287275320970042
(6.62, 6.68)	6.62	6.68	3929	-0.75	1.6625	-1.676766197076306	259348	0.7399372325249644
(6.68, 6.74)	6.68	6.74	3897	-0.75	1.6775	-1.6482383406638355	263245	0.751055634807418
(6.74, 6.8)	6.74	6.8	3896	-0.75	1.6925	-1.6332114132322895	267141	0.7621711840228246
(6.8, 6.859999999999999)	6.8	6.859999999999999	3878	-0.75	1.7075	-1.61138467037879	271019	0.7732353780313838
(6.859999999999999, 6.92)	6.859999999999999	6.92	3831	-0.75	1.7225	-1.5779929433823585	274850	0.7841654778887304
(6.92, 6.98)	6.92	6.98	3669	-0.75	1.7375	-1.4982180805533765	278519	0.7946333808844508
(6.98, 7.04)	6.98	7.04	3817	-0.75	1.7525	-1.545312325834118	282336	0.8055235378031383
(7.04, 7.1)	7.04	7.1	3842	-0.75	1.7675	-1.5422332900843394	286178	0.8164850213980028
(7.1, 7.16)	7.1	7.16	3747	-0.75	1.7825	-1.4914417286198287	289925	0.8271754636233951
(7.16, 7.22)	7.16	7.22	3729	-0.75	1.7974999999999999	-1.4718908979365801	293654	0.8378145506419401
(7.22, 7.279999999999999)	7.22	7.279999999999999	3773	-0.75	1.8125	-1.4769334455352645	297427	0.8485791726105564
(7.279999999999999, 7.34)	7.279999999999999	7.34	3737	-0.75	1.8275	-1.4508344107167763	301164	0.8592410841654778
(7.34, 7.4)	7.34	7.4	3794	-0.75	1.8425	-1.4609722447546503	304958	0.8700656205420827
(7.4, 7.46)	7.4	7.46	3900	-0.75	1.8575	-1.489662619201933	308858	0.8811925820256776
