u/R	Epsilon_1.0	Epsilon_0.50	Epsilon_0.0	Epsilon_-0.50	Epsilon_-1.0
0.01	5.392196716736826	5.806343930003862	4.753647105544307	4.125560160792218	4.398897321548462
0.03	5.250296803138487	5.067817728380564	5.1320468751398725	4.45662363048542	3.665747767957052
0.05	5.434766690816326	5.057631160082312	4.441467295627964	4.186679570581732	4.271187399309959
0.07	5.189482554453485	4.583955734213575	5.442875257307659	4.442071390059345	4.267133116064291
0.09	5.541979958868401	5.186661025193507	5.187230174872558	4.388713175163736	4.217580765283919
0.11	5.508296646044558	5.07013285753926	4.876197030924691	4.465884147120198	4.005447561116711
0.13	5.42494285064413	4.965952045398037	4.901004708127192	4.178451957725449	4.207878207089159
0.15	5.335436751297492	4.802966952626004	5.207726829058989	4.242705696222122	4.195507445390847
0.1699999999999999	5.31707323306712	5.150209089616432	4.912241126624804	4.3547579475029	4.106750440610711
0.19	5.556501879850682	5.14287665268347	4.985168017204746	4.378884030314541	4.238326366687181
0.21	5.56112518530628	4.860448302309004	5.209753970681826	4.362034067715939	4.284025962921242
0.2299999999999999	5.546435753256757	4.9692737524518185	5.059040397853772	4.494269643761571	4.17679310895976
0.25	5.298542773761917	5.366284179519354	5.125424879171946	4.507556471976678	4.393221325004525
0.27	5.670740991578003	5.251741878210119	5.24504125078299	4.448134823570208	4.2333474223504
0.29	5.458253573067093	5.160901886968049	4.99096247828636	4.475942984154526	4.523671383505628
0.31	5.5707159628766645	5.113821585211378	5.183924262907003	4.62338761149713	4.396608613264616
0.33	5.422296698409192	5.2067254779021805	5.136346872521634	4.560804442626632	4.540797235146794
0.35	5.759109350469681	5.227892373067398	5.2077268290589975	4.428974373675888	4.417141596153972
0.37	5.536014196735137	5.43260699852068	5.422877779136463	4.745013638388644	4.521621571147023
0.39	5.661442706641352	5.39104537630587	5.421304391321089	4.772015456642841	4.504412641916448
0.41	5.670805083679922	5.66845257864949	5.395657690239242	4.656628203170636	4.635974006462774
0.43	5.822846454517819	5.378152716071503	5.383946721760171	4.772288799262655	4.697547139703097
0.45	5.9865996881431895	5.487164789991949	5.537249961748454	4.913321442523732	4.72999711994458
0.47	5.805819869140495	5.525129624323389	5.685053985227016	5.000087885971976	4.904604460436159
0.49	6.085768743406248	5.556876951271149	5.484866048066349	5.068857174125283	5.096813223123958
0.51	6.083611001622834	5.798853806255139	5.694081827039163	5.094782173875931	5.004058717776659
0.53	6.085632143566437	5.755891587017236	5.819235135962011	5.2470436706092505	5.123122352272054
0.55	6.271976181046512	5.853572564841209	5.954636374272048	5.278494481821689	5.194826836913679
0.5700000000000001	6.325748779883801	5.913570964722326	6.071822618707828	5.468578770640773	5.2303810257913685
0.59	6.361445279111908	6.031657008465205	6.0680251187899215	5.487797853558511	5.4054246747841255
0.61	6.275000277565819	6.183330453500654	6.124958565646265	5.510766456431614	5.585273648354228
0.63	6.593841223160842	6.257463383212182	6.458698448305283	5.694776753403955	5.661356076657481
0.65	6.817745079501656	6.402258175451622	6.470636060084185	5.9015491644836775	5.825537222110205
0.67	6.87896894578208	6.378768253032511	6.639645210907274	6.1324661538807375	6.115462694256698
0.6900000000000001	7.069289173830216	6.894756607958435	6.925332739744947	5.999002939122981	6.30529181293482
0.71	7.064017529765158	6.85010849859243	7.114981583240617	6.495013336082927	6.471435496217167
0.73	7.351581825053594	6.9607053854462295	7.246614765679481	6.664527423623754	6.71789179994321
0.75	7.7288152939894434	7.16217617050125	7.285141564138641	6.768974634188707	6.9455277709266205
0.77	7.857016644500142	7.496057483113312	7.567688249241194	7.202366812696166	7.226759885401033
0.79	8.055065348503076	7.696983900549739	8.002077406083444	7.41266259551624	7.706602269540071
0.81	8.404504141827463	8.077571380206807	8.473702247841466	7.838941585812561	8.243333869592314
0.8300000000000001	8.7003453048427	8.3855093852783	8.738812148890444	8.267688836286466	8.566138760053912
0.85	9.271072590216075	8.923433829269085	9.388766047965287	8.985452053908444	9.378749583475992
0.87	9.999866324958688	9.517416139349931	9.766628535940733	9.704462608964397	9.92891636815952
0.89	10.648871044081956	10.231492209005896	10.851357437643628	10.348237149053285	11.0107955428103
0.91	11.53989352290656	10.90830345323022	11.853320804590805	11.251680357130102	12.39051333464165
0.93	13.21195001987097	12.913118312921675	13.46447083385511	13.283613659898434	14.100731736763782
0.95	15.81586563301057	16.019718986935946	16.6672651146006	17.848476064059053	18.62100287235456
0.97	15.205234040630124	11.558341993055723	15.543892081846776	12.777579703805316	16.777836175869435
0.99	53.61595068703234	65.14001742844565	56.2382324236804	70.2904080968196	62.62301186937528
1.2574999999999998	0.0150457164849132	0.0012150976101295	0.0	-26.85244208625219	-41.78947753684662
1.2725	0.0215591224327531	0.001200774259126	0.0	-9.23915740780189	-15.025221499599096
1.2875	0.0337988143716431	0.0	0.0	-8.426566653245667	-10.279982866818672
1.3025	0.062461382313279	0.0027372736310082	0.0	-7.335111252921931	-8.758393131579444
1.3175	0.0904712921613693	0.0038658703219174	0.0	-5.966197667815177	-7.759708368158082
1.3325	0.1029417759687743	0.0042045872900853	0.0	-5.080670387255898	-6.684825948427444
1.3475	0.1565550067157921	0.0094495067701785	0.0	-4.520644038853413	-5.969449426477044
1.3625	0.2020446476189162	0.0082240184426257	0.0	-3.884353438060185	-5.57740431038747
1.3775	0.3035439168080601	0.0155294326143957	0.0	-3.5414501328733863	-4.928811517944451
1.3925	0.4028564871995921	0.017922507957428	0.0	-3.198619022198128	-4.517019870809592
1.4075	0.4825773260561533	0.0307587319840655	0.0	-2.877569843968108	-4.177856070703411
1.4225	0.5865528941709897	0.0451145028323308	0.0	-2.6084059772502424	-3.9529142890616353
1.4375	0.7271856441793013	0.0591706749846308	0.0	-2.39127476330104	-3.7234537328203503
1.4525	0.8518879494509546	0.0795990018486509	0.0	-2.214395139534055	-3.5365073130876787
1.4675	0.9940246076939664	0.103427507764197	0.0	-2.02898392748153	-3.370787726090629
1.4825	1.1671048542838012	0.1480745678430623	0.0	-1.841140624294596	-3.2447939770547456
1.4975	1.289338780875722	0.1748212389082393	0.0	-1.7169214280326697	-3.0575206758640343
1.5125	1.4860790951389402	0.2148439859267758	0.0	-1.6571273585355233	-2.8808418822432484
1.5275	1.6108310977382545	0.255414445710683	0.0	-1.5288188427982792	-2.8401658647549537
1.5425	1.7098517951903212	0.3523198824711565	0.0	-1.43668585626242	-2.7524443532332
1.5575	1.895643147524522	0.3940550497397839	0.0	-1.2890995901030942	-2.602637259577884
1.5725	1.963587993576968	0.4839024813223805	0.0	-1.2162341481697043	-2.578412420487404
1.5875	2.152409398077478	0.5742978662636831	0.0	-1.157579162837636	-2.48969171239416
1.6025	2.3406475607588764	0.6528303052920642	0.0	-1.1009757436863246	-2.4114868311979847
1.6175	2.4049147644156896	0.7607650389050223	0.0	-1.01424842314283	-2.35461742255291
1.6325	2.541594777099756	0.8682762503533278	0.0	-0.9462744762204968	-2.318495372361177
1.6475	2.751580722157757	0.9948521026942732	0.0	-0.9138541999888974	-2.2738438355059927
1.6625	2.843973005170909	1.115161161071848	0.0	-0.8617989961799747	-2.197563774703892
1.6775	2.960090000904789	1.1987055630849512	0.0	-0.8288921446864025	-2.222464220530725
1.6925	3.0847685796129385	1.3520901436941972	0.0	-0.7839294067045145	-2.134577134542818
1.7075	3.272631682285547	1.490251690133801	0.0	-0.746319000943709	-2.0942183441746005
1.7225	3.305643270240465	1.6002817889736165	0.0	-0.6827514136622469	-2.1237618418374944
1.7375	3.523201307989788	1.7342082892794506	0.0	-0.6809610980385673	-2.07003730072279
1.7525	3.684674503936317	1.844626219372565	0.0	-0.651010356293453	-2.0998218312792662
1.7675	3.9215489559076713	2.010226321035611	0.0	-0.5927516545828915	-2.068085869472805
1.7825	4.029718724458806	2.1173203671823275	0.0	-0.6129085273422527	-2.174339209022485
1.7975	4.171344330757248	2.289215167776942	0.0	-0.5420557762046404	-2.155668228460975
1.8125	4.329415294890015	2.46978617305769	0.0	-0.5381318149283737	-2.107556233968159
1.8275	4.65002069805327	2.62370325471264	0.0	-0.5061233387038618	-2.0881869638146378
1.8425	4.794946334128862	2.8099448236563034	0.0	-0.4721481317073257	-2.20416582208108
