Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	34	1.0	0.01	1691.021270351388	34	9.700566341887902e-05
(0.08, 0.16)	0.08	0.16	146	1.0	0.03	2420.4814261892416	180	0.000513559394570536
(0.16, 0.24)	0.16	0.24	245	1.0	0.05	2437.0600660946475	425	0.0012125707927359876
(0.24, 0.32)	0.24	0.32	330	1.0	0.07	2344.693358050243	755	0.002154096349448637
(0.32, 0.4)	0.32	0.4	423	1.0	0.09	2337.588226662212	1178	0.0033609609266893963
(0.4, 0.48)	0.4	0.48	549	1.0	0.11	2482.274538563937	1727	0.004927317080129531
(0.48, 0.56)	0.48	0.56	650	1.0	0.13	2486.795985810863	2377	0.006781837116078689
(0.56, 0.64)	0.56	0.64	708	1.0	0.15000000000000002	2347.535410605457	3085	0.008801837401389463
(0.64, 0.72)	0.64	0.72	807	1.0	0.16999999999999998	2360.9933653521985	3892	0.011104295353714032
(0.72, 0.8)	0.72	0.8	911	1.0	0.19	2384.706466393363	4803	0.013703476511790469
(0.8, 0.88)	0.8	0.88	1020	1.0	0.21000000000000002	2415.744671930557	5823	0.01661364641435684
(0.88, 0.96)	0.88	0.96	1097	1.0	0.22999999999999998	2372.187127334364	6920	0.019743505613489493
(0.96, 1.04)	0.96	1.04	1262	1.0	0.25	2510.669227274647	8182	0.023344127590978474
(1.04, 1.12)	1.04	1.12	1344	1.0	0.27	2475.7435592072598	9526	0.02717870440377181
(1.12, 1.2)	1.12	1.2	1417	1.0	0.29000000000000004	2430.1999392372413	10943	0.03122155808214097
(1.2, 1.28)	1.2	1.28	1597	1.0	0.31	2562.2020576386763	12540	0.03577797115508067
(1.28, 1.36)	1.28	1.36	1657	1.0	0.33	2497.346029387029	14197	0.04050557069287722
(1.36, 1.44)	1.36	1.44	1845	1.0	0.35	2621.79348218346	16042	0.04576955448722521
(1.44, 1.52)	1.44	1.52	1993	1.0	0.37	2679.0185944438113	18035	0.051455798228220086
(1.52, 1.6)	1.52	1.6	2112	1.0	0.39	2693.39134463207	20147	0.057481561791181045
(1.6, 1.68)	1.6	1.68	2214	1.0	0.41000000000000003	2685.7396646757434	22361	0.06379834234439864
(1.68, 1.76)	1.68	1.76	2343	1.0	0.43	2710.0292998859763	24704	0.07048317379705844
(1.76, 1.84)	1.76	1.84	2473	1.0	0.45	2733.265099071228	27177	0.07753890925690808
(1.84, 1.92)	1.84	1.92	2624	1.0	0.47	2776.745815645836	29801	0.08502546398664745
(1.92, 2.0)	1.92	2.0	2803	1.0	0.49	2845.097611521572	32604	0.09302272500320975
(2.0, 2.08)	2.0	2.08	2953	1.0	0.51	2879.8072729801856	35557	0.10144795218191414
(2.08, 2.16)	2.08	2.16	3115	1.0	0.53	2923.1583003022056	38672	0.11033538281573203
(2.16, 2.24)	2.16	2.24	3392	1.0	0.55	3067.349812316526	42064	0.12001312429563903
(2.24, 2.32)	2.24	2.32	3613	1.0	0.5700000000000001	3152.5592620121693	45677	0.13032140258776873
