Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	34	1.0	0.01	4.217010649255331	34	0.00017
(0.08, 0.16)	0.08	0.16	82	1.0	0.03	3.3901458160680114	116	0.00058
(0.16, 0.24)	0.16	0.24	155	1.0	0.05	3.8449214743210374	271	0.001355
(0.24, 0.32)	0.24	0.32	194	1.0	0.07	3.4373952351072865	465	0.002325
(0.32, 0.4)	0.32	0.4	291	1.0	0.09	4.0102944409585	756	0.00378
(0.4, 0.48)	0.4	0.48	344	1.0	0.11	3.8787477629514298	1100	0.0055
(0.48, 0.56)	0.48	0.56	419	1.0	0.13	3.9975734435248476	1519	0.007595
(0.56, 0.64)	0.56	0.64	431	1.0	0.15000000000000002	3.5637874310373503	1950	0.00975
(0.64, 0.72)	0.64	0.72	525	1.0	0.16999999999999998	3.830329741970675	2475	0.012375
(0.72, 0.8)	0.72	0.8	569	1.0	0.19	3.7143638690809304	3044	0.01522
(0.8, 0.88)	0.8	0.88	659	1.0	0.21000000000000002	3.8921708933603174	3703	0.018515
(0.88, 0.96)	0.88	0.96	733	1.0	0.22999999999999998	3.9527734090846014	4436	0.02218
(0.96, 1.04)	0.96	1.04	794	1.0	0.25	3.939184065304388	5230	0.02615
(1.04, 1.12)	1.04	1.12	821	1.0	0.27	3.7714223780377187	6051	0.030255
(1.12, 1.2)	1.12	1.2	941	1.0	0.29000000000000004	4.024550731185874	6992	0.03496
(1.2, 1.28)	1.2	1.28	1021	1.0	0.31	4.084979006536708	8013	0.040065
(1.28, 1.36)	1.28	1.36	1087	1.0	0.33	4.085463971248253	9100	0.0455
(1.36, 1.44)	1.36	1.44	1143	1.0	0.35	4.050456447141895	10243	0.051215
(1.44, 1.52)	1.44	1.52	1209	1.0	0.37	4.052755067527578	11452	0.05726
(1.52, 1.6)	1.52	1.6	1299	1.0	0.39	4.131143916578179	12751	0.063755
(1.6, 1.68)	1.6	1.68	1397	1.0	0.41000000000000003	4.226085994985451	14148	0.07074
(1.68, 1.76)	1.68	1.76	1529	1.0	0.43	4.410266267244456	15677	0.078385
(1.76, 1.84)	1.76	1.84	1605	1.0	0.45	4.4237268575521576	17282	0.08641
(1.84, 1.92)	1.84	1.92	1687	1.0	0.47	4.451875447618117	18969	0.094845
(1.92, 2.0)	1.92	2.0	1827	1.0	0.49	4.624536888469081	20796	0.10398
(2.0, 2.08)	2.0	2.08	1803	1.0	0.51	4.384815571284517	22599	0.112995
(2.08, 2.16)	2.08	2.16	1942	1.0	0.53	4.544636337876724	24541	0.122705
(2.16, 2.24)	2.16	2.24	2203	1.0	0.55	4.9679542568499935	26744	0.13372
(2.24, 2.32)	2.24	2.32	2239	1.0	0.5700000000000001	4.871974635543197	28983	0.144915
(2.32, 2.4)	2.32	2.4	2372	1.0	0.59	4.986415383865226	31355	0.156775
(2.4, 2.48)	2.4	2.48	2468	1.0	0.61	5.01812067616304	33823	0.169115
(2.48, 2.56)	2.48	2.56	2650	1.0	0.63	5.217123352253328	36473	0.182365
(2.56, 2.64)	2.56	2.64	2887	1.0	0.65	5.508827938642594	39360	0.1968
(2.64, 2.72)	2.64	2.72	3005	1.0	0.67	5.562825724763938	42365	0.211825
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	3224	1.0	0.6900000000000001	5.7952439612954745	45589	0.227945
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	3468	1.0	0.71	6.058240651042898	49057	0.245285
(2.88, 2.96)	2.88	2.96	3599	1.0	0.73	6.114835345153077	52656	0.26328
(2.96, 3.04)	2.96	3.04	3651	1.0	0.75	6.037767011933805	56307	0.281535
(3.04, 3.12)	3.04	3.12	4209	1.0	0.77	6.779754706919657	60516	0.30258
(3.12, 3.2)	3.12	3.2	4817	1.0	0.79	7.562673230626539	65333	0.326665
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	4962	1.0	0.81	7.597969078287932	70295	0.351475
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	4825	1.0	0.8300000000000001	7.210161723124418	75120	0.3756
(3.36, 3.44)	3.36	3.44	5700	1.0	0.85	8.317287439707739	80820	0.4041
(3.44, 3.52)	3.44	3.52	7506	1.0	0.87	10.700771444662093	88326	0.44163
(3.52, 3.6)	3.52	3.6	7568	1.0	0.89	10.54670740038476	95894	0.47947
(3.6, 3.68)	3.6	3.68	5553	1.0	0.91	7.568539151685477	101447	0.507235
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	10155	1.0	0.93	13.543245775834203	111602	0.55801
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	18674	1.0	0.95	24.380327202536986	130276	0.65138
(3.84, 3.92)	3.84	3.92	4076	1.0	0.97	5.211805762997197	134352	0.67176
(3.92, 4.0)	3.92	4.0	65648	1.0	0.99	82.24548874103192	200000	1.0
(5.0, 5.06)	5.0	5.06	64899	-1.0	1.2574999999999998	-85.34823190302058	64899	0.324495
(5.06, 5.12)	5.06	5.12	680	-1.0	1.2725	-0.8837219435243587	65579	0.327895
(5.12, 5.18)	5.12	5.18	18	-1.0	1.2875	-0.023120104073587385	65597	0.327985
(5.18, 5.24)	5.18	5.24	101	-1.0	1.3025	-0.12823546741177494	65698	0.32849
(5.24, 5.3)	5.24	5.3	717	-1.0	1.3175	-0.8999803952869999	66415	0.332075
(5.3, 5.36)	5.3	5.36	22898	-1.0	1.3325	-28.4180877303161	89313	0.446565
(5.36, 5.42)	5.36	5.42	7990	-1.0	1.3475000000000001	-9.805788522696451	97303	0.486515
(5.42, 5.48)	5.42	5.48	174	-1.0	1.3625	-0.21119189867830154	97477	0.487385
(5.48, 5.54)	5.48	5.54	107	-1.0	1.3775	-0.12845667825922844	97584	0.48792
(5.54, 5.6)	5.54	5.6	91	-1.0	1.3925	-0.10807138214728432	97675	0.488375
(5.6, 5.66)	5.6	5.66	128	-1.0	1.4075	-0.15039246699534772	97803	0.489015
(5.66, 5.72)	5.66	5.72	245	-1.0	1.4224999999999999	-0.28482514464800757	98048	0.49024
(5.72, 5.78)	5.72	5.78	2023	-1.0	1.4375	-2.3273009496179986	100071	0.500355
(5.78, 5.84)	5.78	5.84	16709	-1.0	1.4525000000000001	-19.023868499452014	116780	0.5839
