Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	1	1.0	0.01	0.0331351896843553	1	8.333333333333333e-05
(0.08, 0.16)	0.08	0.16	8	1.0	0.03	0.08836050582494744	9	0.00075
(0.16, 0.24)	0.16	0.24	14	1.0	0.05	0.09277853111619483	23	0.0019166666666666666
(0.24, 0.32)	0.24	0.32	10	1.0	0.07	0.047335985263364695	33	0.00275
(0.32, 0.4)	0.32	0.4	22	1.0	0.09	0.08099713033953512	55	0.004583333333333333
(0.4, 0.48)	0.4	0.48	31	1.0	0.11	0.09338098911045586	86	0.007166666666666667
(0.48, 0.56)	0.48	0.56	27	1.0	0.13	0.06881924011366095	113	0.009416666666666667
(0.56, 0.64)	0.56	0.64	41	1.0	0.15000000000000002	0.09056951847057118	154	0.012833333333333334
(0.64, 0.72)	0.64	0.72	42	1.0	0.16999999999999998	0.08186340980840724	196	0.01633333333333333
(0.72, 0.8)	0.72	0.8	51	1.0	0.19	0.08894182494221674	247	0.020583333333333332
(0.8, 0.88)	0.8	0.88	52	1.0	0.21000000000000002	0.08204904112316558	299	0.024916666666666667
(0.88, 0.96)	0.88	0.96	51	1.0	0.22999999999999998	0.07347368147400521	350	0.029166666666666667
(0.96, 1.04)	0.96	1.04	65	1.0	0.25	0.08615149317932366	415	0.034583333333333334
(1.04, 1.12)	1.04	1.12	64	1.0	0.27	0.07854267184439769	479	0.03991666666666667
(1.12, 1.2)	1.12	1.2	72	1.0	0.29000000000000004	0.08226667783702014	551	0.04591666666666667
(1.2, 1.28)	1.2	1.28	79	1.0	0.31	0.08444128984077633	630	0.0525
(1.28, 1.36)	1.28	1.36	80	1.0	0.33	0.08032773256813394	710	0.059166666666666666
(1.36, 1.44)	1.36	1.44	96	1.0	0.35	0.0908850917056604	806	0.06716666666666667
(1.44, 1.52)	1.44	1.52	95	1.0	0.37	0.08507683837875003	901	0.07508333333333334
(1.52, 1.6)	1.52	1.6	104	1.0	0.39	0.08836050582494728	1005	0.08375
(1.6, 1.68)	1.6	1.68	91	1.0	0.41000000000000003	0.07354395759210591	1096	0.09133333333333334
(1.68, 1.76)	1.68	1.76	114	1.0	0.43	0.08784678195387206	1210	0.10083333333333333
(1.76, 1.84)	1.76	1.84	110	1.0	0.45	0.0809971303395351	1320	0.11
(1.84, 1.92)	1.84	1.92	129	1.0	0.47	0.0909455206230178	1449	0.12075
(1.92, 2.0)	1.92	2.0	142	1.0	0.49	0.09602442724853978	1591	0.13258333333333333
(2.0, 2.08)	2.0	2.08	146	1.0	0.51	0.09485760184148756	1737	0.14475
(2.08, 2.16)	2.08	2.16	140	1.0	0.53	0.08752691614735363	1877	0.15641666666666668
(2.16, 2.24)	2.16	2.24	170	1.0	0.55	0.10241785902437082	2047	0.17058333333333334
(2.24, 2.32)	2.24	2.32	175	1.0	0.5700000000000001	0.10173084552214375	2222	0.18516666666666667
(2.32, 2.4)	2.32	2.4	205	1.0	0.59	0.11513074381852259	2427	0.20225
(2.4, 2.48)	2.4	2.48	203	1.0	0.61	0.11026956567088715	2630	0.21916666666666668
(2.48, 2.56)	2.48	2.56	244	1.0	0.63	0.12833311560289987	2874	0.2395
(2.56, 2.64)	2.56	2.64	247	1.0	0.65	0.12591372080055	3121	0.26008333333333333
(2.64, 2.72)	2.64	2.72	276	1.0	0.67	0.13649719929674695	3397	0.28308333333333335
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	244	1.0	0.6900000000000001	0.11717371424612592	3641	0.30341666666666667
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	327	1.0	0.71	0.15260854967301732	3968	0.33066666666666666
(2.88, 2.96)	2.88	2.96	291	1.0	0.73	0.13208685202941628	4259	0.35491666666666666
(2.96, 3.04)	2.96	3.04	362	1.0	0.75	0.15993251554315474	4621	0.38508333333333333
(3.04, 3.12)	3.04	3.12	352	1.0	0.77	0.1514751528427668	4973	0.41441666666666666
(3.12, 3.2)	3.12	3.2	365	1.0	0.79	0.1530929649973374	5338	0.44483333333333336
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	394	1.0	0.81	0.16117610784735792	5732	0.4776666666666667
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	459	1.0	0.8300000000000001	0.18324159114601418	6191	0.5159166666666667
(3.36, 3.44)	3.36	3.44	501	1.0	0.85	0.19530270625719984	6692	0.5576666666666666
(3.44, 3.52)	3.44	3.52	556	1.0	0.87	0.21176052258047717	7248	0.604
(3.52, 3.6)	3.52	3.6	621	1.0	0.89	0.23120171678634374	7869	0.65575
(3.6, 3.68)	3.6	3.68	648	1.0	0.91	0.2359516803896949	8517	0.70975
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	758	1.0	0.93	0.27006961054560463	9275	0.7729166666666667
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	799	1.0	0.95	0.2786843848189475	10074	0.8395
