Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	33	1.0	0.01	4.092980924277234	33	0.00016500165001650017
(0.08, 0.16)	0.08	0.16	82	1.0	0.03	3.3901458160680114	115	0.0005750057500575006
(0.16, 0.24)	0.16	0.24	150	1.0	0.05	3.7208917493429396	265	0.0013250132501325014
(0.24, 0.32)	0.24	0.32	233	1.0	0.07	4.12841798855669	498	0.0024900249002490025
(0.32, 0.4)	0.32	0.4	286	1.0	0.09	3.94138903819289	784	0.0039200392003920035
(0.4, 0.48)	0.4	0.48	344	1.0	0.11	3.8787477629514298	1128	0.005640056400564006
(0.48, 0.56)	0.48	0.56	426	1.0	0.13	4.064358680051516	1554	0.007770077700777008
(0.56, 0.64)	0.56	0.64	433	1.0	0.15000000000000002	3.5803247277010968	1987	0.00993509935099351
(0.64, 0.72)	0.64	0.72	567	1.0	0.16999999999999998	4.13675612132833	2554	0.012770127701277013
(0.72, 0.8)	0.72	0.8	582	1.0	0.19	3.799226312486997	3136	0.015680156801568014
(0.8, 0.88)	0.8	0.88	695	1.0	0.21000000000000002	4.104793279037057	3831	0.01915519155191552
(0.88, 0.96)	0.88	0.96	740	1.0	0.22999999999999998	3.9905215862518486	4571	0.02285522855228552
(0.96, 1.04)	0.96	1.04	836	1.0	0.25	4.147554003267593	5407	0.027035270352703526
(1.04, 1.12)	1.04	1.12	836	1.0	0.27	3.8403277808033285	6243	0.03121531215312153
(1.12, 1.2)	1.12	1.2	926	1.0	0.29000000000000004	3.9603974251627205	7169	0.03584535845358454
(1.2, 1.28)	1.2	1.28	981	1.0	0.31	3.9249406517262595	8150	0.04075040750407504
(1.28, 1.36)	1.28	1.36	1107	1.0	0.33	4.160633501538009	9257	0.04628546285462855
(1.36, 1.44)	1.36	1.44	1161	1.0	0.35	4.114243162844916	10418	0.052090520905209055
(1.44, 1.52)	1.44	1.52	1235	1.0	0.37	4.13991109048516	11653	0.058265582655826556
(1.52, 1.6)	1.52	1.6	1341	1.0	0.39	4.264714389631515	12994	0.06497064970649706
(1.6, 1.68)	1.6	1.68	1522	1.0	0.41000000000000003	4.604225400406483	14516	0.07258072580725808
