Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	36	1.0	0.01	3.5738385424826795	36	0.00014400172802073624
(0.08, 0.16)	0.08	0.16	141	1.0	0.03	4.665844763796831	177	0.0007080084961019532
(0.16, 0.24)	0.16	0.24	215	1.0	0.05	4.268751592409867	392	0.0015680188162257947
(0.24, 0.32)	0.24	0.32	272	1.0	0.07	3.8574765220447964	664	0.0026560318723824685
(0.32, 0.4)	0.32	0.4	399	1.0	0.09	4.401115982872187	1063	0.0042520510246122955
(0.4, 0.48)	0.4	0.48	453	1.0	0.11	4.088254696324886	1516	0.006064072768873227
(0.48, 0.56)	0.48	0.56	537	1.0	0.13	4.10075063528461	2053	0.008212098545182542
(0.56, 0.64)	0.56	0.64	704	1.0	0.15000000000000002	4.659226544273718	2757	0.01102813233758805
(0.64, 0.72)	0.64	0.72	686	1.0	0.16999999999999998	4.005969346639084	3443	0.013772165265983191
(0.72, 0.8)	0.72	0.8	863	1.0	0.19	4.509097459301972	4306	0.017224206690480286
(0.8, 0.88)	0.8	0.88	917	1.0	0.21000000000000002	4.334933787641033	5223	0.020892250707008484
(0.88, 0.96)	0.88	0.96	1034	1.0	0.22999999999999998	4.462981947979578	6257	0.025028300339604074
(0.96, 1.04)	0.96	1.04	1143	1.0	0.25	4.538774948952999	7400	0.029600355204262453
(1.04, 1.12)	1.04	1.12	1149	1.0	0.27	4.224630128922425	8549	0.034196410356924285
(1.12, 1.2)	1.12	1.2	1319	1.0	0.29000000000000004	4.515223216029369	9868	0.03947247366968404
(1.2, 1.28)	1.2	1.28	1393	1.0	0.31	4.460893449532589	11261	0.045044540534486414
(1.28, 1.36)	1.28	1.36	1471	1.0	0.33	4.425182235683514	12732	0.05092861114333372
(1.36, 1.44)	1.36	1.44	1611	1.0	0.35	4.569407850745722	14343	0.057372688472261665
(1.44, 1.52)	1.44	1.52	1700	1.0	0.37	4.561205347012427	16043	0.06417277007324088
(1.52, 1.6)	1.52	1.6	1807	1.0	0.39	4.5996625685656625	17850	0.07140085681028173
(1.6, 1.68)	1.6	1.68	2005	1.0	0.41000000000000003	4.85470615018821	19855	0.07942095305143662
(1.68, 1.76)	1.68	1.76	2007	1.0	0.43	4.633523226590911	21862	0.08744904938859266
(1.76, 1.84)	1.76	1.84	2167	1.0	0.45	4.780560568864173	24029	0.09611715340584087
(1.84, 1.92)	1.84	1.92	2245	1.0	0.47	4.741883881722	26274	0.10509726116713401
(1.92, 2.0)	1.92	2.0	2387	1.0	0.49	4.836027551534102	28661	0.11464537574450893
(2.0, 2.08)	2.0	2.08	2590	1.0	0.51	5.041526048491355	31251	0.12500550006600078
(2.08, 2.16)	2.08	2.16	2752	1.0	0.53	5.154718904042105	34003	0.13601363216358597
(2.16, 2.24)	2.16	2.24	2981	1.0	0.55	5.380612472293364	36984	0.14793777525330304
(2.24, 2.32)	2.24	2.32	3105	1.0	0.5700000000000001	5.407782005072493	40089	0.16035792429509155
(2.32, 2.4)	2.32	2.4	3323	1.0	0.59	5.591273764910518	43412	0.1736500838010056
(2.4, 2.48)	2.4	2.48	3446	1.0	0.61	5.608127330325728	46858	0.18743424921099053
(2.48, 2.56)	2.48	2.56	3654	1.0	0.63	5.757850985110984	50512	0.20205042460509526
(2.56, 2.64)	2.56	2.64	3870	1.0	0.65	5.910579127952119	54382	0.2175306103673244
(2.64, 2.72)	2.64	2.72	4168	1.0	0.67	6.1756878296300926	58550	0.2342028104337252
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	4454	1.0	0.6900000000000001	6.408162990425865	63004	0.25201902422829076
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	4631	1.0	0.71	6.475135481313524	67635	0.2705432465189582
(2.88, 2.96)	2.88	2.96	4917	1.0	0.73	6.686668231882547	72552	0.29021148253779044
(2.96, 3.04)	2.96	3.04	5324	1.0	0.75	7.047080148213989	77876	0.3115077380928571
(3.04, 3.12)	3.04	3.12	5645	1.0	0.77	7.277892702855229	83521	0.3340880090561087
(3.12, 3.2)	3.12	3.2	6095	1.0	0.79	7.6591230367200716	89616	0.35846830161961946
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	6707	1.0	0.81	8.220073766951764	96323	0.3852966235594827
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	7216	1.0	0.8300000000000001	8.630796158820342	103539	0.4141609699316392
(3.36, 3.44)	3.36	3.44	7908	1.0	0.85	9.235919998023858	111447	0.4457933495201942
(3.44, 3.52)	3.44	3.52	8692	1.0	0.87	9.918200706021523	120139	0.4805617667412009
(3.52, 3.6)	3.52	3.6	9671	1.0	0.89	10.787326012593608	129810	0.5192462309547714
