Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.04)	0.0	0.04	67	1.0	0.01	1.3327893694576778	67	0.0001339879410853023
(0.04, 0.08)	0.04	0.08	187	1.0	0.03	1.2399582690974413	254	0.0005079542841144297
(0.08, 0.12)	0.08	0.12	316	1.0	0.05	1.2571983305929137	570	0.001139897409233169
(0.12, 0.16)	0.12	0.16	462	1.0	0.07	1.3128969908090553	1032	0.0020638142567168953
(0.16, 0.2)	0.16	0.2	588	1.0	0.09	1.2996354050433072	1620	0.0032397084262416383
(0.2, 0.24)	0.2	0.24	741	1.0	0.11	1.3400229616935408	2361	0.004721575058244758
(0.24, 0.28)	0.24	0.28	836	1.0	0.13	1.2792329654036942	3197	0.006393424591786739
(0.28, 0.32)	0.28	0.32	979	1.0	0.15000000000000002	1.2983092464667332	4176	0.008351248387645113
(0.32, 0.36)	0.32	0.36	1124	1.0	0.16999999999999998	1.3152372706500708	5300	0.010599046085852274
(0.36, 0.4)	0.36	0.4	1233	1.0	0.19	1.29091067756584	6533	0.013064824165825075
(0.4, 0.44)	0.4	0.44	1451	1.0	0.21000000000000002	1.3744686390071732	7984	0.015966563009329162
(0.44, 0.48)	0.44	0.48	1521	1.0	0.22999999999999998	1.3154916488936585	9505	0.019008289253967144
(0.48, 0.52)	0.48	0.52	1685	1.0	0.25	1.340746320917125	11190	0.022377985981261686
(0.52, 0.56)	0.52	0.56	1875	1.0	0.27	1.3814151839320865	13065	0.026127648511633954
(0.56, 0.6)	0.56	0.6	2009	1.0	0.29000000000000004	1.378061679485578	15074	0.030145286924176826
(0.6, 0.64)	0.6	0.64	2137	1.0	0.31	1.3712907474872678	17211	0.03441890229879311
(0.64, 0.68)	0.64	0.68	2303	1.0	0.33	1.3882469099326222	19514	0.03902448779609835
(0.68, 0.72)	0.68	0.72	2407	1.0	0.35	1.3680272973495253	21921	0.04383805457508824
(0.72, 0.76)	0.72	0.76	2589	1.0	0.37	1.391928873548175	24510	0.04901558859702627
(0.76, 0.8)	0.76	0.8	2836	1.0	0.39	1.446532970448514	27346	0.054687078162965336
(0.8, 0.84)	0.8	0.84	3077	1.0	0.41000000000000003	1.4928987585807385	30423	0.06084052435280825
(0.84, 0.88)	0.84	0.88	3213	1.0	0.43	1.486377037163316	33636	0.06726594606485416
(0.88, 0.92)	0.88	0.92	3307	1.0	0.45	1.4618688042442907	36943	0.07387935085842275
(0.92, 0.96)	0.92	0.96	3543	1.0	0.47	1.499546756426979	40486	0.08096471317581418
(0.96, 1.0)	0.96	1.0	3823	1.0	0.49	1.5520115015037161	44309	0.0886100250977412
(1.0, 1.04)	1.0	1.04	4000	1.0	0.51	1.5601865606762375	48309	0.09660930516253537
(1.04, 1.08)	1.04	1.08	4036	1.0	0.53	1.5148234004875212	52345	0.10468057874791269
(1.08, 1.12)	1.08	1.12	4366	1.0	0.55	1.5790931850887966	56711	0.11341179293863553
(1.12, 1.16)	1.12	1.16	4523	1.0	0.5700000000000001	1.5784776952231199	61234	0.12245697887190153
(1.16, 1.2)	1.16	1.2	5001	1.0	0.59	1.686131959690828	66235	0.13245807877291044
(1.2, 1.24)	1.2	1.24	5271	1.0	0.61	1.7188971779817495	71506	0.14299913007829296
(1.24, 1.28)	1.24	1.28	5803	1.0	0.63	1.8323090999675202	77309	0.15460408563229308
