U	Potencial_0.002	Potencial_0.02	Potencial_0.04	Potencial_1.0	Potencial_2.0	Potencial_4.0	Potencial_20.0
0.0	23082.396524046933	22859.242291748513	22550.655881637093	11522.037511235936	5575.52285714931	1587.8400711328413	20.45370168071735
0.03	23034.35915054279	22829.42734869363	22543.73551476515	11520.69919408582	5574.820513195729	1587.7055710866327	20.45356878698097
0.06	23315.32048900321	22833.265976280123	22538.969697866436	11516.683740445851	5572.7137057383925	1587.3021340780656	20.45317011214005
0.09	23058.34558742489	22826.763691440163	22534.471704841955	11509.989644531704	5569.203108507384	1586.6299494590278	20.452505675292002
0.12	22977.18955810182	22808.241894669	22525.39167536913	11500.6143993386	5564.289846117734	1585.6893326883896	20.45157550826518
0.15	23019.139368125954	22801.065119494982	22513.740685014567	11488.554500665465	5557.975496662018	1584.4807251405778	20.45037965561487
0.18	23286.173601941307	22797.373132205354	22501.859711909197	11473.805452890343	5550.262095330664	1583.0046938375751	20.448918174618065
0.21	23006.4829182218	22780.516213879957	22489.402770918652	11456.361776639376	5541.1521390503	1581.261931104245	20.447191135267794
0.24	22931.17565605878	22760.51370875655	22474.634908419448	11436.217018532112	5530.648592127938	1579.253254147063	20.445198620272965
0.27	22978.236438047115	22751.59915971978	22456.410234319206	11413.363763226704	5518.754892885549	1576.979604556105	20.442940725033715
0.3	23256.432166395516	22738.03584835951	22432.69818968779	11387.793648028119	5505.474961266636	1574.4420477303386	20.44041755765384
0.32999999999999996	22927.711672551257	22697.638123900713	22401.877658249825	11359.497380358915	5490.813207393066	1571.641772226134	20.437629238912372
0.36	22819.602719656024	22650.35020184552	22366.050585891506	11328.464758428418	5474.774541047217	1568.5800890289681	20.434575902262534
0.39	22837.90638524493	22618.50576152307	22329.67257155311	11294.684695466318	5457.364382050651	1565.2584307482887	20.43125769381305
0.42	23090.460294800218	22592.66799412865	22294.308928257495	11258.145247915345	5438.588671506783	1561.678350735535	20.427674772315502
0.44999999999999996	22776.59247675781	22550.2158897291	22257.710754317377	11218.83364800213	5418.453883871316	1557.841522125305	20.42382730914945
0.48	22675.25402890169	22504.641758627982	22218.77963127767	11176.736341126849	5396.967039809438	1553.749736799584	20.419715488306778
0.51	22696.202082985004	22470.861008173375	22177.679469673156	11131.839028532679	5374.1357197948055	1549.4049042752226	20.41533950636956
0.54	22933.603868896047	22435.64558672438	22134.760179956884	11084.126715735618	5349.9680784003285	1544.8090505145367	20.41069957249851
0.57	22616.73806650353	22386.981184196367	22090.624229692625	11033.583767216689	5324.472859225969	1539.964316659233	20.405795908400684
