Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	50	1.0	0.01	4.963664642337055	50	0.0002
(0.08, 0.16)	0.08	0.16	138	1.0	0.03	4.56657147095009	188	0.000752
(0.16, 0.24)	0.16	0.24	236	1.0	0.05	4.68569942236618	424	0.001696
(0.24, 0.32)	0.24	0.32	343	1.0	0.07	4.8643913494903135	767	0.003068
(0.32, 0.4)	0.32	0.4	389	1.0	0.09	4.290812324153586	1156	0.004624
(0.4, 0.48)	0.4	0.48	478	1.0	0.11	4.313875816431115	1634	0.006536
(0.48, 0.56)	0.48	0.56	576	1.0	0.13	4.398570513824834	2210	0.00884
(0.56, 0.64)	0.56	0.64	672	1.0	0.15000000000000002	4.447443519534003	2882	0.011528
(0.64, 0.72)	0.64	0.72	794	1.0	0.16999999999999998	4.636646736488969	3676	0.014704
(0.72, 0.8)	0.72	0.8	870	1.0	0.19	4.545671830350772	4546	0.018184
(0.8, 0.88)	0.8	0.88	958	1.0	0.21000000000000002	4.528753073675147	5504	0.022016
(0.88, 0.96)	0.88	0.96	1099	1.0	0.22999999999999998	4.743536906024716	6603	0.026412
(0.96, 1.04)	0.96	1.04	1134	1.0	0.25	4.503036563528172	7737	0.030948
(1.04, 1.12)	1.04	1.12	1264	1.0	0.27	4.647460820677063	9001	0.036004
(1.12, 1.2)	1.12	1.2	1444	1.0	0.29000000000000004	4.943125340368771	10445	0.04178
(1.2, 1.28)	1.2	1.28	1495	1.0	0.31	4.787534606641221	11940	0.04776
(1.28, 1.36)	1.28	1.36	1559	1.0	0.33	4.689911016608157	13499	0.053996
(1.36, 1.44)	1.36	1.44	1666	1.0	0.35	4.7254087395048865	15165	0.06066
(1.44, 1.52)	1.44	1.52	1768	1.0	0.37	4.743653560892924	16933	0.067732
(1.52, 1.6)	1.52	1.6	1982	1.0	0.39	5.04511965185232	18915	0.07566
(1.6, 1.68)	1.6	1.68	2032	1.0	0.41000000000000003	4.920081245477528	20947	0.083788
(1.68, 1.76)	1.68	1.76	2202	1.0	0.43	5.083716066244737	23149	0.092596
(1.76, 1.84)	1.76	1.84	2378	1.0	0.45	5.24604200865667	25527	0.102108
(1.84, 1.92)	1.84	1.92	2438	1.0	0.47	5.149538041709682	27965	0.11186
(1.92, 2.0)	1.92	2.0	2594	1.0	0.49	5.255406564172375	30559	0.122236
(2.0, 2.08)	2.0	2.08	2766	1.0	0.51	5.384116235570304	33325	0.1333
(2.08, 2.16)	2.08	2.16	2998	1.0	0.53	5.615496829330752	36323	0.145292
(2.16, 2.24)	2.16	2.24	3031	1.0	0.55	5.470860920335856	39354	0.157416
(2.24, 2.32)	2.24	2.32	3244	1.0	0.5700000000000001	5.649869508681213	42598	0.170392
(2.32, 2.4)	2.32	2.4	3532	1.0	0.59	5.942936785333719	46130	0.18452
(2.4, 2.48)	2.4	2.48	3665	1.0	0.61	5.964534725955831	49795	0.19918
(2.48, 2.56)	2.48	2.56	3847	1.0	0.63	6.061973929863699	53642	0.214568
(2.56, 2.64)	2.56	2.64	4076	1.0	0.65	6.225199102204868	57718	0.230872
(2.64, 2.72)	2.64	2.72	4360	1.0	0.67	6.460172489728216	62078	0.248312
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	4589	1.0	0.6900000000000001	6.602393345995576	66667	0.266668
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	4989	1.0	0.71	6.975696591723854	71656	0.286624
(2.88, 2.96)	2.88	2.96	5182	1.0	0.73	7.047043883997429	76838	0.307352
(2.96, 3.04)	2.96	3.04	5607	1.0	0.75	7.42167137322236	82445	0.32978
(3.04, 3.12)	3.04	3.12	5908	1.0	0.77	7.616969014786305	88353	0.353412
(3.12, 3.2)	3.12	3.2	6461	1.0	0.79	8.119047406111301	94814	0.379256
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	6905	1.0	0.81	8.462741816132688	101719	0.406876
