Step,Ke_T,Ke_M,Temp_Act,Temp_Tar,Vx_Mean,Vy_Mean,Pot_Energy
100,"2,585415055","0,025854151","0,025854151","0,140670000","-0,025292198","-0,000462038","11705,950246133"
200,"1,678922856","0,016789229","0,016789229","0,140670000","-0,017071491","0,000011942","11707,887002308"
300,"2,990163049","0,029901630","0,029901630","0,140670000","0,041352950","-0,013328430","11705,320366407"
400,"2,914975906","0,029149759","0,029149759","0,140670000","-0,016181596","-0,024346925","11705,322734263"
500,"2,088989587","0,020889896","0,020889896","0,140670000","-0,011887996","-0,015975281","11707,083316813"
600,"2,879582121","0,028795821","0,028795821","0,140670000","0,020560636","0,015921641","11705,630987376"
700,"2,857403549","0,028574035","0,028574035","0,140670000","-0,015851488","0,024652396","11705,465919488"
800,"1,629827654","0,016298277","0,016298277","0,140670000","-0,018314502","0,000856321","11708,035127771"
900,"2,809580750","0,028095808","0,028095808","0,140670000","0,031347793","0,000600528","11705,574751426"
1000,"3,167667280","0,031676673","0,031676673","0,140670000","-0,013833389","-0,006796199","11704,746877867"
1100,"1,931102638","0,019311026","0,019311026","0,140670000","-0,009481094","-0,022725899","11707,477893151"
1200,"2,626452902","0,026264529","0,026264529","0,140670000","0,025070443","-0,004598126","11706,081100777"
1300,"3,100929782","0,031009298","0,031009298","0,140670000","-0,023089034","0,011254054","11704,925942548"
1400,"1,840474178","0,018404742","0,018404742","0,140670000","-0,009478640","0,026688367","11707,678277319"
1500,"2,332556119","0,023325561","0,023325561","0,140670000","0,031579378","0,002568991","11706,737129807"
1600,"2,949717810","0,029497178","0,029497178","0,140670000","-0,030887974","-0,004475504","11705,172561001"
1700,"2,555105981","0,025551060","0,025551060","0,140670000","0,004681194","-0,016106532","11706,120834705"
1800,"2,872533216","0,028725332","0,028725332","0,140670000","0,027355525","-0,011087693","11705,647417176"
1900,"2,740813646","0,027408136","0,027408136","0,140670000","-0,037467989","-0,009424551","11705,725923921"
2000,"1,899105983","0,018991060","0,018991060","0,140670000","-0,016173615","0,012871108","11707,585070215"
2100,"2,699952136","0,026999521","0,026999521","0,140670000","0,039029964","0,027330744","11705,971080813"
2200,"2,410159722","0,024101597","0,024101597","0,140670000","-0,031332229","-0,001907874","11706,439449864"
2300,"1,830355540","0,018303555","0,018303555","0,140670000","-0,003923533","-0,001594380","11707,653264747"
2400,"3,185723139","0,031857231","0,031857231","0,140670000","0,054898212","-0,014499720","11705,019541883"
2500,"3,336085515","0,033360855","0,033360855","0,140670000","-0,023410462","-0,027052092","11704,538160762"
2600,"2,147592653","0,021475927","0,021475927","0,140670000","-0,023493505","0,003121364","11707,076721800"
2700,"2,589852590","0,025898526","0,025898526","0,140670000","0,020787388","0,024463955","11706,271373382"
2800,"2,564043036","0,025640430","0,025640430","0,140670000","-0,023488025","0,022484557","11706,159720794"
2900,"1,806569695","0,018065697","0,018065697","0,140670000","-0,012951960","-0,011402905","11707,810153351"
3000,"2,500209895","0,025002099","0,025002099","0,140670000","0,032722117","0,010310461","11706,384951437"
3100,"2,989201811","0,029892018","0,029892018","0,140670000","-0,007947927","-0,019054656","11705,289005851"
3200,"2,337358595","0,023373586","0,023373586","0,140670000","-0,003448351","-0,035455974","11706,808655397"
