Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	39	1.0	0.01	4.837159274145822	39	0.00019500292504387565
(0.08, 0.16)	0.08	0.16	81	1.0	0.03	3.3488025744086456	120	0.000600009000135002
(0.16, 0.24)	0.16	0.24	152	1.0	0.05	3.7705036393341786	272	0.0013600204003060047
(0.24, 0.32)	0.24	0.32	230	1.0	0.07	4.075262392137504	502	0.0025100376505647584
(0.32, 0.4)	0.32	0.4	271	1.0	0.09	3.73467282989606	773	0.003865057975869638
(0.4, 0.48)	0.4	0.48	346	1.0	0.11	3.901298622038357	1119	0.005595083926258894
(0.48, 0.56)	0.48	0.56	421	1.0	0.13	4.016654939675324	1540	0.007700115501732526
(0.56, 0.64)	0.56	0.64	496	1.0	0.15000000000000002	4.101249572609108	2036	0.010180152702290534
(0.64, 0.72)	0.64	0.72	552	1.0	0.16999999999999998	4.027318128700595	2588	0.012940194102911544
(0.72, 0.8)	0.72	0.8	582	1.0	0.19	3.799226312486997	3170	0.015850237753566303
(0.8, 0.88)	0.8	0.88	686	1.0	0.21000000000000002	4.051637682617873	3856	0.019280289204338066
(0.88, 0.96)	0.88	0.96	743	1.0	0.22999999999999998	4.006699376466383	4599	0.022995344930173953
(0.96, 1.04)	0.96	1.04	830	1.0	0.25	4.117786869272849	5429	0.027145407181107715
(1.04, 1.12)	1.04	1.12	905	1.0	0.27	4.157292633525135	6334	0.031670475057125856
(1.12, 1.2)	1.12	1.2	989	1.0	0.29000000000000004	4.229841310459968	7323	0.036615549233238495
(1.2, 1.28)	1.2	1.28	1001	1.0	0.31	4.004959829131484	8324	0.04162062430936464
(1.28, 1.36)	1.28	1.36	1116	1.0	0.33	4.194459790168399	9440	0.04720070801062016
(1.36, 1.44)	1.36	1.44	1234	1.0	0.35	4.37293373208495	10674	0.05337080056200843
(1.44, 1.52)	1.44	1.52	1318	1.0	0.37	4.418139933003596	11992	0.059960899413491205
(1.52, 1.6)	1.52	1.6	1295	1.0	0.39	4.118422919144527	13287	0.0664359965399481
(1.6, 1.68)	1.6	1.68	1437	1.0	0.41000000000000003	4.347090604720181	14724	0.07362110431656475
(1.68, 1.76)	1.68	1.76	1497	1.0	0.43	4.317965076563081	16221	0.0811062165932489
(1.76, 1.84)	1.76	1.84	1620	1.0	0.45	4.465070099211523	17841	0.08920633809507143
(1.84, 1.92)	1.84	1.92	1776	1.0	0.47	4.686740245980899	19617	0.09808647129706946
(1.92, 2.0)	1.92	2.0	1884	1.0	0.49	4.768816364464011	21501	0.10750661259918899
(2.0, 2.08)	2.0	2.08	1901	1.0	0.51	4.623147199673803	23402	0.11701175517632764
(2.08, 2.16)	2.08	2.16	2117	1.0	0.53	4.954168448653462	25519	0.1275969139537093
(2.16, 2.24)	2.16	2.24	2186	1.0	0.55	4.929617796402217	27705	0.13852707790616858
(2.24, 2.32)	2.24	2.32	2261	1.0	0.5700000000000001	4.919845757464569	29966	0.14983224748371227
(2.32, 2.4)	2.32	2.4	2487	1.0	0.59	5.228168237636095	32453	0.16226743401151017
(2.4, 2.48)	2.4	2.48	2704	1.0	0.61	5.497973382635681	35157	0.17578763681455223
(2.48, 2.56)	2.48	2.56	2651	1.0	0.63	5.219092078046631	37808	0.18904283564253463
(2.56, 2.64)	2.56	2.64	2973	1.0	0.65	5.672928805536693	40781	0.20390805862087932
(2.64, 2.72)	2.64	2.72	3041	1.0	0.67	5.629468562065601	43822	0.2191132866993005
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	3319	1.0	0.6900000000000001	5.966009524671117	47141	0.23570853562803443
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	3512	1.0	0.71	6.135104142578622	50653	0.25326879903198546
(2.88, 2.96)	2.88	2.96	3735	1.0	0.73	6.345904421824602	54388	0.2719440791611874
(2.96, 3.04)	2.96	3.04	4114	1.0	0.75	6.803443847465263	58502	0.2925143877158157
(3.04, 3.12)	3.04	3.12	4372	1.0	0.77	7.042311137717448	62874	0.3143747156207343
(3.12, 3.2)	3.12	3.2	4568	1.0	0.79	7.171744097467725	67442	0.3372150582258734
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	5025	1.0	0.81	7.694436642159786	72467	0.3623404351065266
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	5521	1.0	0.8300000000000001	8.25021821209739	77988	0.38994584918773784
(3.36, 3.44)	3.36	3.44	6005	1.0	0.85	8.762335276393856	83993	0.41997129956949353
(3.44, 3.52)	3.44	3.52	6687	1.0	0.87	9.53318127504069	90680	0.45340680110201653
(3.52, 3.6)	3.52	3.6	7540	1.0	0.89	10.5076868127512	98220	0.49110736661049914
(3.6, 3.68)	3.6	3.68	8260	1.0	0.91	11.258082728781206	106480	0.5324079861197918
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	9978	1.0	0.93	13.307189202488793	116458	0.5822987344810172
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	14661	1.0	0.95	19.141050504251616	131119	0.6556048340725111
(3.84, 3.92)	3.84	3.92	10224	1.0	0.97	13.072988744083254	141343	0.7067256008840133
(3.92, 4.0)	3.92	4.0	58654	1.0	0.99	73.483227160256	199997	1.0
(5.0, 5.06)	5.0	5.06	42938	-1.0	1.2574999999999998	-56.46747070759021	42938	0.21469
