Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	30	1.0	0.01	3.72089174934294	30	0.00015000150001500014
(0.08, 0.16)	0.08	0.16	101	1.0	0.03	4.175667407595966	131	0.0006550065500655006
(0.16, 0.24)	0.16	0.24	169	1.0	0.05	4.192204704259712	300	0.0015000150001500015
(0.24, 0.32)	0.24	0.32	220	1.0	0.07	3.8980770707402215	520	0.0026000260002600026
(0.32, 0.4)	0.32	0.4	305	1.0	0.09	4.203229568702207	825	0.004125041250412504
(0.4, 0.48)	0.4	0.48	318	1.0	0.11	3.58558659482138	1143	0.005715057150571506
(0.48, 0.56)	0.48	0.56	438	1.0	0.13	4.1788476569543755	1581	0.007905079050790508
(0.56, 0.64)	0.56	0.64	448	1.0	0.15000000000000002	3.7043544526791945	2029	0.01014510145101451
(0.64, 0.72)	0.64	0.72	574	1.0	0.16999999999999998	4.187827184554605	2603	0.013015130151301513
(0.72, 0.8)	0.72	0.8	643	1.0	0.19	4.197427008469311	3246	0.016230162301623018
(0.8, 0.88)	0.8	0.88	741	1.0	0.21000000000000002	4.376477438512891	3987	0.01993519935199352
(0.88, 0.96)	0.88	0.96	812	1.0	0.22999999999999998	4.378788551400677	4799	0.023995239952399525
(0.96, 1.04)	0.96	1.04	867	1.0	0.25	4.301350862240434	5666	0.028330283302833027
(1.04, 1.12)	1.04	1.12	922	1.0	0.27	4.235385423326159	6588	0.032940329403294034
(1.12, 1.2)	1.12	1.2	1007	1.0	0.29000000000000004	4.306825277687754	7595	0.037975379753797535
(1.2, 1.28)	1.2	1.28	1074	1.0	0.31	4.2970298266605536	8669	0.043345433454334545
(1.28, 1.36)	1.28	1.36	1164	1.0	0.33	4.374866662863814	9833	0.04916549165491655
(1.36, 1.44)	1.36	1.44	1213	1.0	0.35	4.298515897098091	11046	0.055230552305523054
(1.44, 1.52)	1.44	1.52	1350	1.0	0.37	4.525408884336005	12396	0.06198061980619806
(1.52, 1.6)	1.52	1.6	1445	1.0	0.39	4.595460322906443	13841	0.06920569205692056
(1.6, 1.68)	1.6	1.68	1458	1.0	0.41000000000000003	4.410618024830915	15299	0.07649576495764958
(1.68, 1.76)	1.68	1.76	1602	1.0	0.43	4.620828358486343	16901	0.08450584505845059
(1.76, 1.84)	1.76	1.84	1716	1.0	0.45	4.729666845831466	18617	0.0930859308593086
(1.84, 1.92)	1.84	1.92	1752	1.0	0.47	4.623405918332508	20369	0.1018460184601846
(1.92, 2.0)	1.92	2.0	1849	1.0	0.49	4.680223703765369	22218	0.11109111091110911
(2.0, 2.08)	2.0	2.08	2023	1.0	0.51	4.919845757464547	24241	0.12120621206212062
(2.08, 2.16)	2.08	2.16	2174	1.0	0.53	5.087558907592171	26415	0.13207632076320763
(2.16, 2.24)	2.16	2.24	2264	1.0	0.55	5.1055144972802475	28679	0.14339643396433965
(2.24, 2.32)	2.24	2.32	2358	1.0	0.5700000000000001	5.13091388593607	31037	0.15518655186551866
(2.32, 2.4)	2.32	2.4	2561	1.0	0.59	5.383730943540828	33598	0.16799167991679917
(2.4, 2.48)	2.4	2.48	2723	1.0	0.61	5.536605592055088	36321	0.18160681606816068
(2.48, 2.56)	2.48	2.56	2831	1.0	0.63	5.5734627208411975	39152	0.19576195761957618
(2.56, 2.64)	2.56	2.64	3026	1.0	0.65	5.774060735134218	42178	0.2108921089210892
(2.64, 2.72)	2.64	2.72	3192	1.0	0.67	5.908998240747583	45370	0.22685226852268522
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	3427	1.0	0.6900000000000001	6.160143007245531	48797	0.24398743987439875
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	3688	1.0	0.71	6.442558108721514	52485	0.2624276242762428
(2.88, 2.96)	2.88	2.96	3851	1.0	0.73	6.542992751926786	56336	0.28168281682816826
(2.96, 3.04)	2.96	3.04	4144	1.0	0.75	6.853055737456502	60480	0.3024030240302403
(3.04, 3.12)	3.04	3.12	4443	1.0	0.77	7.156676208801149	64923	0.3246182461824618
(3.12, 3.2)	3.12	3.2	4881	1.0	0.79	7.663153007823985	69804	0.34902349023490237
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	5234	1.0	0.81	8.01446395722673	75038	0.37519375193751936
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	5568	1.0	0.8300000000000001	8.320451911783783	80606	0.4030340303403034
(3.36, 3.44)	3.36	3.44	6030	1.0	0.85	8.798814607269767	86636	0.43318433184331845
(3.44, 3.52)	3.44	3.52	6892	1.0	0.87	9.825435224701724	93528	0.46764467644676444
(3.52, 3.6)	3.52	3.6	7652	1.0	0.89	10.663769163285437	101180	0.5059050590505905
(3.6, 3.68)	3.6	3.68	8823	1.0	0.91	12.025431466832515	110003	0.550020500205002
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	10387	1.0	0.93	13.852653261801072	120390	0.6019560195601956
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	14174	1.0	0.95	18.505234966732313	134564	0.6728267282672826
(3.84, 3.92)	3.84	3.92	11959	1.0	0.97	15.291458567145112	146523	0.7326223262232623
(3.92, 4.0)	3.92	4.0	53475	1.0	0.99	66.99484387074523	199998	1.0
(5.0, 5.06)	5.0	5.06	25444	-1.0	1.2574999999999998	-33.46123072066527	25444	0.12722127221272211
(5.06, 5.12)	5.06	5.12	11613	-1.0	1.2725	-15.092151367865261	37057	0.1852868528685287
(5.12, 5.18)	5.12	5.18	8290	-1.0	1.2875	-10.6480923761133	45347	0.22673726737267372
(5.18, 5.24)	5.18	5.24	7061	-1.0	1.3025	-8.965055795985572	52408	0.26204262042620424
(5.24, 5.3)	5.24	5.3	6353	-1.0	1.3175	-7.974303279300294	58761	0.29380793807938077
(5.3, 5.36)	5.3	5.36	5531	-1.0	1.3325	-6.864374322490102	64292	0.32146321463214633
(5.36, 5.42)	5.36	5.42	5070	-1.0	1.3475000000000001	-6.222196221535796	69362	0.34681346813468134
(5.42, 5.48)	5.42	5.48	4639	-1.0	1.3625	-5.63057021821058	74001	0.3700087000870009
(5.48, 5.54)	5.48	5.54	4283	-1.0	1.3775	-5.141868719479209	78284	0.3914239142391424
(5.54, 5.6)	5.54	5.6	3920	-1.0	1.3925	-4.655382615575324	82204	0.4110241102411024
(5.6, 5.66)	5.6	5.66	3811	-1.0	1.4075	-4.477700716556798	86015	0.43007930079300793
(5.66, 5.72)	5.66	5.72	3613	-1.0	1.4224999999999999	-4.200298969850006	89628	0.44814448144481445
(5.72, 5.78)	5.72	5.78	3404	-1.0	1.4375	-3.9160318499751194	93032	0.4651646516465165
(5.78, 5.84)	5.78	5.84	3181	-1.0	1.4525000000000001	-3.6216964328659316	96213	0.481069810698107
(5.84, 5.9)	5.84	5.9	3064	-1.0	1.4675	-3.4528297770165914	99277	0.496389963899639
(5.9, 5.96)	5.9	5.96	2978	-1.0	1.4825	-3.321960840784956	102255	0.5112801128011281
(5.96, 6.02)	5.96	6.02	2926	-1.0	1.4975	-3.231260770492309	105181	0.525910259102591
(6.02, 6.08)	6.02	6.08	2807	-1.0	1.5125	-3.069103585794099	107988	0.5399453994539946
(6.08, 6.14)	6.08	6.14	2760	-1.0	1.5274999999999999	-2.988081099308692	110748	0.5537455374553746
(6.14, 6.2)	6.14	6.2	2716	-1.0	1.5425	-2.9118507448126234	113464	0.5673256732567326
(6.2, 6.26)	6.2	6.26	2759	-1.0	1.5575	-2.9294639804351097	116223	0.5811208112081121
(6.26, 6.32)	6.26	6.32	2570	-1.0	1.5725	-2.7027569110224277	118793	0.5939709397093971
(6.32, 6.38)	6.32	6.38	2487	-1.0	1.5875	-2.590756334030718	121280	0.6064060640606406
(6.38, 6.4399999999999995)	6.38	6.4399999999999995	2461	-1.0	1.6025	-2.5396747013716303	123741	0.6187111871118711
(6.4399999999999995, 6.5)	6.4399999999999995	6.5	2419	-1.0	1.6175	-2.473182110021765	126160	0.6308063080630806
(6.5, 6.5600000000000005)	6.5	6.5600000000000005	2428	-1.0	1.6325	-2.459574658473256	128588	0.6429464294642946
(6.5600000000000005, 6.62)	6.5600000000000005	6.62	2439	-1.0	1.6475	-2.448222553133694	131027	0.6551415514155141
(6.62, 6.68)	6.62	6.68	2371	-1.0	1.6625	-2.358492053518374	133398	0.6669966699666997
(6.68, 6.74)	6.68	6.74	2336	-1.0	1.6775	-2.302898659106485	135734	0.6786767867678677
(6.74, 6.8)	6.74	6.8	2397	-1.0	1.6925	-2.342091586587925	138131	0.6906619066190662
(6.8, 6.859999999999999)	6.8	6.859999999999999	2365	-1.0	1.7075	-2.2905245452275556	140496	0.7024870248702487
(6.859999999999999, 6.92)	6.859999999999999	6.92	2356	-1.0	1.7225	-2.261937354994828	142852	0.7142671426714268
(6.92, 6.98)	6.92	6.98	2434	-1.0	1.7375	-2.316649213212005	145286	0.7264372643726438
(6.98, 7.04)	6.98	7.04	2375	-1.0	1.7525	-2.241145767554807	147661	0.7383123831238312
(7.04, 7.1)	7.04	7.1	2446	-1.0	1.7675	-2.2885560192092664	150107	0.7505425054250543
(7.1, 7.16)	7.1	7.16	2485	-1.0	1.7825	-2.30548006784907	152592	0.7629676296762967
(7.16, 7.22)	7.16	7.22	2479	-1.0	1.7974999999999999	-2.2807209140154283	155071	0.7753627536275363
(7.22, 7.279999999999999)	7.22	7.279999999999999	2548	-1.0	1.8125	-2.324801759957313	157619	0.7881028810288103
(7.279999999999999, 7.34)	7.279999999999999	7.34	2524	-1.0	1.8275	-2.284002012546948	160143	0.8007230072300723
(7.34, 7.4)	7.34	7.4	2632	-1.0	1.8425	-2.3623427310165646	162775	0.8138831388313883
(7.4, 7.46)	7.4	7.46	2714	-1.0	1.8575	-2.416270425055606	165489	0.8274532745327453
(7.46, 7.52)	7.46	7.52	2748	-1.0	1.8725	-2.426942121867845	168237	0.8411934119341193
(7.52, 7.58)	7.52	7.58	2958	-1.0	1.8875	-2.5916462798072337	171195	0.8559835598355984
(7.58, 7.64)	7.58	7.64	3149	-1.0	1.9024999999999999	-2.7372376974579566	174344	0.8717287172871728
(7.64, 7.699999999999999)	7.64	7.699999999999999	3336	-1.0	1.9175	-2.877101521265104	177680	0.8884088840888409
(7.699999999999999, 7.76)	7.699999999999999	7.76	3468	-1.0	1.9324999999999999	-2.96772806364151	181148	0.9057490574905749
(7.76, 7.82)	7.76	7.82	3810	-1.0	1.9475	-3.2352811444864242	184958	0.9247992479924799
(7.82, 7.88)	7.82	7.88	4314	-1.0	1.9625	-3.6352559392307002	189272	0.9463694636946369
(7.88, 7.9399999999999995)	7.88	7.9399999999999995	4990	-1.0	1.9775	-4.173001787716579	194262	0.971319713197132
(7.9399999999999995, 8.0)	7.9399999999999995	8.0	5736	-1.0	1.9925	-4.760749493764036	199998	1.0
