Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	38	-1.0	0.01	-1889.9649492162573	38	0.00019
(0.08, 0.16)	0.08	0.16	136	-1.0	0.03	-2254.695027135184	174	0.00087
(0.16, 0.24)	0.16	0.24	200	-1.0	0.05	-1989.4367886486916	374	0.00187
(0.24, 0.32)	0.24	0.32	315	-1.0	0.07	-2238.1163872297775	689	0.003445
(0.32, 0.4)	0.32	0.4	399	-1.0	0.09	-2204.9591074189657	1088	0.00544
(0.4, 0.48)	0.4	0.48	410	-1.0	0.11	-1853.7933712408274	1498	0.00749
(0.48, 0.56)	0.48	0.56	589	-1.0	0.13	-2253.419747142459	2087	0.010435
(0.56, 0.64)	0.56	0.64	644	-1.0	0.15000000000000002	-2135.328819816263	2731	0.013655
(0.64, 0.72)	0.64	0.72	796	-1.0	0.16999999999999998	-2328.8112996534696	3527	0.017635
(0.72, 0.8)	0.72	0.8	851	-1.0	0.19	-2227.645667289519	4378	0.02189
(0.8, 0.88)	0.8	0.88	843	-1.0	0.21000000000000002	-1996.541920036725	5221	0.026105
(0.88, 0.96)	0.88	0.96	997	-1.0	0.22999999999999998	-2155.9439981334194	6218	0.03109
(0.96, 1.04)	0.96	1.04	1091	-1.0	0.25	-2170.4755364157204	7309	0.036545
(1.04, 1.12)	1.04	1.12	1160	-1.0	0.27	-2136.802476696742	8469	0.042345
(1.12, 1.2)	1.12	1.2	1269	-1.0	0.29000000000000004	-2176.3752455130975	9738	0.04869
(1.2, 1.28)	1.2	1.28	1358	-1.0	0.31	-2178.7541604717107	11096	0.05548
(1.28, 1.36)	1.28	1.36	1502	-1.0	0.33	-2263.7379216290387	12598	0.06299
(1.36, 1.44)	1.36	1.44	1576	-1.0	0.35	-2239.537413507389	14174	0.07087
(1.44, 1.52)	1.44	1.52	1656	-1.0	0.37	-2226.0184608123186	15830	0.07915
(1.52, 1.6)	1.52	1.6	1822	-1.0	0.39	-2323.56014674225	17652	0.08826
(1.6, 1.68)	1.6	1.68	1877	-1.0	0.41000000000000003	-2276.9346660326873	19529	0.097645
(1.68, 1.76)	1.68	1.76	1998	-1.0	0.43	-2310.9852928605123	21527	0.107635
(1.76, 1.84)	1.76	1.84	2051	-1.0	0.45	-2266.852696399146	23578	0.11789
(1.84, 1.92)	1.84	1.92	2276	-1.0	0.47	-2408.4883675342694	25854	0.12927
(1.92, 2.0)	1.92	2.0	2237	-1.0	0.49	-2270.5969878607766	28091	0.140455
(2.0, 2.08)	2.0	2.08	2465	-1.0	0.51	-2403.9027862838325	30556	0.15278
(2.08, 2.16)	2.08	2.16	2574	-1.0	0.53	-2415.4765537649687	33130	0.16565
(2.16, 2.24)	2.16	2.24	2677	-1.0	0.55	-2420.7828560057014	35807	0.179035
(2.24, 2.32)	2.24	2.32	2877	-1.0	0.5700000000000001	-2510.355105676449	38684	0.19342
(2.32, 2.4)	2.32	2.4	2970	-1.0	0.59	-2503.6556196129713	41654	0.20827
(2.4, 2.48)	2.4	2.48	3122	-1.0	0.61	-2545.5006779349214	44776	0.22388
(2.48, 2.56)	2.48	2.56	3249	-1.0	0.63	-2564.9524310792062	48025	0.240125
(2.56, 2.64)	2.56	2.64	3502	-1.0	0.65	-2679.6183207106587	51527	0.257635
(2.64, 2.72)	2.64	2.72	3644	-1.0	0.67	-2705.040170834261	55171	0.275855
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	3838	-1.0	0.6900000000000001	-2766.470432910752	59009	0.295045
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	4044	-1.0	0.71	-2832.845906089911	63053	0.315265
(2.88, 2.96)	2.88	2.96	4235	-1.0	0.73	-2885.364657509318	67288	0.33644
(2.96, 3.04)	2.96	3.04	4509	-1.0	0.75	-2990.1234933389815	71797	0.358985
(3.04, 3.12)	3.04	3.12	4835	-1.0	0.77	-3123.0282055572757	76632	0.38316
(3.12, 3.2)	3.12	3.2	4989	-1.0	0.79	-3140.917765369715	81621	0.408105
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	5482	-1.0	0.81	-3366.077924497572	87103	0.435515
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	5622	-1.0	0.8300000000000001	-3368.8595258382584	92725	0.463625
(3.36, 3.44)	3.36	3.44	6249	-1.0	0.85	-3656.467791842842	98974	0.49487
(3.44, 3.52)	3.44	3.52	6748	-1.0	0.87	-3857.6780028164803	105722	0.52861
(3.52, 3.6)	3.52	3.6	7351	-1.0	0.89	-4107.9634363360965	113073	0.565365
(3.6, 3.68)	3.6	3.68	8337	-1.0	0.91	-4556.5754140011395	121410	0.60705
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	9681	-1.0	0.93	-5177.348804007505	131091	0.655455
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	11863	-1.0	0.95	-6210.707532563039	142954	0.71477
(3.84, 3.92)	3.84	3.92	10425	-1.0	0.97	-5345.329515892433	153379	0.766895
(3.92, 4.0)	3.92	4.0	46621	-1.0	0.99	-23421.599122118805	200000	1.0
(5.0, 5.06)	5.0	5.06	114	-1.0	1.2574999999999998	-60.118169358767965	114	0.0005700057000570006
(5.06, 5.12)	5.06	5.12	134	-1.0	1.2725	-69.8322278137322	248	0.0012400124001240012
(5.12, 5.18)	5.12	5.18	199	-1.0	1.2875	-102.49784360934443	447	0.0022350223502235022
(5.18, 5.24)	5.18	5.24	221	-1.0	1.3025	-112.5183698762268	668	0.0033400334003340034
(5.24, 5.3)	5.24	5.3	302	-1.0	1.3175	-152.0075674059223	970	0.004850048500485005
(5.3, 5.36)	5.3	5.36	410	-1.0	1.3325	-204.04479883576164	1380	0.006900069000690007
(5.36, 5.42)	5.36	5.42	467	-1.0	1.3475000000000001	-229.8248559799495	1847	0.00923509235092351
(5.42, 5.48)	5.42	5.48	515	-1.0	1.3625	-250.65686756062897	2362	0.011810118101181011
(5.48, 5.54)	5.48	5.54	578	-1.0	1.3775	-278.2563735847425	2940	0.014700147001470015
(5.54, 5.6)	5.54	5.6	641	-1.0	1.3925	-305.26127624747375	3581	0.017905179051790517
(5.6, 5.66)	5.6	5.66	762	-1.0	1.4075	-359.01736718775345	4343	0.02171521715217152
(5.66, 5.72)	5.66	5.72	854	-1.0	1.4224999999999999	-398.12044932770937	5197	0.025985259852598527
(5.72, 5.78)	5.72	5.78	988	-1.0	1.4375	-455.7828515211348	6185	0.03092530925309253
(5.78, 5.84)	5.78	5.84	1108	-1.0	1.4525000000000001	-505.86252709644657	7293	0.03646536465364654
(5.84, 5.9)	5.84	5.9	1238	-1.0	1.4675	-559.4373070634996	8531	0.04265542655426554
(5.9, 5.96)	5.9	5.96	1376	-1.0	1.4825	-615.506469068153	9907	0.04953549535495355
(5.96, 6.02)	5.96	6.02	1551	-1.0	1.4975	-686.8372752797205	11458	0.05729057290572906
(6.02, 6.08)	6.02	6.08	1707	-1.0	1.5125	-748.422831564361	13165	0.06582565825658257
(6.08, 6.14)	6.08	6.14	1779	-1.0	1.5274999999999999	-772.3312704868607	14944	0.07472074720747207
(6.14, 6.2)	6.14	6.2	1865	-1.0	1.5425	-801.7935409680754	16809	0.08404584045840459
(6.2, 6.26)	6.2	6.26	2003	-1.0	1.5575	-852.828654395586	18812	0.09406094060940609
(6.26, 6.32)	6.26	6.32	2067	-1.0	1.5725	-871.6832733729286	20879	0.10439604396043961
(6.32, 6.38)	6.32	6.38	2319	-1.0	1.5875	-968.7147323624896	23198	0.11599115991159911
(6.38, 6.4399999999999995)	6.38	6.4399999999999995	2412	-1.0	1.6025	-998.1324044140825	25610	0.12805128051280512
(6.4399999999999995, 6.5)	6.4399999999999995	6.5	2585	-1.0	1.6175	-1059.8030084815673	28195	0.14097640976409764
(6.5, 6.5600000000000005)	6.5	6.5600000000000005	2768	-1.0	1.6325	-1124.4024565552893	30963	0.15481654816548165
(6.5600000000000005, 6.62)	6.5600000000000005	6.62	2877	-1.0	1.6475	-1158.039381070775	33840	0.16920169201692017
(6.62, 6.68)	6.62	6.68	3055	-1.0	1.6625	-1218.5923587612617	36895	0.1844768447684477
(6.68, 6.74)	6.68	6.74	3196	-1.0	1.6775	-1263.4356634915387	40091	0.2004570045700457
(6.74, 6.8)	6.74	6.8	3447	-1.0	1.6925	-1350.583675129912	43538	0.21769217692176923
(6.8, 6.859999999999999)	6.8	6.859999999999999	3463	-1.0	1.7075	-1344.9330598517265	47001	0.23500735007350074
(6.859999999999999, 6.92)	6.859999999999999	6.92	3651	-1.0	1.7225	-1405.5991708478493	50652	0.2532625326253263
(6.92, 6.98)	6.92	6.98	3843	-1.0	1.7375	-1466.744475544728	54495	0.2724777247772478
(6.98, 7.04)	6.98	7.04	4172	-1.0	1.7525	-1578.6838387527164	58667	0.2933379333793338
(7.04, 7.1)	7.04	7.1	4222	-1.0	1.7675	-1584.0456617962839	62889	0.3144481444814448
(7.1, 7.16)	7.1	7.16	4484	-1.0	1.7825	-1668.1878560637133	67373	0.33686836868368686
(7.16, 7.22)	7.16	7.22	4705	-1.0	1.7974999999999999	-1735.7997386355298	72078	0.36039360393603936
(7.22, 7.279999999999999)	7.22	7.279999999999999	4894	-1.0	1.8125	-1790.5845781419414	76972	0.3848638486384864
(7.279999999999999, 7.34)	7.279999999999999	7.34	5277	-1.0	1.8275	-1914.8669281712791	82249	0.4112491124911249
(7.34, 7.4)	7.34	7.4	5591	-1.0	1.8425	-2012.2914672699692	87840	0.4392043920439204
(7.4, 7.46)	7.4	7.46	5839	-1.0	1.8575	-2084.579884956438	93679	0.46839968399683996
(7.46, 7.52)	7.46	7.52	6445	-1.0	1.8725	-2282.4957904478683	100124	0.5006250062500625
(7.52, 7.58)	7.52	7.58	6823	-1.0	1.8875	-2397.1615380044036	106947	0.534740347403474
(7.58, 7.64)	7.58	7.64	7466	-1.0	1.9024999999999999	-2602.3889731145323	114413	0.5720707207072071
(7.64, 7.699999999999999)	7.64	7.699999999999999	8408	-1.0	1.9175	-2907.811302730694	122821	0.6141111411114111
(7.699999999999999, 7.76)	7.699999999999999	7.76	9205	-1.0	1.9324999999999999	-3158.7349097906167	132026	0.6601366013660137
(7.76, 7.82)	7.76	7.82	10490	-1.0	1.9475	-3571.962672302021	142516	0.7125871258712587
(7.82, 7.88)	7.82	7.88	12195	-1.0	1.9625	-4120.795182602289	154711	0.7735627356273562
