u	Value_04
0.	-8383.26878923232
0.06	-8378.60613375303
0.12	-8378.64895087327
0.18	-8376.877172573304
0.24	-8375.204089086668
0.3	-8375.958245286942
0.36	-8377.078381409096
0.42	-8375.777210777005
0.48	-8374.445510766553
0.54	-8375.367708941954
0.6	-8376.51481683147
0.66	-8375.215707205098
0.72	-8373.913311146789
0.78	-8374.857569681506
0.84	-8375.988462159765
0.9	-8374.649658319942
0.96	-8373.323272771657
1.02	-8374.260631468573
1.08	-8375.368710257942
1.14	-8373.974460592359
1.2	-8372.600406619287
1.26	-8373.519532930883
1.32	-8374.60230034285
1.38	-8373.13904634487
1.44	-8371.698695093006
1.5	-8372.591802469638
1.56	-8373.646175478627
1.62	-8372.097764488553
1.68	-8370.570982421403
1.74	-8371.42959295517
1.8	-8372.450152025087
1.86	-8370.795122074554
1.92	-8369.15644454135
1.98	-8369.96871182345
2.04	-8370.945897216854
2.1	-8369.154100429088
2.16	-8367.368339729854
2.22	-8368.115742681406
2.28	-8369.03283452448
2.34	-8367.059780688953
2.4	-8365.07490109173
2.46	-8365.72647697831
2.52	-8366.55367122264
2.58	-8364.329802693284
2.64	-8362.06332505049
2.7	-8362.563820977093
2.76	-8363.24535466365
2.82	-8360.653461829757
2.88	-8357.963091334697
2.94	-8358.205232915152
3.	-8358.627820623047
3.06	-8355.44885392839
3.12	-8352.05905861271
3.18	-8351.807469141757
3.24	-8351.708669531472
3.3	-8347.465162980123
3.36	-8342.741259769326
3.42	-8341.368712980184
3.48	-8339.990938114168
3.54	-8333.338429613015
3.6	-8325.308089408312
3.66	-8320.425066949249
3.72	-8314.40258196877
3.78	-8298.91716027417
3.84	-8275.274643501461
3.9	-8246.49209115537
3.96	-8165.705687650177
4.02	-7857.2589561196055
4.08	-7587.02799325191
4.14	-7379.512713652871
4.2	-7209.087782506735
4.26	-7062.960899472457
4.32	-6934.199965899004
4.38	-6818.5962633436
4.44	-6713.357641310371
4.5	-6616.494130347753
4.56	-6526.49258342952
4.62	-6442.121530446963
4.68	-6362.292572224215
4.74	-6285.932301128396
4.8	-6211.814513624618
4.86	-6138.253596659786
4.92	-6062.397278435072
4.98	-5978.9178153764915
5.04	-5902.1570676474685
5.1	-5878.161468930288
5.16	-5867.170134118702
5.22	-5860.313656058416
5.28	-5855.458367103291
5.34	-5851.746096028792
5.4	-5848.764076646104
5.46	-5846.283790941528
5.52	-5844.166230132341
5.58	-5842.320734960976
5.64	-5840.684941454949
5.7	-5839.214095499078
5.76	-5837.874947224305
5.82	-5836.642059627235
5.88	-5835.495470100902
5.94	-5834.419149268747
6.	-5833.399949800362
6.06	-5832.426867071121
6.12	-5831.490504123203
6.18	-5830.582673608899
6.24	-5829.696093139927
6.3	-5828.824144896621
6.36	-5827.9606793155945
6.42	-5827.099848310572
6.48	-5826.23595700425
6.54	-5825.363325057753
6.6	-5824.476149772825
6.66	-5823.568363408191
6.72	-5822.633476653681
6.78	-5821.664398875574
6.84	-5820.6532233800635
6.9	-5819.590962148618
6.96	-5818.467208609555
7.02	-5817.269697896879
7.08	-5815.983719798253
7.14	-5814.591316903285
7.2	-5813.070163458453
7.26	-5811.3919583407405
7.32	-5809.520057855082
7.38	-5807.4058799364275
7.44	-5804.9832455654105
7.5	-5802.159097253182
7.56	-5798.797502264602
7.62	-5794.690364969607
7.68	-5789.499617121013
7.74	-5782.631251809553
7.8	-5772.926691245259
7.86	-5757.687767757947
7.92	-5729.860301427188
7.98	-5642.2596333027695
8.04	-5438.895185626579
8.1	-5274.476645162053
8.16	-5143.905109373285
8.22	-5033.613250244432
8.28	-4936.838757363023
8.34	-4849.847409583391
8.4	-4770.351243542539
8.46	-4696.835952499735
8.52	-4628.240047064758
8.58	-4563.786038319093
8.64	-4502.884437400451
8.7	-4445.075684930557
8.76	-4389.993225201161
8.82	-4337.3390408777595
8.88	-4286.866876988926
8.94	-4238.37039765242
9.	-4191.674613638221
9.06	-4146.629541550663
9.12	-4103.105423897813
9.18	-4060.989065002475
9.24	-4020.1809801676573
9.3	-3980.593147863458
9.36	-3942.1472160135536
9.42	-3904.77305503793
9.48	-3868.407579051334
9.54	-3832.9937768347672
9.6	-3798.4799086455373
9.66	-3764.818835406584
9.72	-3731.9674545120547
9.78	-3699.8862222099597
9.84	-3668.538746828074
9.9	-3637.8914403815725
9.96	-3607.9132186123525
10.02	-3578.575241455021
10.08	-3549.8506874436634
10.14	-3521.7145567693824
10.2	-3494.1434986470917
10.26	-3467.11565940752
10.32	-3440.6105483393185
10.38	-3414.6089187987286
10.44	-3389.0926625050633
10.5	-3364.0447152681645
10.56	-3339.4489726636366
10.62	-3315.2902143946394
10.68	-3291.5540362641177
10.74	-3268.226788835809
10.8	-3245.295521991776
10.86	-3222.7479347030553
10.92	-3200.5723294219943
10.98	-3178.757570582771
11.04	-3157.2930467628926
11.1	-3136.1686361151324
11.16	-3115.374674727797
11.22	-3094.901927612922
11.28	-3074.7415620578804
11.34	-3054.8851231069284
11.4	-3035.324510966136
11.46	-3016.0519601484752
11.52	-2997.060020196287
11.58	-2978.341537836074
11.64	-2959.889640436216
11.7	-2941.6977206518004
11.76	-2923.7594221529
11.82	-2906.0686263431344
11.88	-2888.6194399848073
11.94	-2871.4061836551396
12.	-2854.423380965538
