u	Value_2
0.	-6448.003226962249
0.06	-6447.874542392637
0.12	-6447.488368366605
0.18	-6446.844343799752
0.24	-6445.941866443944
0.3	-6444.780092233282
0.36	-6443.357934382769
0.42	-6441.674062253911
0.48	-6439.72690000574
0.54	-6437.514625053805
0.6	-6435.0351663640195
0.66	-6432.286202613038
0.72	-6429.265160251441
0.78	-6425.969211511761
0.84	-6422.395272409255
0.9	-6418.540000790217
0.96	-6414.399794490288
1.02	-6409.970789674123
1.08	-6405.248859437574
1.14	-6400.229612764987
1.2	-6394.908393946751
1.26	-6389.280282576667
1.32	-6383.340094264455
1.38	-6377.082382216364
1.44	-6370.501439856325
1.5	-6363.591304681211
1.56	-6356.34576356684
1.62	-6348.758359766102
1.68	-6340.822401866963
1.74	-6332.530975005931
1.8	-6323.876954661324
1.86	-6314.853023380214
1.92	-6305.451690822133
1.98	-6295.665317531258
2.04	-6285.486142875152
2.1	-6274.906317611076
2.16	-6263.9179415589215
2.22	-6252.51310687041
2.28	-6240.683947385203
2.34	-6228.422694552861
2.4	-6215.721740372333
2.46	-6202.57370775335
2.52	-6188.9715286337605
2.58	-6174.908530088553
2.64	-6160.378528536469
2.7	-6145.375931984479
2.76	-6129.89585004609
2.82	-6113.934211224161
2.88	-6097.487886661937
2.94	-6080.554819239243
3.	-6063.1341565281855
3.06	-6045.2263857322305
3.12	-6026.833468325772
3.18	-6007.95897170365
3.24	-5988.60819476225
3.3	-5968.788283988785
3.36	-5948.508336361144
3.42	-5927.779485185015
3.48	-5906.614964946749
3.54	-5885.030151365184
3.6	-5863.042573103004
3.66	-5840.671892060553
3.72	-5817.93984982208
3.78	-5794.8701786444135
3.84	-5771.488476344536
3.9	-5747.822045515706
3.96	-5723.899698630798
4.02	-5699.75153171744
4.08	-5675.408670350105
4.14	-5650.902992639662
4.2	-5626.266834658737
4.26	-5601.532684281323
4.32	-5576.732869713389
4.38	-5551.899249040674
4.44	-5527.062906930743
4.5	-5502.253864223915
4.56	-5477.500805568508
4.62	-5452.830829543321
4.68	-5428.269224910607
4.74	-5403.839275799811
4.8	-5379.562097775197
4.86	-5355.456505920881
4.92	-5331.538915308833
4.98	-5307.823273515343
5.04	-5284.321024229365
5.1	-5261.041100456781
5.16	-5237.989945370537
5.22	-5215.171558486791
5.28	-5192.587564562039
5.34	-5170.237302403469
5.4	-5148.117930663589
5.46	-5126.224547648133
5.52	-5104.55032219972
5.58	-5083.086632824184
5.64	-5061.823212394969
5.7	-5040.748295994716
5.76	-5019.848769721997
5.82	-4999.110318593838
5.88	-4978.517571998308
5.94	-4958.054245485075
6.	-4937.703278012976
6.06	-4917.446964092698
6.12	-4897.267080560636
6.18	-4877.145007989424
6.24	-4857.061846976645
6.3	-4836.998529751438
6.36	-4816.935927696513
6.42	-4796.854955499431
6.48	-4776.736672720355
6.54	-4756.562383594295
6.6	-4736.313735873636
6.66	-4715.972819461928
6.72	-4695.522265492962
6.78	-4674.945346370332
6.84	-4654.226077103605
6.9	-4633.349318059219
6.96	-4612.300878990483
7.02	-4591.067623926226
7.08	-4569.637576187812
7.14	-4548.00002247896
7.2	-4526.145614663108
7.26	-4504.066467524009
7.32	-4481.756250513422
7.38	-4459.21027124478
7.44	-4436.425548313923
7.5	-4413.400870937431
7.56	-4390.136842914881
7.62	-4366.635908557496
7.68	-4342.902358491823
7.74	-4318.9423136440255
7.8	-4294.763686230733
7.86	-4270.37611720837
7.92	-4245.790890337702
7.98	-4221.020823768448
8.04	-4196.080140799292
8.1	-4170.98432217771
8.16	-4145.749942928941
8.22	-4120.394497206535
8.28	-4094.936215008907
8.34	-4069.3938747887278
8.4	-4043.786615988868
8.46	-4018.133755376626
8.52	-3992.454610734597
8.58	-3966.7683350291218
8.64	-3941.0937636482736
8.7	-3915.4492767169154
8.76	-3889.852677891672
8.82	-3864.3210904462226
8.88	-3838.8708709042044
8.94	-3813.5175399842506
9.	-3788.275730203345
9.06	-3763.159149148085
9.12	-3738.180557170341
9.18	-3713.3517580908347
9.24	-3688.683601394295
9.3	-3664.18599436402
9.36	-3639.867922620912
9.42	-3615.737477591674
9.48	-3591.8018895219366
9.54	-3568.067564763162
9.6	-3544.540126188447
9.66	-3521.224455724937
9.72	-3498.1247381234843
9.78	-3475.2445052152075
9.84	-3452.586680026357
9.9	-3430.1536202354573
9.96	-3407.9471605584977
10.02	-3385.968653738615
10.08	-3364.2190098962255
10.14	-3342.698734064029
10.2	-3321.407961789682
10.26	-3300.346492737786
10.32	-3279.513822263165
10.38	-3258.9091709601444
10.44	-3238.5315122186516
10.5	-3218.3795978381795
10.56	-3198.451981766188
10.62	-3178.74704203858
10.68	-3159.2630010077787
10.74	-3139.997943948727
10.8	-3120.949836135766
10.86	-3102.1165384839355
10.92	-3083.495821847623
10.98	-3065.085380067355
11.04	-3046.8828418529433
11.1	-3028.8857815876045
11.16	-3011.0917291339583
11.22	-2993.498178718601
11.28	-2976.102596967655
11.34	-2958.902430161375
11.4	-2941.895110771535
11.46	-2925.0780633410764
11.52	-2908.4487097613446
11.58	-2892.004473998292
11.64	-2875.742786315198
11.7	-2859.6610870358845
11.76	-2843.7568298889296
11.82	-2828.0274849703046
11.88	-2812.4705413587017
11.94	-2797.083509415187
12.	-2781.8639227960593
