u/R	q/Q
0.01	0.00006032246983182257
0.03	0.000542992877059174
0.05	0.0015088249141651338
0.07	0.00295880661999592
0.09	0.004894426248828416
0.11	0.007317682485943373
0.13	0.010231096550061963
0.15	0.013637727959198011
0.17	0.017541193937031893
0.19	0.021945692780144806
0.21	0.02685603155523549
0.23	0.03227765857780907
0.25	0.03821670121817453
0.27	0.04468000969210189
0.29	0.05167520762634427
0.31	0.059210750348901865
0.33	0.06729599204727879
0.35	0.07594126317391402
0.37	0.08515795976800222
0.39	0.09495864672193503
0.41	0.10535717746824065
0.43	0.1163688331252953
0.45	0.12801048485205024
0.47	0.14030078407054922
0.49	0.15326038638434827
0.51	0.16691221653958824
0.53	0.1812817837665432
0.55	0.1963975594771317
0.57	0.2122914328269047
0.59	0.22899926443896715
0.61	0.24656156516346234
0.63	0.2650243359047477
0.65	0.28444011750126047
0.67	0.30486931827551733
0.69	0.326381914179814
0.71	0.3490596573257951
0.73	0.3729989912645101
0.75	0.39831496974681085
0.77	0.42514663493161536
0.79	0.45366457762053586
0.81	0.4840818661418202
0.83	0.5166703755570218
0.85	0.5517861717378337
0.87	0.5899109320475657
0.89	0.631723665303529
0.91	0.6782360795578325
0.93	0.7310537061259934
0.95	0.7933200417154372
0.97	0.8665802058154464
0.99	0.9999999999999996
1.2575	-0.03719785823665723
1.2725	-0.07114509966742147
1.2875	-0.08531772818717198
1.3025	-0.09500640427139882
1.3175	-0.10081282754305719
1.3325	-0.10382655884289052
1.3475	-0.1046304098972933
1.3625	-0.10360337950896172
1.3775	-0.10100635206642729
1.3925	-0.09702767301913795
1.4075	-0.09180788331712944
1.4225	-0.08545433591561731
1.4375	-0.07805034565149693
1.4525	-0.06966118747012968
1.4675	-0.060338174156617866
1.4825	-0.05012150864366131
1.4975	-0.03904232278317348
1.5125	-0.027124156632588752
1.5275	-0.014384040168961462
1.5425	-0.0008332833191657172
1.5575	0.013521955169428758
1.5725	0.02868027264169205
1.5875	0.04464476959828881
1.6025	0.0614229184694268
1.6175	0.07902654206691857
1.6325	0.09747189646539844
1.6475	0.11677985903882779
1.6625	0.1369762281942653
1.6775	0.1580921475946713
1.6925	0.18016467498505911
1.7075	0.20323752491867
1.7225	0.22736202679455028
1.7375	0.2525983562233989
1.7525	0.2790171212031719
1.7675	0.30670141863372874
1.7825	0.3357495273632895
1.7975	0.36627848130659607
1.8125	0.39842888754232514
1.8275	0.4323715505880511
1.8425	0.4683167925226938
1.8575	0.5065279301624492
1.8725	0.5473414110890166
1.8875	0.5911981083770694
1.9025	0.6386943699913052
1.9175	0.6906703726881704
1.9325	0.7483768981514823
1.9475	0.8137957077990668
1.9625	0.8908138201597988
1.9775	0.9811913181666407
1.9925	1.1460187090138225
