u/R	Sigma
0.01	-2098.9642754465763
0.03	-2099.6707345063955
0.05	-2101.0992123427563
0.07	-2103.248017593445
0.09	-2106.1252898608845
0.11	-2109.741592761423
0.13	-2114.110367744859
0.15	-2119.248054982563
0.17	-2125.1742734701133
0.19	-2131.9120398295913
0.21	-2139.4880315174446
0.23	-2147.932900331603
0.25	-2157.281643661955
0.27	-2167.574042651684
0.29	-2178.85517853101
0.31	-2191.176040999481
0.33	-2204.594245742814
0.35	-2219.1748822546606
0.37	-2234.991518299237
0.39	-2252.1273939087055
0.41	-2270.6768462963582
0.43	-2290.7470180587907
0.45	-2312.4599154237967
0.47	-2335.9549022670576
0.49	-2361.39174096257
0.51	-2388.9543251949176
0.53	-2418.85529622679
0.55	-2451.3417980245636
0.57	-2486.702715687859
0.59	-2525.2778675110026
0.61	-2567.469801616634
0.63	-2613.759111298914
0.65	-2664.724573700774
0.67	-2721.0700070260887
0.69	-2783.660653892683
0.71	-2853.573341905576
0.73	-2932.167017453596
0.75	-3021.184173160197
0.77	-3122.900483002607
0.79	-3240.3521825909056
0.81	-3377.6937297382365
0.83	-3540.783869801938
0.85	-3738.194353455607
0.87	-3983.0544564109523
0.89	-4296.682972453096
0.91	-4716.588782483223
0.93	-5314.7115844300015
0.95	-6280.177307779875
0.97	-7766.9582511515855
0.99	-18036.183174007972
1.2575	4678.851391654958
1.2725	1554.0356881752714
1.2875	986.8544788698484
1.3025	601.3357318106561
1.3175	340.25889779249223
1.3325	143.69932664271536
1.3475	-12.541593159480989
1.3625	-141.5715730603655
1.3775	-251.15681107409137
1.3925	-346.27628045079194
1.4075	-430.31150208165
1.4225	-505.66547539997043
1.4375	-574.1096109371359
1.4525	-636.9903944288209
1.4675	-695.3587583523131
1.4825	-750.0545129169097
1.4975	-801.7634586468466
1.5125	-851.0572664301825
1.5275	-898.4221489567639
1.5425	-944.2800593835864
1.5575	-989.004815205768
1.5725	-1032.9347384243963
1.5875	-1076.3829046865992
1.6025	-1119.6457816708562
1.6175	-1163.010841516491
1.6325	-1206.7636137654804
1.6475	-1251.1945817890241
1.6625	-1296.6063052174645
1.6775	-1343.3211694491717
1.6925	-1391.6902232312323
1.7075	-1442.1036756807416
1.7225	-1495.003803184028
1.7375	-1550.9012956699553
1.7525	-1610.396504084615
1.7675	-1674.2077264469099
1.7825	-1743.2097443105274
1.7975	-1818.4875707507779
1.8125	-1901.4133007839177
1.8275	-1993.7590268036276
1.8425	-2097.8679037320544
1.8575	-2216.9226023114143
1.8725	-2355.384373654458
1.8875	-2519.7475597464845
1.9025	-2719.917354249325
1.9175	-2971.9194247863297
1.9325	-3303.8600423339335
1.9475	-3769.52193586189
1.9625	-4509.662365307322
1.9775	-5641.492155883946
1.9925	-13278.165364194934
