U	Potencial_0.004	Potencial_0.04	Potencial_0.08	Potencial_2.0	Potencial_4.0	Potencial_8.0	Potencial_40.0
0.0	8511.483752073602	8483.638573799999	8442.357071902443	6542.837312995747	5050.266043502384	3315.881020752611	787.9460325359441
0.06	8509.075632580036	8482.32527829218	8442.477514414166	6542.711476254697	5050.159121075451	3315.837590324487	787.9451884180208
0.12	8562.370143666982	8486.933969123294	8443.376640504528	6542.333841478575	5049.838350127902	3315.7073056873433	787.9426560799113
0.18	8518.209847222433	8485.263512028348	8443.20455384207	6541.704034954336	5049.303719748507	3315.490186781568	787.9384355685913
0.24	8506.105688732414	8482.600356326784	8442.65486145797	6540.821433644795	5048.555212048733	3315.186266836804	787.9325269623565
0.3	8513.420061749915	8483.4769718101	8442.91735327047	6539.685164909898	5047.592802607937	3314.795592365452	787.9249303708111
0.36	8557.53787209607	8486.788708002805	8444.12295056974	6538.2941061060055	5046.416461096553	3314.3182231535275	787.9156459348675
0.42	8520.389388191765	8487.61028710547	8445.340364373773	6536.646884053905	5045.026152077107	3313.7542322488457	787.9046738267373
0.48	8512.246982460707	8487.594717151422	8446.182206662614	6534.741874365699	5043.42183598286	3313.1037059465343	787.892014249923
0.54	8521.58664061553	8489.147116602633	8446.691010063341	6532.577200621098	5041.603470273791	3312.366743771768	787.877667439208
0.6	8562.435714335385	8490.467278310713	8446.966485397303	6530.150733385678	5039.571010769473	3311.543458459749	787.8616336606459
0.6599999999999999	8522.199805311586	8489.618653756712	8447.183579135775	6527.460089067386	5037.324413158279	3310.6339759327834	787.8439132115446
0.72	8513.41465298845	8488.899167576677	8447.489299599069	6524.50262861264	5034.863634682098	3309.6384352744763	787.8245064204556
0.78	8523.006403316082	8490.657957617845	8448.026616407875	6521.275456050485	5032.188635995551	3308.5569887008996	787.8034136471538
0.84	8566.697367884575	8492.861069975117	8448.634485188539	6517.775416901854	5029.299383198354	3307.389801528709	787.7806352826225
0.8999999999999999	8525.327800049006	8492.218236384302	8449.025607876702	6513.9990964810095	5026.195850039134	3306.1370521400886	787.7561717490333
0.96	8516.796750614258	8491.690718986158	8449.369351002217	6509.94281812801	5022.87802028858	3304.7989319444573	787.7300234997234
1.02	8526.766182708981	8493.402581922488	8449.725355048846	6505.602641423812	5019.345890279321	3303.3756453368214	787.7021910191758
1.08	8570.19643854989	8495.033673851896	8449.889017886246	6500.974360453741	5015.599471609359	3301.867409652712	787.6726748229948
1.14	8528.033296408294	8493.90494807547	8449.698525299087	6496.053502200058	5011.638794005306	3300.2744551195674	787.641475457879
1.2	8517.688547048756	8492.149677805988	8449.156990773763	6490.835325160216	5007.4639083408465	3298.5970248044805	787.6085935015951
1.26	8525.962899822243	8492.513369664306	8448.57818750364	6485.314818304242	5003.074889805114	3296.835374558215	787.5740295629497
1.3199999999999998	8567.91220656684	8493.38213844672	8448.161569830378	6479.486700501948	4998.47184121486	3294.9897729553704	787.5377842817597
1.38	8526.60607169848	8492.316349245913	8447.845631956194	6473.345420569096	4993.654896463171	3293.0605012305914	787.499858328819
1.44	8516.518182382531	8490.824331484657	8447.461957330534	6466.885158100776	4988.624224096513	3291.0478532107377	787.4602524058677
1.5	8525.565045805064	8491.840754538543	8447.294079390103	6460.099825280518	4983.380031010785	3288.9521352428874	787.4189672455543
1.56	8571.283441043448	8493.759292731784	8447.375408493803	6452.983069875224	4977.922566255731	3286.7736661180984	787.376003611403
1.6199999999999999	8527.45605771273	8492.671717790688	8447.290976371532	6445.528279649102	4972.252124935858	3284.512776990814	787.3313622977732
1.68	8517.880984348994	8491.61231512505	8447.209241918485	6437.728588454449	4966.3690521944845	3282.169811293836	787.2850441298232
1.74	8528.219183749721	8493.385012559565	8447.433376147505	6429.576884283582	4960.273747266302	3279.745124648759	787.2370499634657
1.7999999999999998	8576.704686190073	8495.861052210463	8447.745562065173	6421.065819594508	4953.966667582086	3277.2390847718098	787.1873806853299
1.8599999999999999	8531.024057210185	8494.736678115207	8447.568011101986	6412.187824252448	4947.448332907821	3274.652071374997	787.136037212714
1.92	8520.547191196029	8493.162345443245	8447.031760168573	6402.935121460063	4940.71932949886	3271.984476062509	787.0830204935432
1.98	8530.191796429954	8493.96889509929	8446.46299955243	6393.299747080165	4933.78031424805	3269.236702222302	787.0283315063214
2.04	8576.751305321643	8495.091607300015	8445.905595413622	6383.273572784992	4926.632018805321	3266.40916491284	786.9719712600823
2.1	8530.507314141114	8493.56962722214	8445.27311026104	6372.84833349432	4919.27525364452	3263.5022907449197	786.9139407943422
2.16	8520.815058864233	8492.400637747543	8444.656781269505	6362.015659589027	4911.710912051788	3260.5165177585673	786.8542411790467
2.2199999999999998	8531.338525830715	8493.205937398072	8443.81769707695	6350.767114405567	4903.939974008366	3257.4522952949883	786.7928735145191
2.28	8575.508925222823	8493.104409895685	8442.68671128644	6339.094237527294	4895.9635099392935	3254.3100838635532	786.7298389314064
