u	Value_004
0.	8455.451755816028
0.06	8447.924148629509
0.12	8489.502667232899
0.18	8448.367623959135
0.24	8438.08067413427
0.3	8446.375607508966
0.36	8487.95856717687
0.42	8446.973892617818
0.48	8437.428023354125
0.54	8446.127431852246
0.6	8487.832281109144
0.66	8446.533226889323
0.72	8437.08518257538
0.78	8445.960998247076
0.84	8487.996631968486
0.9	8446.25791763727
0.96	8436.770012013756
1.02	8445.79184395636
1.08	8488.338757093301
1.14	8446.018448156461
1.2	8436.417511790087
1.26	8445.595447965163
1.32	8488.841417119458
1.38	8445.770966447393
1.44	8435.996615075295
1.5	8445.357515949685
1.56	8489.515320965615
1.62	8445.491948548502
1.68	8435.481832540383
1.74	8445.064420599228
1.8	8490.388557037775
1.86	8445.162436865096
1.92	8434.84391535636
1.98	8444.699204915318
2.04	8491.508041475978
2.1	8444.761559567001
2.16	8434.043162868264
2.22	8444.237862411122
2.28	8492.947765632593
2.34	8444.261435460432
2.4	8433.020457769708
2.46	8443.643600253235
2.52	8494.82651068943
2.58	8443.620097705463
2.64	8431.681106528154
2.7	8442.855805331314
2.76	8497.345086232968
2.82	8442.768151049819
2.88	8429.860831022284
2.94	8441.765635047033
3.	8500.871909851334
3.06	8441.578733398686
3.12	8427.24317848276
3.18	8440.153057386193
3.24	8506.1716132841
3.3	8439.787104418156
3.36	8423.116980192559
3.42	8437.484638137843
3.48	8515.179405417632
3.54	8436.717055503725
3.6	8415.412277798543
3.66	8431.969393822154
3.72	8535.021437939176
3.78	8430.022614072635
3.84	8392.83019022853
3.9	8413.516745357108
3.96	8752.117341303305
4.02	7938.097676820972
4.08	7631.863635814231
4.14	7414.001191414895
4.2	7238.352202669396
4.26	7088.780177292832
4.32	6957.3952986087625
4.38	6839.615212090198
4.44	6732.469025823708
4.5	6633.86651376928
4.56	6542.229076990345
4.62	6456.27421445183
4.68	6374.863522808304
4.74	6296.858969719987
4.8	6220.922101761029
4.86	6145.101768864379
4.92	6065.620904939866
4.98	5970.91496837732
5.04	5838.456472039829
5.1	5850.2601067243595
5.16	5849.82218674337
5.22	5849.82438798376
5.28	5849.751793810978
5.34	5849.677997480817
5.4	5849.6082648410675
5.46	5849.5442558700815
5.52	5849.485767203031
5.58	5849.43215518061
5.64	5849.38271096702
5.7	5849.336777682096
5.76	5849.293778546229
5.82	5849.253215680048
5.88	5849.214660000296
5.94	5849.177739445506
6.	5849.142127961259
6.06	5849.107535897134
6.12	5849.073701819266
6.18	5849.040385526662
6.24	5849.007362006985
6.3	5848.97441607199
6.36	5848.941337431553
6.42	5848.90791598146
6.48	5848.873937086659
6.54	5848.839176633651
6.6	5848.803395601947
6.66	5848.766333857847
6.72	5848.7277027989985
6.78	5848.687176362533
6.84	5848.6443797344045
6.9	5848.598874833158
6.96	5848.550141236846
7.02	5848.497550594962
7.08	5848.440331574582
7.14	5848.377520779686
7.2	5848.30789239806
7.26	5848.229854708417
7.32	5848.14129333082
7.38	5848.039325751878
7.44	5847.919901677955
7.5	5847.777121824075
7.56	5847.602010923509
7.62	5847.380152218788
7.68	5847.086732966181
7.74	5846.674767293061
7.8	5846.045871977834
7.86	5844.903450884822
7.92	5842.9179189761835
7.98	5824.124340406614
8.04	5462.054148149463
8.1	5283.883578776434
8.16	5149.6557551594915
8.22	5037.8862530323495
8.28	4940.37905569263
8.34	4852.979393065379
8.4	4773.238616735122
8.46	4699.569858844707
8.52	4630.874864263338
8.58	4566.355883459847
8.64	4505.411528224945
8.7	4447.574894466072
8.76	4392.474710058725
8.82	4339.809830632275
8.88	4289.331873208541
8.94	4240.833022528319
9.	4194.137242823021
9.06	4149.0937998387935
9.12	4105.572391314177
9.18	4063.4594229597487
9.24	4022.6551166868253
9.3	3983.0712343116675
9.36	3944.629263697879
9.42	3907.2589573437735
9.48	3870.8971430722454
9.54	3835.486747273855
9.6	3800.975985973932
9.66	3767.31768971474
9.72	3734.4687361039537
9.78	3702.389569716213
9.84	3671.043793416835
9.9	3640.3978185028386
9.96	3610.4205636060237
10.02	3581.0831942750583
10.08	3552.358896692394
10.14	3524.222680192025
10.2	3496.651204203227
10.26	3469.622626010717
10.32	3443.1164663365016
10.38	3417.113490245694
10.44	3391.59560128275
10.5	3366.5457470750125
10.56	3341.947834912147
10.62	3317.786656034496
10.68	3294.0478175497215
10.74	3270.7176810524293
10.8	3247.7833071516925
10.86	3225.232405220747
10.92	3203.053287775561
10.98	3181.234828967337
11.04	3159.7664267405225
11.1	3138.637968264821
11.16	3117.839798298336
11.22	3097.362690180808
11.28	3077.197819191918
11.34	3057.3367380408013
11.4	3037.7713542798124
11.46	3018.493909459175
11.52	2999.4969598593643
11.58	2980.773358656154
11.64	2962.3162393886537
11.7	2944.1190006145166
11.76	2926.1752916485057
11.82	2908.4789992912133
11.88	2891.0242354641614
11.94	2873.8053256757744
12.	2856.8167982501222
