u	Value_8
0.	3299.2000374278523
0.06	3299.1577894727875
0.12	3299.0310521683205
0.18	3298.819845194877
0.24	3298.524201347278
0.3	3298.1441665259467
0.36	3297.6797997245126
0.42	3297.1311730138837
0.48	3296.498371522677
0.54	3295.7814934140547
0.6	3294.9806498588223
0.66	3294.0959650048558
0.72	3293.127575942706
0.78	3292.0756326673936
0.84	3290.9402980362916
0.9	3289.721747723062
0.96	3288.4201701675465
1.02	3287.035766521579
1.08	3285.568750590611
1.14	3284.019348771119
1.2	3282.3877999836704
1.26	3280.6743556016363
1.32	3278.8792793754087
1.38	3277.0028473521274
1.44	3275.0453477907836
1.5	3273.0070810727016
1.56	3270.888359607255
1.62	3268.6895077328636
1.68	3266.4108616131393
1.74	3264.052769128176
1.8	3261.6155897609588
1.86	3259.0996944788435
1.92	3256.5054656100865
1.98	3253.8332967154543
2.04	3251.083592454869
2.1	3248.2567684491296
2.16	3245.35325113673
2.22	3242.373477625809
2.28	3239.3178955412777
2.34	3236.186962867202
2.4	3232.9811477844823
2.46	3229.7009285039617
2.52	3226.3467930950437
2.58	3222.9192393099265
2.64	3219.4187744036067
2.7	3215.845914949796
2.76	3212.201186652882
2.82	3208.485124156157
2.88	3204.698270846435
2.94	3200.841178655344
3.	3196.9144078574113
3.06	3192.918526865246
3.12	3188.854112022026
3.18	3184.7217473915107
3.24	3180.5220245459086
3.3	3176.2555423518043
3.36	3171.922906754448
3.42	3167.52473056071
3.48	3163.061633220966
3.54	3158.5342406102363
3.6	3153.9431848088525
3.66	3149.2891038830085
3.72	3144.5726416654456
3.78	3139.794447536641
3.84	3134.955176206755
3.9	3130.0554874986947
3.96	3125.096046132564
4.02	3120.0775215118265
4.08	3115.000587511446
4.14	3109.86592226834
4.2	3104.674207974361
4.26	3099.426130672148
4.32	3094.1223800540456
4.38	3088.763649264371
4.44	3083.3506347052557
4.5	3077.8840358462626
4.56	3072.364555038006
4.62	3066.7928973299477
4.68	3061.16977029252
4.74	3055.495883843763
4.8	3049.7719500805633
4.86	3043.9986831146316
4.92	3038.1767989132904
4.98	3032.307015145154
5.04	3026.3900510307453
5.1	3020.4266271980437
5.16	3014.417465543015
5.22	3008.363289095071
5.28	3002.264821887425
5.34	2996.122788832288
5.4	2989.9379156008035
5.46	2983.7109285076544
5.52	2977.4425544001733
5.58	2971.133520551848
5.64	2964.7845545600385
5.7	2958.3963842477515
5.76	2951.9697375692353
5.82	2945.5053425192473
5.88	2939.0039270456937
5.94	2932.466218965483
6.	2925.8929458832627
6.06	2919.2848351128573
6.12	2912.6426136010796
6.18	2905.9670078536647
6.24	2899.2587438630526
6.3	2892.5185470377173
6.36	2885.747142132752
6.42	2878.945253181444
6.48	2872.113603427526
6.54	2865.2529152578177
6.6	2858.363910134999
6.66	2851.4473085302075
6.72	2844.5038298551967
6.78	2837.534192393803
6.84	2830.5391132324503
6.9	2823.519308189453
6.96	2816.475491742906
7.02	2809.408376956893
7.08	2802.3186754058675
7.14	2795.207097096972
7.2	2788.0743503901494
7.26	2780.921141915871
7.32	2773.7481764903537
7.38	2766.5561570281398
7.44	2759.3457844519407
7.5	2752.1177575996635
7.56	2744.872773128548
7.62	2737.611525416378
7.68	2730.3347064597424
7.74	2723.0430057693366
7.8	2715.737110262325
7.86	2708.417704151795
7.92	2701.085468833356
7.98	2693.7410827689573
8.04	2686.385221368015
8.1	2679.0185568659513
8.16	2671.64175820027
8.22	2664.2554908843226
8.28	2656.860416878895
8.34	2649.457194461805
8.4	2642.0464780956922
8.46	2634.628918294172
8.52	2627.205161486599
8.58	2619.7758498816206
8.64	2612.3416213297774
8.7	2604.9031091853435
8.76	2597.4609421677
8.82	2590.015744222441
8.88	2582.5681343824954
8.94	2575.118726629495
9.	2567.6681297556597
9.06	2560.2169472264673
9.12	2552.765777044319
9.18	2545.3152116135325
9.24	2537.865837606839
9.3	2530.418235833683
9.36	2522.9729811105676
9.42	2515.530642133668
9.48	2508.091781353955
9.54	2500.656954855086
9.6	2493.2267122342287
9.66	2485.8015964860892
9.72	2478.382143890314
9.78	2470.968883902464
9.84	2463.562339048759
9.9	2456.1630248247575
9.96	2448.771449598128
10.02	2441.388114515686
10.08	2434.013513414801
10.14	2426.648132739346
10.2	2419.292451460268
10.26	2411.9469410008983
10.32	2404.6120651671044
10.38	2397.2882800823427
10.44	2389.9760341276906
10.5	2382.6757678869126
10.56	2375.387914096613
10.62	2368.11289760147
10.68	2360.8511353146296
10.74	2353.6030361832086
10.8	2346.3690011589397
10.86	2339.1494231739407
10.92	2331.9446871215723
10.98	2324.755169842353
11.04	2317.581240114902
11.1	2310.4232586518388
11.16	2303.281578100584
11.22	2296.1565430490023
11.28	2289.048490035791
11.34	2281.957747565546
11.4	2274.884636128391
11.46	2267.829468224112
11.52	2260.792548390642
11.58	2253.7741732368204
11.64	2246.774631479303
11.7	2239.7942039835066
11.76	2232.833163808447
11.82	2225.8917762553733
11.88	2218.9702989200437
11.94	2212.0689817485254
12.	2205.1880670963587
