u/R	q/Q
0.01	0.000060215406659349104
0.03	0.0005420295180933108
0.05	0.0015061500996210889
0.07	0.002953567478010594
0.09	0.004885773360900928
0.11	0.007304771084756542
0.13	0.010213087757133242
0.15	0.013613790074108293
0.17	0.01751050379014901
0.19	0.02190743716177508
0.21	0.026809408735323052
0.23	0.03222187993175102
0.25	0.038150992976059034
0.27	0.04460361483076144
0.29	0.051587387926110284
0.31	0.059110788639922834
0.33	0.06718319467382564
0.35	0.07581496270935957
0.37	0.08501751801828247
0.39	0.09480345806146914
0.41	0.10518667255975192
0.43	0.11618248308405041
0.45	0.12780780592612406
0.47	0.14008134292235447
0.49	0.15302380607552843
0.51	0.16665818334238472
0.53	0.18101005495112177
0.55	0.196107972257737
0.57	0.2119839146923617
0.59	0.22867384514809155
0.61	0.24621839075772228
0.63	0.26466368518528705
0.65	0.2840624215441842
0.67	0.3044751837314063
0.69	0.3259721513408646
0.71	0.3486353142775369
0.73	0.372561395917358
0.75	0.39786578224466307
0.77	0.42468791399243316
0.79	0.4531988660068572
0.81	0.48361230310304154
0.83	0.51620084852002
0.85	0.5513215273369175
0.87	0.5894572812088095
0.89	0.6312888463915622
0.91	0.6778304104942177
0.93	0.7306912820152536
0.95	0.7930218774890168
0.97	0.8663719257625828
0.99	0.9999999999999997
1.2575	-0.03864411673406712
1.2725	-0.07400256606057519
1.2875	-0.08888449778845361
1.3025	-0.09914657444955914
1.3175	-0.10540803688762061
1.3325	-0.10879615979067885
1.3475	-0.10991340146745987
1.3625	-0.10915136963982126
1.3775	-0.10677954216940383
1.3925	-0.10299243720495554
1.4075	-0.09793520210156793
1.4225	-0.09171872927795392
1.4375	-0.08442911559019269
1.4525	-0.07613386179470794
1.4675	-0.0668860862919858
1.4825	-0.05672747233286224
1.4975	-0.04569037476200359
1.5125	-0.03379934905075661
1.5275	-0.021072270058895108
1.5425	-0.0075211500291759974
1.5575	0.0068472712360909144
1.5725	0.022031114981142255
1.5875	0.03803309810057557
1.6025	0.05486039249338024
1.6175	0.07252459657146804
1.6325	0.09104181328691904
1.6475	0.11043283515302194
1.6625	0.13072344266031133
1.6775	0.15194482883582555
1.6925	0.17413417011079274
1.7075	0.1973353729457043
1.7225	0.22160003789603303
1.7375	0.24698869955970584
1.7525	0.27357242451781666
1.7675	0.30143488371873817
1.7825	0.330675066845694
1.7975	0.36141088420051737
1.8125	0.3937840240122258
1.8275	0.42796663099595506
1.8425	0.46417070317623044
1.8575	0.5026616802466866
1.8725	0.5437787459215948
1.8875	0.5879663812663958
1.9025	0.6358258358902288
1.9175	0.6882042115338702
1.9325	0.7463626145407803
1.9475	0.8122991733419841
1.9625	0.8899329798585872
1.9775	0.9810388466637281
1.9925	1.1472093812136528
