u/R	Sigma
0.01	2116.109924400854
0.03	2116.8250699694504
0.05	2118.271114639413
0.07	2120.4463512950983
0.09	2123.3590272439737
0.11	2127.0198462733792
0.13	2131.442428158137
0.15	2136.6434311683943
0.17	2142.642734556805
0.19	2149.4636602519317
0.21	2157.1332395433133
0.23	2165.6825307264985
0.25	2175.146995247277
0.27	2185.5669416338287
0.29	2196.9880486221477
0.31	2209.4619815293167
0.33	2223.04711918338
0.35	2237.809412847944
0.37	2253.823403820019
0.39	2271.1734330108015
0.41	2289.955084423976
0.43	2310.276915567571
0.45	2332.2625424087123
0.47	2356.0531656780477
0.49	2381.8106509958793
0.51	2409.721309780737
0.53	2440.0005748420604
0.55	2472.898829268067
0.57	2508.7087373677764
0.59	2547.7745538722006
0.61	2590.504070434669
0.63	2637.384124931071
0.65	2689.0009943357354
0.67	2746.067589778504
0.69	2809.4602959673816
0.71	2880.2697582426517
0.73	2959.872294019875
0.75	3050.03257746558
0.77	3153.0551221438172
0.79	3272.0144575722684
0.81	3411.117170521909
0.83	3576.2951195461965
0.85	3776.2264077564187
0.87	4024.2022212256525
0.89	4341.802595765673
0.91	4766.993015827363
0.93	5372.583534477451
0.95	6349.967638156476
0.97	7855.003575353431
0.99	18246.472293249644
1.2575	-4817.49018875418
1.2725	-1609.8853835464927
1.2875	-1029.7548146561583
1.3025	-635.7389372212087
1.3175	-369.2511443356743
1.3325	-168.8184856128423
1.3475	-9.639626213732154
1.3625	121.71167562525507
1.3775	233.18547187949932
1.3925	329.8756596700183
1.4075	415.2398822409517
1.4225	491.73389312773645
1.4375	561.1670051674274
1.4525	624.9137481235181
1.4675	684.0463158765319
1.4825	739.4209708586122
1.4975	791.7364672247775
1.5125	841.5748272326241
1.5275	889.4306413790854
1.5425	935.7327178008202
1.5575	980.8605354893115
1.5725	1025.1571290939742
1.5875	1068.9395223382812
1.6025	1112.5075068410026
1.6175	1156.151362535865
1.6325	1200.1589941226487
1.6475	1244.8228921596137
1.6625	1290.4473052844085
1.6775	1337.356027425346
1.6925	1385.9012628519931
1.7075	1436.4741415452672
1.7225	1489.5176357487828
1.7375	1545.5429069326842
1.7525	1605.1505438900988
1.7675	1669.0588271666463
1.7825	1738.142227856711
1.7975	1813.485095638043
1.8125	1896.458416630214
1.8275	1988.8325863866291
1.8425	2092.94825293668
1.8575	2211.984415032911
1.8725	2350.3968987817284
1.8875	2514.671848919812
1.9025	2714.70161584848
1.9175	2966.490672144095
1.9325	3298.1075470384035
1.9475	3763.2619306911733
1.9625	4502.517345095363
1.9775	5632.928221749621
1.9925	13259.0660144065
