Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	25	1.0	0.01	1243.3979929054324	25	0.0001661140605585419
(0.08, 0.16)	0.08	0.16	96	1.0	0.03	1591.5494309189532	121	0.0008039920531033429
(0.16, 0.24)	0.16	0.24	147	1.0	0.05	1462.2360396567883	268	0.0017807427291875694
(0.24, 0.32)	0.24	0.32	192	1.0	0.07	1364.1852265019597	460	0.003056498714277171
(0.32, 0.4)	0.32	0.4	260	1.0	0.09	1436.815458468499	720	0.004784084944086007
(0.4, 0.48)	0.4	0.48	298	1.0	0.11	1347.3912795847964	1018	0.006764164545943827
(0.48, 0.56)	0.48	0.56	368	1.0	0.13	1407.9091119667655	1386	0.009209363517365564
(0.56, 0.64)	0.56	0.64	444	1.0	0.15000000000000002	1472.1832236000325	1830	0.012159549232885269
(0.64, 0.72)	0.64	0.72	488	1.0	0.16999999999999998	1427.713460089062	2318	0.015402095694988006
(0.72, 0.8)	0.72	0.8	550	1.0	0.19	1439.7239917852357	2868	0.01905660502727593
(0.8, 0.88)	0.8	0.88	643	1.0	0.21000000000000002	1522.8664941679883	3511	0.023329058664841626
(0.88, 0.96)	0.88	0.96	691	1.0	0.22999999999999998	1494.2400227785283	4202	0.027920451298679726
(0.96, 1.04)	0.96	1.04	746	1.0	0.25	1484.1198443319226	4948	0.032877294865746615
(1.04, 1.12)	1.04	1.12	794	1.0	0.27	1462.6044538769079	5742	0.038153077429085906
(1.12, 1.2)	1.12	1.2	866	1.0	0.29000000000000004	1485.2174646291114	6608	0.0439072684868338
(1.2, 1.28)	1.2	1.28	964	1.0	0.31	1546.6266647236594	7572	0.05031262666197118
(1.28, 1.36)	1.28	1.36	1003	1.0	0.33	1511.6705295565419	8575	0.056977122771579874
(1.36, 1.44)	1.36	1.44	1054	1.0	0.35	1497.7616965969469	9629	0.063980491564728
(1.44, 1.52)	1.44	1.52	1157	1.0	0.37	1555.2556516665777	10786	0.07166825028737732
(1.52, 1.6)	1.52	1.6	1221	1.0	0.39	1557.1168711154155	12007	0.07978126100505652
(1.6, 1.68)	1.6	1.68	1280	1.0	0.41000000000000003	1552.7311521160575	13287	0.08828630090565386
(1.68, 1.76)	1.68	1.76	1418	1.0	0.43	1640.1287013394428	14705	0.09770829042053436
(1.76, 1.84)	1.76	1.84	1392	1.0	0.45	1538.4977832216537	16097	0.10695752131243397
(1.84, 1.92)	1.84	1.92	1549	1.0	0.47	1639.1689285195885	17646	0.11724994850464122
(1.92, 2.0)	1.92	2.0	1590	1.0	0.49	1613.8798438527647	19236	0.1278148027561645
(2.0, 2.08)	2.0	2.08	1665	1.0	0.51	1623.73149661768	20901	0.1388779991893634
(2.08, 2.16)	2.08	2.16	1765	1.0	0.53	1656.2999679079912	22666	0.15060565186479644
(2.16, 2.24)	2.16	2.24	1852	1.0	0.55	1674.7440602624426	24518	0.16291138147097323
(2.24, 2.32)	2.24	2.32	1968	1.0	0.5700000000000001	1717.198070202034	26486	0.17598788031814164
(2.32, 2.4)	2.32	2.4	2146	1.0	0.59	1809.0387069661401	28632	0.19024711127648689
(2.4, 2.48)	2.4	2.48	2201	1.0	0.61	1794.5698245146577	30833	0.20487179316806092
(2.48, 2.56)	2.48	2.56	2373	1.0	0.63	1873.3863093108514	33206	0.22063933979627773
(2.56, 2.64)	2.56	2.64	2451	1.0	0.65	1875.4267572992076	35657	0.23692516229343716
(2.64, 2.72)	2.64	2.72	2559	1.0	0.67	1899.6152022955198	38216	0.25392859753220953
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	2633	1.0	0.6900000000000001	1897.8938639536243	40849	0.27142373039023515
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	2855	1.0	0.71	1999.9443773211412	43704	0.29039395610602065
(2.88, 2.96)	2.88	2.96	3127	1.0	0.73	2130.4687801727596	46831	0.31117150280068306
(2.96, 3.04)	2.96	3.04	3302	1.0	0.75	2189.7067587059914	50133	0.3331118479192553
(3.04, 3.12)	3.04	3.12	3384	1.0	0.77	2185.796783372455	53517	0.3555970471564595
(3.12, 3.2)	3.12	3.2	3705	1.0	0.79	2332.5516778301853	57222	0.3802151509312354
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	3973	1.0	0.81	2439.5161608954495	61195	0.4066139974351989
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	4257	1.0	0.8300000000000001	2550.9133762884144	65452	0.4348998996671074
(3.36, 3.44)	3.36	3.44	4636	1.0	0.85	2712.6555741692137	70088	0.46570409105708344
(3.44, 3.52)	3.44	3.52	5028	1.0	0.87	2874.393153254485	75116	0.4991129509166174
(3.52, 3.6)	3.52	3.6	5587	1.0	0.89	3122.1863309494993	80703	0.5362361211702403
(3.6, 3.68)	3.6	3.68	6004	1.0	0.91	3281.4776041337223	86707	0.5761300739539797
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	7475	1.0	0.93	3997.591396545409	94182	0.6257981780609838
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	9519	1.0	0.95	4983.539155564998	103701	0.6890477677592542
(3.84, 3.92)	3.84	3.92	7137	1.0	0.97	3659.4356599447765	110838	0.7364700097675068
(3.92, 4.0)	3.92	4.0	39661	1.0	0.99	19925.013251160508	150499	1.0
