Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	3	1.0	0.01	149.2077591486519	3	5.940711697261332e-05
(0.08, 0.16)	0.08	0.16	23	1.0	0.03	381.3087178243326	26	0.0005148616804293155
(0.16, 0.24)	0.16	0.24	39	1.0	0.05	387.9401737864949	65	0.0012871542010732887
(0.24, 0.32)	0.24	0.32	63	1.0	0.07	447.6232774459555	128	0.0025347036574981685
(0.32, 0.4)	0.32	0.4	76	1.0	0.09	419.99221093694587	204	0.004039683954137706
(0.4, 0.48)	0.4	0.48	91	1.0	0.11	411.4516994705251	295	0.00584169983564031
(0.48, 0.56)	0.48	0.56	99	1.0	0.13	378.75815783888527	394	0.00780213469573655
(0.56, 0.64)	0.56	0.64	121	1.0	0.15000000000000002	401.20308571081966	515	0.010198221746965287
(0.64, 0.72)	0.64	0.72	148	1.0	0.16999999999999998	432.9950657647155	663	0.013128972850947544
(0.72, 0.8)	0.72	0.8	164	1.0	0.19	429.29951755050666	827	0.01637656191211707
(0.8, 0.88)	0.8	0.88	192	1.0	0.21000000000000002	454.7284088339872	1019	0.020178617398364324
(0.88, 0.96)	0.88	0.96	192	1.0	0.22999999999999998	415.1868080658139	1211	0.023980672884611576
(0.96, 1.04)	0.96	1.04	228	1.0	0.25	453.59158781190126	1439	0.02849561377453019
(1.04, 1.12)	1.04	1.12	215	1.0	0.27	396.04528662913754	1654	0.03275312382423414
(1.12, 1.2)	1.12	1.2	231	1.0	0.29000000000000004	396.17232601538655	1885	0.03732747183112537
(1.2, 1.28)	1.2	1.28	288	1.0	0.31	462.0627380087281	2173	0.043030555060496245
(1.28, 1.36)	1.28	1.36	269	1.0	0.33	405.4231031412859	2442	0.04835739321570724
(1.36, 1.44)	1.36	1.44	309	1.0	0.35	439.0971197803193	2751	0.05447632626388641
(1.44, 1.52)	1.44	1.52	311	1.0	0.37	418.0505684255019	3062	0.06063486405671399
(1.52, 1.6)	1.52	1.6	383	1.0	0.39	488.4322372131074	3445	0.06821917265688429
(1.6, 1.68)	1.6	1.68	378	1.0	0.41000000000000003	458.54091835927323	3823	0.07570446939543357
(1.68, 1.76)	1.68	1.76	429	1.0	0.43	496.20254786644637	4252	0.08419968712251728
(1.76, 1.84)	1.76	1.84	441	1.0	0.45	487.4120132189291	4693	0.09293253331749143
(1.84, 1.92)	1.84	1.92	449	1.0	0.47	475.1367649485444	5142	0.10182379849105923
(1.92, 2.0)	1.92	2.0	463	1.0	0.49	469.95369037976735	5605	0.11099229687716589
(2.0, 2.08)	2.0	2.08	517	1.0	0.51	504.1856959467511	6122	0.12123012336877959
(2.08, 2.16)	2.08	2.16	561	1.0	0.53	526.4500181282624	6683	0.13233925424265827
(2.16, 2.24)	2.16	2.24	598	1.0	0.55	540.7650907326894	7281	0.1441810728925325
(2.24, 2.32)	2.24	2.32	562	1.0	0.5700000000000001	490.3787172020036	7843	0.1553100061387354
(2.32, 2.4)	2.32	2.4	641	1.0	0.59	540.351263357547	8484	0.16800332679855046
(2.4, 2.48)	2.4	2.48	661	1.0	0.61	538.9416874167146	9145	0.1810926949048496
(2.48, 2.56)	2.48	2.56	728	1.0	0.63	574.7261833873998	9873	0.19550882195687044
(2.56, 2.64)	2.56	2.64	773	1.0	0.65	591.4748606251683	10646	0.21081605576348048
(2.64, 2.72)	2.64	2.72	846	1.0	0.67	628.0087773122351	11492	0.22756886274975743
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	808	1.0	0.6900000000000001	582.4148279812109	12300	0.2435691795877146
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	895	1.0	0.71	626.9527907889392	13195	0.2612923028178776
(2.88, 2.96)	2.88	2.96	986	1.0	0.73	671.775573153291	14181	0.28081744192954317
(2.96, 3.04)	2.96	3.04	995	1.0	0.75	659.8298682351489	15176	0.3005208023921266
(3.04, 3.12)	3.04	3.12	1142	1.0	0.77	737.6418222846761	16318	0.32313511158636804
(3.12, 3.2)	3.12	3.2	1221	1.0	0.79	768.7032654873567	17539	0.34731380819422164
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	1372	1.0	0.81	842.4405166746933	18911	0.3744826630230302
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	1416	1.0	0.8300000000000001	848.5067749176403	20327	0.4025228222341036
(3.36, 3.44)	3.36	3.44	1503	1.0	0.85	879.4480862761709	21830	0.4322857878373829
(3.44, 3.52)	3.44	3.52	1760	1.0	0.87	1006.1519390866931	23590	0.4671379631279827
(3.52, 3.6)	3.52	3.6	1927	1.0	0.89	1076.8664864398936	25517	0.5052971345967247
(3.6, 3.68)	3.6	3.68	2108	1.0	0.91	1152.1243819976494	27625	0.5470405354561476
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	2608	1.0	0.93	1394.7449313967127	30233	0.5986851224776728
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	3630	1.0	0.95	1900.4356691565229	33863	0.670567734014535
