Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.04)	0.0	0.04	1	1.0	0.01	198.94367886486918	1	0.00019801980198019803
(0.04, 0.08)	0.04	0.08	2	1.0	0.03	132.6291192432461	3	0.000594059405940594
(0.08, 0.12)	0.08	0.12	2	1.0	0.05	79.57747154594766	5	0.0009900990099009901
(0.12, 0.16)	0.12	0.16	6	1.0	0.07	170.52315331274497	11	0.0021782178217821784
(0.16, 0.2)	0.16	0.2	7	1.0	0.09	154.73397245045373	18	0.0035643564356435645
(0.2, 0.24)	0.2	0.24	8	1.0	0.11	144.68631190172312	26	0.005148514851485149
(0.24, 0.28)	0.24	0.28	13	1.0	0.13	198.94367886486904	39	0.007722772277227723
(0.28, 0.32)	0.28	0.32	10	1.0	0.15000000000000002	132.62911924324615	49	0.009702970297029703
(0.32, 0.36)	0.32	0.36	9	1.0	0.16999999999999998	105.3231241049308	58	0.011485148514851485
(0.36, 0.4)	0.36	0.4	22	1.0	0.19	230.3558386856377	80	0.015841584158415842
(0.4, 0.44)	0.4	0.44	17	1.0	0.21000000000000002	161.04964479537048	97	0.019207920792079208
(0.44, 0.48)	0.44	0.48	22	1.0	0.22999999999999998	190.29395369683138	119	0.023564356435643564
(0.48, 0.52)	0.48	0.52	13	1.0	0.25	103.45071300973187	132	0.026138613861386138
(0.52, 0.56)	0.52	0.56	26	1.0	0.27	191.57539446246653	158	0.03128712871287129
(0.56, 0.6)	0.56	0.6	25	1.0	0.29000000000000004	171.50317143523228	183	0.036237623762376235
(0.6, 0.64)	0.6	0.64	31	1.0	0.31	198.94367886486904	214	0.04237623762376238
(0.64, 0.68)	0.64	0.68	26	1.0	0.33	156.74350456019974	240	0.047524752475247525
(0.68, 0.72)	0.68	0.72	36	1.0	0.35	204.62778397529445	276	0.05465346534653465
(0.72, 0.76)	0.72	0.76	28	1.0	0.37	150.55197319503606	304	0.060198019801980196
(0.76, 0.8)	0.76	0.8	28	1.0	0.39	142.83135918503402	332	0.06574257425742575
(0.8, 0.84)	0.8	0.84	41	1.0	0.41000000000000003	198.94367886486987	373	0.07386138613861386
(0.84, 0.88)	0.84	0.88	38	1.0	0.43	175.8106929503493	411	0.08138613861386139
(0.88, 0.92)	0.88	0.92	50	1.0	0.45	221.04853207207668	461	0.09128712871287128
(0.92, 0.96)	0.92	0.96	47	1.0	0.47	198.94367886486936	508	0.1005940594059406
(0.96, 1.0)	0.96	1.0	56	1.0	0.49	227.36420441699326	564	0.11168316831683169
(1.0, 1.04)	1.0	1.04	61	1.0	0.51	237.95224334817652	625	0.12376237623762376
(1.04, 1.08)	1.04	1.08	65	1.0	0.53	243.98753068333016	690	0.13663366336633664
(1.08, 1.12)	1.08	1.12	53	1.0	0.55	191.70936326978287	743	0.14712871287128712
(1.12, 1.16)	1.12	1.16	58	1.0	0.5700000000000001	202.43391884495523	801	0.15861386138613862
(1.16, 1.2)	1.16	1.2	69	1.0	0.59	232.6629464690842	870	0.17227722772277226
(1.2, 1.24)	1.2	1.24	60	1.0	0.61	195.68230708019894	930	0.18415841584158416
(1.24, 1.28)	1.24	1.28	53	1.0	0.63	167.36531714028678	983	0.19465346534653466
(1.28, 1.32)	1.28	1.32	77	1.0	0.65	235.67174265530636	1060	0.2099009900990099
(1.32, 1.36)	1.32	1.36	66	1.0	0.67	195.97437022509467	1126	0.22297029702970297
(1.36, 1.4000000000000001)	1.36	1.4000000000000001	80	1.0	0.6900000000000001	230.65933781434097	1206	0.2388118811881188
(1.4000000000000001, 1.44)	1.4000000000000001	1.44	90	1.0	0.71	252.18212813856772	1296	0.25663366336633664
(1.44, 1.48)	1.44	1.48	97	1.0	0.73	264.3498198615385	1393	0.27584158415841586
(1.48, 1.52)	1.48	1.52	98	1.0	0.75	259.95307371676216	1491	0.29524752475247523
(1.52, 1.56)	1.52	1.56	108	1.0	0.77	279.0378872390368	1599	0.31663366336633664
(1.56, 1.6)	1.56	1.6	118	1.0	0.79	297.15638108929755	1717	0.34
(1.6, 1.6400000000000001)	1.6	1.6400000000000001	131	1.0	0.81	321.74841890491206	1848	0.36594059405940593
(1.6400000000000001, 1.68)	1.6400000000000001	1.68	150	1.0	0.8300000000000001	359.5367690328984	1998	0.39564356435643566
(1.68, 1.72)	1.68	1.72	159	1.0	0.85	372.14170517075496	2157	0.4271287128712871
(1.72, 1.76)	1.72	1.76	185	1.0	0.87	423.04115620690504	2342	0.4637623762376238
(1.76, 1.8)	1.76	1.8	232	1.0	0.89	518.5947583893208	2574	0.5097029702970297
(1.8, 1.84)	1.8	1.84	264	1.0	0.91	577.1552881354448	2838	0.561980198019802
(1.84, 1.8800000000000001)	1.84	1.8800000000000001	372	1.0	0.93	795.774715459474	3210	0.6356435643564357
(1.8800000000000001, 1.92)	1.8800000000000001	1.92	466	1.0	0.95	975.8710984318894	3676	0.7279207920792079
(1.92, 1.96)	1.92	1.96	584	1.0	0.97	1197.7640047122038	4260	0.8435643564356435
(1.96, 2.0)	1.96	2.0	790	1.0	0.99	1587.530366699458	5050	1.0
(2.00001, 2.0400098)	2.00001	2.0400098	507	-1.0	1.01000495	-998.6579720152481	507	0.1003960396039604
(2.0400098, 2.0800096)	2.0400098	2.0800096	476	-1.0	1.03000485	-919.3904730448703	983	0.19465346534653466
(2.0800096, 2.1200094000000003)	2.0800096	2.1200094000000003	356	-1.0	1.05000475	-674.5141276495367	1339	0.26514851485148516
(2.1200094000000003, 2.1600092)	2.1200094000000003	2.1600092	266	-1.0	1.07000465	-494.5705906462291	1605	0.3178217821782178
(2.1600092, 2.200009)	2.1600092	2.200009	232	-1.0	1.0900045500000002	-423.4401064882798	1837	0.36376237623762375
(2.200009, 2.2400088)	2.200009	2.2400088	179	-1.0	1.11000445	-320.81940367261285	2016	0.39920792079207923
(2.2400088, 2.2800086)	2.2400088	2.2800086	116	-1.0	1.13000435	-204.22560440794294	2132	0.42217821782178216
(2.2800086, 2.3200084)	2.2800086	2.3200084	112	-1.0	1.1500042499999998	-193.75409649036234	2244	0.44435643564356436
(2.3200084, 2.3600082000000002)	2.3200084	2.3600082000000002	108	-1.0	1.17000415	-183.64058578364325	2352	0.46574257425742577
(2.3600082000000002, 2.400008)	2.3600082000000002	2.400008	97	-1.0	1.1900040500000002	-162.16443412994343	2449	0.48495049504950494
(2.400008, 2.4400078)	2.400008	2.4400078	97	-1.0	1.21000395	-159.4840524120524	2546	0.5041584158415842
(2.4400078, 2.4800076)	2.4400078	2.4800076	88	-1.0	1.2300038500000001	-142.33395509912313	2634	0.5215841584158416
(2.4800076, 2.5200074)	2.4800076	2.5200074	61	-1.0	1.2500037499999999	-97.08470945693149	2695	0.5336633663366337
(2.5200074, 2.5600072000000003)	2.5200074	2.5600072000000003	82	-1.0	1.27000365	-128.45209723795116	2777	0.54990099009901
(2.5600072000000003, 2.600007)	2.5600072000000003	2.600007	72	-1.0	1.2900035500000002	-111.03858201284137	2849	0.5641584158415841
