Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.008)	0.0	0.008	0	1.0	0.01	0.0	0	0.0
(0.008, 0.016)	0.008	0.016	0	1.0	0.03	0.0	0	0.0
(0.016, 0.024)	0.016	0.024	0	1.0	0.049999999999999996	0.0	0	0.0
(0.024, 0.032)	0.024	0.032	0	1.0	0.06999999999999999	0.0	0	0.0
(0.032, 0.04)	0.032	0.04	1	1.0	0.09000000000000001	552.621330180192	1	0.0049504950495049506
(0.04, 0.048)	0.04	0.048	0	1.0	0.10999999999999999	0.0	1	0.0049504950495049506
(0.048, 0.056)	0.048	0.056	0	1.0	0.13	0.0	1	0.0049504950495049506
(0.056, 0.064)	0.056	0.064	1	1.0	0.15	331.5727981081155	2	0.009900990099009901
(0.064, 0.07200000000000001)	0.064	0.07200000000000001	0	1.0	0.17	0.0	2	0.009900990099009901
(0.07200000000000001, 0.08)	0.07200000000000001	0.08	5	1.0	0.19000000000000003	1308.839992532035	7	0.034653465346534656
(0.08, 0.088)	0.08	0.088	3	1.0	0.20999999999999996	710.5131388031049	10	0.04950495049504951
(0.088, 0.096)	0.088	0.096	1	1.0	0.22999999999999998	216.2431292009446	11	0.054455445544554455
(0.096, 0.10400000000000001)	0.096	0.10400000000000001	2	1.0	0.25	397.88735772973774	13	0.06435643564356436
(0.10400000000000001, 0.112)	0.10400000000000001	0.112	4	1.0	0.27	736.8284402402568	17	0.08415841584158416
(0.112, 0.12)	0.112	0.12	5	1.0	0.29	857.5158571761611	22	0.10891089108910891
(0.12, 0.128)	0.12	0.128	3	1.0	0.31	481.31535209242554	25	0.12376237623762376
(0.128, 0.136)	0.128	0.136	2	1.0	0.33	301.4298164619226	27	0.13366336633663367
(0.136, 0.14400000000000002)	0.136	0.14400000000000002	4	1.0	0.35000000000000003	568.4105110424828	31	0.15346534653465346
(0.14400000000000002, 0.152)	0.14400000000000002	0.152	3	1.0	0.37000000000000005	403.26421391527623	34	0.16831683168316833
(0.152, 0.16)	0.152	0.16	5	1.0	0.38999999999999996	637.6399963617597	39	0.19306930693069307
(0.16, 0.168)	0.16	0.168	3	1.0	0.41	363.92136377719953	42	0.2079207920792079
(0.168, 0.176)	0.168	0.176	2	1.0	0.42999999999999994	231.3298591451972	44	0.21782178217821782
(0.176, 0.184)	0.176	0.184	3	1.0	0.44999999999999996	331.57279810811525	47	0.23267326732673269
(0.184, 0.192)	0.184	0.192	3	1.0	0.47	317.4633173375568	50	0.24752475247524752
(0.192, 0.2)	0.192	0.2	5	1.0	0.49	507.5093848593591	55	0.2722772277227723
(0.2, 0.20800000000000002)	0.2	0.20800000000000002	6	1.0	0.51	585.1284672496147	61	0.30198019801980197
(0.20800000000000002, 0.216)	0.20800000000000002	0.216	1	1.0	0.53	93.84135795512738	62	0.3069306930693069
(0.216, 0.224)	0.216	0.224	4	1.0	0.5499999999999999	361.7157797543066	66	0.32673267326732675
(0.224, 0.232)	0.224	0.232	4	1.0	0.57	349.02399800854255	70	0.3465346534653465
(0.232, 0.24)	0.232	0.24	5	1.0	0.59	421.4908450526895	75	0.3712871287128713
(0.24, 0.248)	0.24	0.248	4	1.0	0.61	326.1371784669988	79	0.3910891089108911
(0.248, 0.256)	0.248	0.256	10	1.0	0.63	789.45904311456	89	0.4405940594059406
(0.256, 0.264)	0.256	0.264	11	1.0	0.65	841.6847951975212	100	0.49504950495049505
(0.264, 0.272)	0.264	0.272	7	1.0	0.67	519.6290119604791	107	0.5297029702970297
(0.272, 0.28)	0.272	0.28	4	1.0	0.6900000000000001	288.32417226792614	111	0.5495049504950495
(0.28, 0.28800000000000003)	0.28	0.28800000000000003	6	1.0	0.7100000000000001	420.3035468976103	117	0.5792079207920792
(0.28800000000000003, 0.296)	0.28800000000000003	0.296	4	1.0	0.7300000000000001	272.52558748612404	121	0.599009900990099
(0.296, 0.304)	0.296	0.304	6	1.0	0.7499999999999999	397.8873577297373	127	0.6287128712871287
(0.304, 0.312)	0.304	0.312	4	1.0	0.7699999999999999	258.36841411021965	131	0.6485148514851485
(0.312, 0.32)	0.312	0.32	3	1.0	0.7899999999999999	188.87058120082497	134	0.6633663366336634
(0.32, 0.328)	0.32	0.328	6	1.0	0.8099999999999999	368.41422012012754	140	0.693069306930693
(0.328, 0.336)	0.328	0.336	6	1.0	0.83	359.5367690328963	146	0.7227722772277227
(0.336, 0.34400000000000003)	0.336	0.34400000000000003	10	1.0	0.85	585.1284672496138	156	0.7722772277227723
(0.34400000000000003, 0.352)	0.34400000000000003	0.352	7	1.0	0.8699999999999999	400.1740666822108	163	0.806930693069307
(0.352, 0.36)	0.352	0.36	6	1.0	0.8899999999999999	335.29833516550946	169	0.8366336633663366
(0.36, 0.368)	0.36	0.368	7	1.0	0.9099999999999999	382.5839978170564	176	0.8712871287128713
(0.368, 0.376)	0.368	0.376	8	1.0	0.9299999999999999	427.8358685265994	184	0.9108910891089109
(0.376, 0.384)	0.376	0.384	5	1.0	0.95	261.76799850640674	189	0.9356435643564357
(0.384, 0.392)	0.384	0.392	8	1.0	0.97	410.1931522986981	197	0.9752475247524752
(0.392, 0.4)	0.392	0.4	5	1.0	0.99	251.19151371826882	202	1.0
(0.5, 0.506)	0.5	0.506	3	-1.0	1.2574999999999998	-158.20570883886253	3	0.01485148514851485
(0.506, 0.512)	0.506	0.512	5	-1.0	1.2725	-260.5680142303459	8	0.039603960396039604
(0.512, 0.518)	0.512	0.518	3	-1.0	1.2874999999999999	-154.51936222514064	11	0.054455445544554455
(0.518, 0.524)	0.518	0.524	2	-1.0	1.3025	-101.82657907350892	13	0.06435643564356436
(0.524, 0.53)	0.524	0.53	1	-1.0	1.3175	-50.33363159136478	14	0.06930693069306931
(0.53, 0.536)	0.53	0.536	6	-1.0	1.3325	-298.6021446377017	20	0.09900990099009901
(0.536, 0.542)	0.536	0.542	2	-1.0	1.3475	-98.42606251817934	22	0.10891089108910891
(0.542, 0.548)	0.542	0.548	5	-1.0	1.3625	-243.3561820976976	27	0.13366336633663367
(0.548, 0.554)	0.548	0.554	3	-1.0	1.3775	-144.42372331387946	30	0.1485148514851485
(0.554, 0.56)	0.554	0.56	4	-1.0	1.3925	-190.4906560046632	34	0.16831683168316833
(0.56, 0.5660000000000001)	0.56	0.5660000000000001	3	-1.0	1.4075	-141.34542015265933	37	0.18316831683168316
(0.5660000000000001, 0.5720000000000001)	0.5660000000000001	0.5720000000000001	3	-1.0	1.4225	-139.85495878022437	40	0.19801980198019803
(0.5720000000000001, 0.5780000000000001)	0.5720000000000001	0.5780000000000001	5	-1.0	1.4375	-230.6593378143405	45	0.22277227722772278
(0.5780000000000001, 0.5840000000000001)	0.5780000000000001	0.5840000000000001	4	-1.0	1.4525000000000001	-182.62185093734462	49	0.24257425742574257
(0.5840000000000001, 0.59)	0.5840000000000001	0.59	6	-1.0	1.4674999999999998	-271.1327820986337	55	0.2722772277227723
(0.59, 0.596)	0.59	0.596	4	-1.0	1.4825	-178.9262991477179	59	0.29207920792079206
(0.596, 0.602)	0.596	0.602	6	-1.0	1.4974999999999998	-265.70107360917524	65	0.3217821782178218
(0.602, 0.608)	0.602	0.608	3	-1.0	1.5125	-131.5330108197474	68	0.33663366336633666
(0.608, 0.614)	0.608	0.614	4	-1.0	1.5274999999999999	-173.6551479453303	72	0.3564356435643564
(0.614, 0.62)	0.614	0.62	5	-1.0	1.5425	-214.95805387884235	77	0.3811881188118812
(0.62, 0.626)	0.62	0.626	3	-1.0	1.5574999999999999	-127.73269911067072	80	0.39603960396039606
(0.626, 0.632)	0.626	0.632	5	-1.0	1.5725	-210.85710531517668	85	0.4207920792079208
(0.632, 0.638)	0.632	0.638	3	-1.0	1.5875	-125.3188528282638	88	0.43564356435643564
(0.638, 0.644)	0.638	0.644	3	-1.0	1.6025	-124.14582144453564	91	0.4504950495049505
(0.644, 0.65)	0.644	0.65	3	-1.0	1.6175	-122.99454643886823	94	0.46534653465346537
(0.65, 0.656)	0.65	0.656	4	-1.0	1.6325	-162.48590412648815	98	0.48514851485148514
(0.656, 0.662)	0.656	0.662	4	-1.0	1.6475	-161.00651804946477	102	0.504950495049505
(0.662, 0.668)	0.662	0.668	3	-1.0	1.6625	-119.66537074578534	105	0.5198019801980198
(0.668, 0.674)	0.668	0.674	3	-1.0	1.6775	-118.5953376243631	108	0.5346534653465347
(0.674, 0.68)	0.674	0.68	6	-1.0	1.6925000000000001	-235.0885422332274	114	0.5643564356435643
(0.68, 0.686)	0.68	0.686	2	-1.0	1.7075	-77.67444758023217	116	0.5742574257425742
(0.686, 0.6920000000000001)	0.686	0.6920000000000001	8	-1.0	1.7225000000000001	-307.9921491860578	124	0.6138613861386139
(0.6920000000000001, 0.6980000000000001)	0.6920000000000001	0.6980000000000001	5	-1.0	1.7375	-190.83326509819554	129	0.6386138613861386
(0.6980000000000001, 0.7040000000000001)	0.6980000000000001	0.7040000000000001	3	-1.0	1.7525000000000002	-113.51993087866958	132	0.6534653465346535
(0.7040000000000001, 0.7100000000000001)	0.7040000000000001	0.7100000000000001	11	-1.0	1.7675	-412.70730174701805	143	0.7079207920792079
(0.7100000000000001, 0.716)	0.7100000000000001	0.716	2	-1.0	1.7825000000000002	-74.40623800462706	145	0.7178217821782178
(0.716, 0.722)	0.716	0.722	3	-1.0	1.7974999999999999	-110.67798546028922	148	0.7326732673267327
(0.722, 0.728)	0.722	0.728	4	-1.0	1.8124999999999998	-146.34937295806398	152	0.7524752475247525
(0.728, 0.734)	0.728	0.734	2	-1.0	1.8275	-72.5740734573166	154	0.7623762376237624
(0.734, 0.74)	0.734	0.74	2	-1.0	1.8424999999999998	-71.98323975210133	156	0.7722772277227723
(0.74, 0.746)	0.74	0.746	7	-1.0	1.8575	-249.90681957004554	163	0.806930693069307
(0.746, 0.752)	0.746	0.752	4	-1.0	1.8724999999999998	-141.65994044672487	167	0.8267326732673267
(0.752, 0.758)	0.752	0.758	7	-1.0	1.8875	-245.93479064972908	174	0.8613861386138614
(0.758, 0.764)	0.758	0.764	5	-1.0	1.9024999999999999	-174.28267968889054	179	0.8861386138613861
(0.764, 0.77)	0.764	0.77	3	-1.0	1.9175	-103.75159262835432	182	0.900990099009901
(0.77, 0.776)	0.77	0.776	5	-1.0	1.9324999999999999	-171.57712709346083	187	0.9257425742574258
(0.776, 0.782)	0.776	0.782	6	-1.0	1.9475	-204.30673054158532	193	0.9554455445544554
(0.782, 0.788)	0.782	0.788	2	-1.0	1.9625	-67.58171681184527	195	0.9653465346534653
(0.788, 0.794)	0.788	0.794	3	-1.0	1.9775	-100.60363027300531	198	0.9801980198019802
(0.794, 0.8)	0.794	0.8	4	-1.0	1.9925	-133.1283505578378	202	1.0
