Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.08)	0.0	0.08	58	1.0	0.01	2884.683343540603	58	0.00015425613966031735
(0.08, 0.16)	0.08	0.16	156	1.0	0.03	2586.267825243299	214	0.0005691519635742744
(0.16, 0.24)	0.16	0.24	257	1.0	0.05	2556.4262734135687	471	0.0012526662375863702
(0.24, 0.32)	0.24	0.32	345	1.0	0.07	2451.270328870709	816	0.002170224309703775
(0.32, 0.4)	0.32	0.4	417	1.0	0.09	2304.4309468514	1233	0.00327927276208916
(0.4, 0.48)	0.4	0.48	572	1.0	0.11	2586.2678252433006	1805	0.004800557449773669
(0.48, 0.56)	0.48	0.56	707	1.0	0.13	2704.8688645665848	2512	0.006680886600460641
(0.56, 0.64)	0.56	0.64	824	1.0	0.15000000000000002	2732.159856410871	3336	0.00887238761908308
(0.64, 0.72)	0.64	0.72	873	1.0	0.16999999999999998	2554.085759544572	4209	0.01119420847983234
(0.72, 0.8)	0.72	0.8	972	1.0	0.19	2544.384945482271	5181	0.013779328613450072
(0.8, 0.88)	0.8	0.88	1066	1.0	0.21000000000000002	2524.6900198803664	6247	0.01661445007686211
(0.88, 0.96)	0.88	0.96	1220	1.0	0.22999999999999998	2638.166176251526	7467	0.019859148186958442
(0.96, 1.04)	0.96	1.04	1369	1.0	0.25	2723.538963660056	8836	0.0235001250006649
(1.04, 1.12)	1.04	1.12	1481	1.0	0.27	2728.1072999895473	10317	0.027438975739232655
(1.12, 1.2)	1.12	1.2	1529	1.0	0.29000000000000004	2622.2834912447015	11846	0.0315054867313124
(1.2, 1.28)	1.2	1.28	1704	1.0	0.31	2733.8711998849744	13550	0.03603742573098793
(1.28, 1.36)	1.28	1.36	1870	1.0	0.33	2818.368783918976	15420	0.041010856440725746
(1.36, 1.44)	1.36	1.44	1947	1.0	0.35	2766.7381624992936	17367	0.04618907547380571
(1.44, 1.52)	1.44	1.52	2060	1.0	0.37	2769.080935551556	19427	0.05166782802036181
(1.52, 1.6)	1.52	1.6	2219	1.0	0.39	2829.8463038534865	21646	0.057569455156676365
(1.6, 1.68)	1.6	1.68	2406	1.0	0.41000000000000003	2918.649337493152	24052	0.0639684253639647
(1.68, 1.76)	1.68	1.76	2536	1.0	0.43	2933.262613961091	26588	0.07071314209118133
(1.76, 1.84)	1.76	1.84	2725	1.0	0.45	3011.7862494820447	29313	0.07796052106660142
(1.84, 1.92)	1.84	1.92	2810	1.0	0.47	2973.573072395122	32123	0.0854339650742823
(1.92, 2.0)	1.92	2.0	2995	1.0	0.49	3039.9812153075663	35118	0.09339943297570731
(2.0, 2.08)	2.0	2.08	3252	1.0	0.51	3171.39629249291	38370	0.10204841515114442
(2.08, 2.16)	2.08	2.16	3436	1.0	0.53	3224.389059338163	41806	0.1111867616317108
(2.16, 2.24)	2.16	2.24	3641	1.0	0.55	3292.5178852135823	45447	0.12087032377831797
(2.24, 2.32)	2.24	2.32	3799	1.0	0.5700000000000001	3314.8554210861416	49246	0.13097410092606876
(2.32, 2.4)	2.32	2.4	4179	1.0	0.59	3522.820482950373	53425	0.1420885217474561
(2.4, 2.48)	2.4	2.48	4311	1.0	0.61	3514.9434409280734	57736	0.1535540082660014
(2.48, 2.56)	2.48	2.56	4637	1.0	0.63	3660.721582922216	62373	0.1658865206729823
(2.56, 2.64)	2.56	2.64	4841	1.0	0.65	3704.1782668647343	67214	0.17876158915738913
(2.64, 2.72)	2.64	2.72	5304	1.0	0.67	3937.303256340538	72518	0.19286804717046369
(2.72, 2.8000000000000003)	2.72	2.8000000000000003	5553	1.0	0.6900000000000001	4002.6603215094856	78071	0.20763674274863164
(2.8000000000000003, 2.88)	2.8000000000000003	2.88	6093	1.0	0.71	4268.182518745259	84164	0.22384161617880946
(2.88, 2.96)	2.88	2.96	6497	1.0	0.73	4426.496854743339	90661	0.24112096340937983
(2.96, 3.04)	2.96	3.04	7008	1.0	0.75	4647.32433828334	97669	0.2597593604221299
(3.04, 3.12)	3.04	3.12	7698	1.0	0.77	4972.30012955117	105367	0.2802328735791148
(3.12, 3.2)	3.12	3.2	8173	1.0	0.79	5145.464200514469	113540	0.3019696913281454
(3.2, 3.2800000000000002)	3.2	3.2800000000000002	9122	1.0	0.81	5601.12419322635	122662	0.3262304586726525
(3.2800000000000002, 3.36)	3.2800000000000002	3.36	10151	1.0	0.8300000000000001	6082.762904088253	132813	0.3532279427018229
(3.36, 3.44)	3.36	3.44	11324	1.0	0.85	6625.994763134637	144137	0.38334512417619243
(3.44, 3.52)	3.44	3.52	13336	1.0	0.87	7623.88764753417	157473	0.41881339794360606
(3.52, 3.6)	3.52	3.6	15625	1.0	0.89	8731.727478268467	173098	0.4603694700503726
(3.6, 3.68)	3.6	3.68	18840	1.0	0.91	10296.975026961914	191938	0.5104761195538274
(3.68, 3.7600000000000002)	3.68	3.7600000000000002	24176	1.0	0.93	12929.199946873821	216114	0.5747743339060314
(3.7600000000000002, 3.84)	3.7600000000000002	3.84	33173	1.0	0.95	17367.259628906155	249287	0.6630008670258885
(3.84, 3.92)	3.84	3.92	47497	1.0	0.97	24353.680193414188	296784	0.7893233474646142
(3.92, 4.0)	3.92	4.0	79214	1.0	0.99	39795.76913535787	375998	1.0
(4.00001, 4.400009799999999)	4.00001	4.400009799999999	171347	-1.0	1.0500024749999999	-16232.542493134857	171347	0.45570768240594467
(4.400009799999999, 4.800009599999999)	4.400009799999999	4.800009599999999	40847	-1.0	1.1500024249999998	-3533.147555633014	212194	0.5643427428577508
(4.800009599999999, 5.2000094)	4.800009599999999	5.2000094	22094	-1.0	1.2500023749999998	-1758.1821948827621	234288	0.623103068600699
(5.2000094, 5.6000092)	5.2000094	5.6000092	15060	-1.0	1.350002325	-1109.662274748891	249348	0.663156047042303
(5.6000092, 6.0000089999999995)	5.6000092	6.0000089999999995	11342	-1.0	1.450002275	-778.074756432887	260690	0.6933207802086159
(6.0000089999999995, 6.4000088)	6.0000089999999995	6.4000088	9071	-1.0	1.550002225	-582.1343299338592	269761	0.7174456518848304
(6.4000088, 6.8000086)	6.4000088	6.8000086	7397	-1.0	1.650002175	-445.93490561823074	277158	0.7371184195828746
(6.8000086, 7.2000084)	6.8000086	7.2000084	6346	-1.0	1.750002125	-360.7130526555988	283504	0.7539959893830352
(7.2000084, 7.6000081999999995)	7.2000084	7.6000081999999995	5481	-1.0	1.850002075	-294.70530433425955	288985	0.768573039505109
(7.6000081999999995, 8.000008)	7.6000081999999995	8.000008	4704	-1.0	1.9500020249999999	-239.95655422360676	293689	0.7810836112573869
(8.000008, 8.400007800000001)	8.000008	8.400007800000001	4174	-1.0	2.050001975	-202.53427579688724	297863	0.7921846160392764
(8.400007800000001, 8.8000076)	8.400007800000001	8.8000076	3848	-1.0	2.150001925	-178.03138921372027	301711	0.8024186041563609
(8.8000076, 9.2000074)	8.8000076	9.2000074	3505	-1.0	2.250001875	-154.9549693309342	305216	0.8117403630831751
(9.2000074, 9.6000072)	9.2000074	9.6000072	3211	-1.0	2.350001825	-135.91659066888823	308427	0.8202802112754719
(9.6000072, 10.000007)	9.6000072	10.000007	2903	-1.0	2.450001775	-117.86395308052586	311330	0.8280009148887506
(10.000007, 10.4000068)	10.000007	10.4000068	2661	-1.0	2.550001725	-103.80177177215724	313991	0.8350780049042292
(10.4000068, 10.8000066)	10.4000068	10.8000066	2599	-1.0	2.650001675	-97.55746284523283	316590	0.8419902021797756
(10.8000066, 11.2000064)	10.8000066	11.2000064	2384	-1.0	2.750001625	-86.23303405408575	318974	0.8483305939862023
(11.2000064, 11.6000062)	11.2000064	11.6000062	2110	-1.0	2.850001575	-73.64405970381972	321084	0.8539422662645412
(11.6000062, 12.000005999999999)	11.6000062	12.000005999999999	2029	-1.0	2.950001525	-68.41639280937022	323113	0.8593385141568396
(12.000005999999999, 12.4000058)	12.000005999999999	12.4000058	1913	-1.0	3.050001475	-62.3900432635393	325026	0.8644262530518455
(12.4000058, 12.8000056)	12.4000058	12.8000056	1781	-1.0	3.150001425	-56.24106490964005	326807	0.869162929984415
(12.8000056, 13.2000054)	12.8000056	13.2000054	1752	-1.0	3.250001375	-53.622977258894295	328559	0.8738224796676614
(13.2000054, 13.6000052)	13.2000054	13.6000052	1778	-1.0	3.350001325	-52.79431313101899	330337	0.8785511779192664
(13.6000052, 14.000005)	13.6000052	14.000005	1552	-1.0	3.450001275	-44.747917372675275	331889	0.8826788155382153
(14.000005, 14.4000048)	14.000005	14.4000048	1529	-1.0	3.550001225	-42.8429481847438	333418	0.8867452832697699
(14.4000048, 14.8000046)	14.4000048	14.8000046	1482	-1.0	3.650001175	-40.38829925788663	334900	0.8906867516662146
(14.8000046, 15.200004400000001)	14.8000046	15.200004400000001	1427	-1.0	3.750001125	-37.852358202499644	336327	0.8944819442449774
(15.200004400000001, 15.6000042)	15.200004400000001	15.6000042	1457	-1.0	3.850001075	-37.64428624694042	337784	0.8983569236333849
(15.6000042, 16.000004)	15.6000042	16.000004	1484	-1.0	3.950001025	-37.371201321618706	339268	0.9023037111504726
(16.000004, 16.4000038)	16.000004	16.4000038	1336	-1.0	4.050000975	-32.813435045890195	340604	0.9058568837399801
(16.4000038, 16.8000036)	16.4000038	16.8000036	1183	-1.0	4.1500009250000005	-28.355474375271967	341787	0.9090031436003
(16.8000036, 17.2000034)	16.8000036	17.2000034	1034	-1.0	4.250000875	-24.200920523364356	342821	0.9117531289727182
(17.2000034, 17.6000032)	17.2000034	17.6000032	969	-1.0	4.350000825	-22.158216626122073	343790	0.9143302429242398
(17.6000032, 18.000003)	17.6000032	18.000003	848	-1.0	4.4500007749999995	-18.955538724548976	344638	0.9165855500768613
(18.000003, 18.4000028)	18.000003	18.4000028	838	-1.0	4.550000725	-18.320314250741575	345476	0.9188142616262679
(18.4000028, 18.8000026)	18.4000028	18.8000026	696	-1.0	4.650000674999999	-14.888693507811555	346172	0.9206653156100234
(18.8000026, 19.200002400000002)	18.8000026	19.200002400000002	570	-1.0	4.750000625	-11.93662512959683	346742	0.9221812649932714
(19.200002400000002, 19.6000022)	19.200002400000002	19.6000022	431	-1.0	4.850000575	-8.839665803868868	347173	0.9233275354918324
(19.6000022, 20.000002000000002)	19.6000022	20.000002000000002	398	-1.0	4.950000525	-7.997940947494059	347571	0.9243860404997846
(20.000002000000002, 20.400001800000002)	20.000002000000002	20.400001800000002	356	-1.0	5.050000475000001	-7.012275091705402	347927	0.9253328439742342
(20.400001800000002, 20.8000016)	20.400001800000002	20.8000016	287	-1.0	5.150000425	-5.543384434055614	348214	0.9260961377865011
(20.8000016, 21.2000014)	20.8000016	21.2000014	244	-1.0	5.250000375000001	-4.623074137796529	348458	0.9267450705049441
(21.2000014, 21.6000012)	21.2000014	21.6000012	189	-1.0	5.350000325	-3.5140534412628552	348647	0.9272477274057053
(21.6000012, 22.000001)	21.6000012	22.000001	173	-1.0	5.450000275000001	-3.157547882165866	348820	0.9277078313413226
(22.000001, 22.4000008)	22.000001	22.4000008	139	-1.0	5.550000225	-2.491277843940032	348959	0.9280775102260095
(22.4000008, 22.8000006)	22.4000008	22.8000006	130	-1.0	5.650000175000001	-2.2887336621877754	349089	0.9284232530678028
(22.8000006, 23.2000004)	22.8000006	23.2000004	153	-1.0	5.750000125	-2.64681716728867	349242	0.9288301657969904
(23.2000004, 23.6000002)	23.2000004	23.6000002	377	-1.0	5.8500000750000005	-6.410410553110809	349619	0.9298328200381912
(23.6000002, 24.0)	23.6000002	24.0	26383	-1.0	5.950000025	-441.0700572945536	376002	1.0
