Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.008)	0.0	0.008	5	1.0	0.01	24867.95985810865	5	6.25e-05
(0.008, 0.016)	0.008	0.016	18	1.0	0.03	29841.55182973038	23	0.0002875
(0.016, 0.024)	0.016	0.024	47	1.0	0.049999999999999996	46751.76453324425	70	0.000875
(0.024, 0.032)	0.024	0.032	63	1.0	0.06999999999999999	44762.32774459557	133	0.0016625
(0.032, 0.04)	0.032	0.04	87	1.0	0.09000000000000001	48078.055725676706	220	0.00275
(0.04, 0.048)	0.04	0.048	106	1.0	0.10999999999999999	47927.34081744576	326	0.004075
(0.048, 0.056)	0.048	0.056	135	1.0	0.13	51648.839705302555	461	0.0057625
(0.056, 0.064)	0.056	0.064	163	1.0	0.15	54046.36609162282	624	0.0078
(0.064, 0.07200000000000001)	0.064	0.07200000000000001	198	1.0	0.17	57927.71825771184	822	0.010275
(0.07200000000000001, 0.08)	0.07200000000000001	0.08	196	1.0	0.19000000000000003	51306.52770725577	1018	0.012725
(0.08, 0.088)	0.08	0.088	221	1.0	0.20999999999999996	52341.13455849539	1239	0.0154875
(0.088, 0.096)	0.088	0.096	248	1.0	0.22999999999999998	53628.29604183426	1487	0.0185875
(0.096, 0.10400000000000001)	0.096	0.10400000000000001	282	1.0	0.25	56102.11743989302	1769	0.0221125
(0.10400000000000001, 0.112)	0.10400000000000001	0.112	295	1.0	0.27	54341.09746771894	2064	0.0258
(0.112, 0.12)	0.112	0.12	351	1.0	0.29	60197.61317376651	2415	0.0301875
(0.12, 0.128)	0.12	0.128	372	1.0	0.31	59683.103659460765	2787	0.0348375
(0.128, 0.136)	0.128	0.136	406	1.0	0.33	61190.252741770295	3193	0.0399125
(0.136, 0.14400000000000002)	0.136	0.14400000000000002	427	1.0	0.35000000000000003	60677.822053785036	3620	0.04525
(0.14400000000000002, 0.152)	0.14400000000000002	0.152	514	1.0	0.37000000000000005	69092.60198415066	4134	0.051675
(0.152, 0.16)	0.152	0.16	520	1.0	0.38999999999999996	66314.559621623	4654	0.058175
(0.16, 0.168)	0.16	0.168	586	1.0	0.41	71085.97305781297	5240	0.0655
(0.168, 0.176)	0.168	0.176	611	1.0	0.42999999999999994	70671.27196885775	5851	0.0731375
(0.176, 0.184)	0.176	0.184	669	1.0	0.44999999999999996	73940.7339781097	6520	0.0815
(0.184, 0.192)	0.184	0.192	699	1.0	0.47	73968.95293965073	7219	0.0902375
(0.192, 0.2)	0.192	0.2	743	1.0	0.49	75415.89459010075	7962	0.099525
(0.2, 0.20800000000000002)	0.2	0.20800000000000002	810	1.0	0.51	78992.34307869799	8772	0.10965
(0.20800000000000002, 0.216)	0.20800000000000002	0.216	857	1.0	0.53	80422.04376754416	9629	0.1203625
(0.216, 0.224)	0.216	0.224	1064	1.0	0.5499999999999999	96216.39741464556	10693	0.1336625
(0.224, 0.232)	0.224	0.232	1017	1.0	0.57	88739.35149367194	11710	0.146375
(0.232, 0.24)	0.232	0.24	1073	1.0	0.59	90451.93534830718	12783	0.1597875
(0.24, 0.248)	0.24	0.248	1232	1.0	0.61	100450.25096783563	14015	0.1751875
(0.248, 0.256)	0.248	0.256	1257	1.0	0.63	99235.0017195002	15272	0.1909
(0.256, 0.264)	0.256	0.264	1407	1.0	0.65	107659.1369857193	16679	0.2084875
(0.264, 0.272)	0.264	0.272	1505	1.0	0.67	111720.23757150302	18184	0.2273
(0.272, 0.28)	0.272	0.28	1630	1.0	0.6900000000000001	117492.1001991799	19814	0.247675
(0.28, 0.28800000000000003)	0.28	0.28800000000000003	1843	1.0	0.7100000000000001	129103.23948871598	21657	0.2707125
(0.28800000000000003, 0.296)	0.28800000000000003	0.296	1920	1.0	0.7300000000000001	130812.28199333954	23577	0.2947125
(0.296, 0.304)	0.296	0.304	2109	1.0	0.7499999999999999	139857.40624200267	25686	0.321075
(0.304, 0.312)	0.304	0.312	2320	1.0	0.7699999999999999	149853.68018392738	28006	0.350075
(0.312, 0.32)	0.312	0.32	2597	1.0	0.7899999999999999	163498.96645951417	30603	0.3825375
(0.32, 0.328)	0.32	0.328	2747	1.0	0.8099999999999999	168672.31044499838	33350	0.416875
(0.328, 0.336)	0.328	0.336	3196	1.0	0.83	191513.25230485608	36546	0.456825
(0.336, 0.34400000000000003)	0.336	0.34400000000000003	3545	1.0	0.85	207428.04163998808	40091	0.5011375
(0.34400000000000003, 0.352)	0.34400000000000003	0.352	3924	1.0	0.8699999999999999	224326.14823728506	44015	0.5501875
(0.352, 0.36)	0.352	0.36	4596	1.0	0.8899999999999999	256838.52473678027	48611	0.6076375
(0.36, 0.368)	0.36	0.368	5207	1.0	0.9099999999999999	284587.839519059	53818	0.672725
(0.368, 0.376)	0.368	0.376	6212	1.0	0.9299999999999999	332214.55191090447	60030	0.750375
(0.376, 0.384)	0.376	0.384	6648	1.0	0.95	348046.7308141184	66678	0.833475
(0.384, 0.392)	0.384	0.392	7038	1.0	0.97	360867.4257347797	73716	0.92145
(0.392, 0.4)	0.392	0.4	6284	1.0	0.99	315697.49444112025	80000	1.0
(0.5, 0.506)	0.5	0.506	4392	-1.0	1.2574999999999998	-231613.15774009476	4392	0.0549
(0.506, 0.512)	0.506	0.512	5102	-1.0	1.2725	-265883.601720645	9494	0.118675
(0.512, 0.518)	0.512	0.518	4805	-1.0	1.2874999999999999	-247488.51183060027	14299	0.1787375
(0.518, 0.524)	0.518	0.524	4526	-1.0	1.3025	-230433.5484433507	18825	0.2353125
(0.524, 0.53)	0.524	0.53	4038	-1.0	1.3175	-203247.204365931	22863	0.2857875
(0.53, 0.536)	0.53	0.536	3484	-1.0	1.3325	-173388.31198629213	26347	0.3293375
(0.536, 0.542)	0.536	0.542	3235	-1.0	1.3475	-159204.15612315506	29582	0.369775
(0.542, 0.548)	0.542	0.548	2911	-1.0	1.3625	-141681.96921727955	32493	0.4061625
(0.548, 0.554)	0.548	0.554	2630	-1.0	1.3775	-126611.46410516767	35123	0.4390375
(0.554, 0.56)	0.554	0.56	2415	-1.0	1.3925	-115008.73356281541	37538	0.469225
(0.56, 0.5660000000000001)	0.56	0.5660000000000001	2267	-1.0	1.4075	-106810.02249535956	39805	0.4975625
(0.5660000000000001, 0.5720000000000001)	0.5660000000000001	0.5720000000000001	2092	-1.0	1.4225	-97525.52458940979	41897	0.5237125
(0.5720000000000001, 0.5780000000000001)	0.5720000000000001	0.5780000000000001	1840	-1.0	1.4375	-84882.6363156773	43737	0.5467125
(0.5780000000000001, 0.5840000000000001)	0.5780000000000001	0.5840000000000001	1790	-1.0	1.4525000000000001	-81723.2782944617	45527	0.5690875
(0.5840000000000001, 0.59)	0.5840000000000001	0.59	1688	-1.0	1.4674999999999998	-76278.68936374894	47215	0.5901875
(0.59, 0.596)	0.59	0.596	1633	-1.0	1.4825	-73046.66162705584	48848	0.6106
(0.596, 0.602)	0.596	0.602	1518	-1.0	1.4974999999999998	-67222.37162312133	50366	0.629575
(0.602, 0.608)	0.602	0.608	1351	-1.0	1.5125	-59233.69920582625	51717	0.6464625
