Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.008)	0.0	0.008	22	1.0	0.01	109419.02337567805	22	0.000275
(0.008, 0.016)	0.008	0.016	75	1.0	0.03	124339.79929054323	97	0.0012125
(0.016, 0.024)	0.016	0.024	93	1.0	0.049999999999999996	92508.81067216415	190	0.002375
(0.024, 0.032)	0.024	0.032	151	1.0	0.06999999999999999	107287.48395926875	341	0.0042625
(0.032, 0.04)	0.032	0.04	182	1.0	0.09000000000000001	100577.08209279495	523	0.0065375
(0.04, 0.048)	0.04	0.048	211	1.0	0.10999999999999999	95402.53691019863	734	0.009175
(0.048, 0.056)	0.048	0.056	220	1.0	0.13	84168.47951975232	954	0.011925
(0.056, 0.064)	0.056	0.064	313	1.0	0.15	103782.28580784015	1267	0.0158375
(0.064, 0.07200000000000001)	0.064	0.07200000000000001	357	1.0	0.17	104445.43140405619	1624	0.0203
(0.07200000000000001, 0.08)	0.07200000000000001	0.08	356	1.0	0.19000000000000003	93189.40746828089	1980	0.02475
(0.08, 0.088)	0.08	0.088	463	1.0	0.20999999999999996	109655.86108861251	2443	0.0305375
(0.088, 0.096)	0.088	0.096	473	1.0	0.22999999999999998	102283.0001120468	2916	0.03645
(0.096, 0.10400000000000001)	0.096	0.10400000000000001	554	1.0	0.25	110214.79809113736	3470	0.043375
(0.10400000000000001, 0.112)	0.10400000000000001	0.112	587	1.0	0.27	108129.57360525768	4057	0.0507125
(0.112, 0.12)	0.112	0.12	602	1.0	0.29	103244.9092040098	4659	0.0582375
(0.12, 0.128)	0.12	0.128	676	1.0	0.31	108456.39267149322	5335	0.0666875
(0.128, 0.136)	0.128	0.136	699	1.0	0.33	105349.72085344196	6034	0.075425
(0.136, 0.14400000000000002)	0.136	0.14400000000000002	754	1.0	0.35000000000000003	107145.381331508	6788	0.08485
(0.14400000000000002, 0.152)	0.14400000000000002	0.152	837	1.0	0.37000000000000005	112510.71568236206	7625	0.0953125
(0.152, 0.16)	0.152	0.16	899	1.0	0.38999999999999996	114647.67134584438	8524	0.10655
(0.16, 0.168)	0.16	0.168	1001	1.0	0.41	121428.42838032557	9525	0.1190625
(0.168, 0.176)	0.168	0.176	971	1.0	0.42999999999999994	112310.64661499324	10496	0.1312
(0.176, 0.184)	0.176	0.184	1059	1.0	0.44999999999999996	117045.19773216468	11555	0.1444375
(0.184, 0.192)	0.184	0.192	1152	1.0	0.47	121905.91385762181	12707	0.1588375
(0.192, 0.2)	0.192	0.2	1217	1.0	0.49	123527.784274768	13924	0.17405
(0.2, 0.20800000000000002)	0.2	0.20800000000000002	1232	1.0	0.51	120146.37860858756	15156	0.18945
(0.20800000000000002, 0.216)	0.20800000000000002	0.216	1339	1.0	0.53	125653.57830191556	16495	0.2061875
(0.216, 0.224)	0.216	0.224	1397	1.0	0.5499999999999999	126329.23607919159	17892	0.22365
(0.224, 0.232)	0.224	0.232	1516	1.0	0.57	132280.09524523764	19408	0.2426
(0.232, 0.24)	0.232	0.24	1609	1.0	0.59	135635.75393795548	21017	0.2627125
(0.24, 0.248)	0.24	0.248	1761	1.0	0.61	143581.89282009623	22778	0.284725
(0.248, 0.256)	0.248	0.256	1780	1.0	0.63	140523.7096743917	24558	0.306975
(0.256, 0.264)	0.256	0.264	1841	1.0	0.65	140867.42799623968	26399	0.3299875
(0.264, 0.272)	0.264	0.272	1937	1.0	0.67	143788.770881064	28336	0.3542
(0.272, 0.28)	0.272	0.28	2046	1.0	0.6900000000000001	147477.81411504422	30382	0.379775
(0.28, 0.28800000000000003)	0.28	0.28800000000000003	2235	1.0	0.7100000000000001	156563.07121935984	32617	0.4077125
(0.28800000000000003, 0.296)	0.28800000000000003	0.296	2385	1.0	0.7300000000000001	162493.38153860145	35002	0.437525
(0.296, 0.304)	0.296	0.304	2459	1.0	0.7499999999999999	163067.50210957066	37461	0.4682625
(0.304, 0.312)	0.304	0.312	2570	1.0	0.7699999999999999	166001.7060658161	40031	0.5003875
(0.312, 0.32)	0.312	0.32	2797	1.0	0.7899999999999999	176090.33853956914	42828	0.53535
(0.32, 0.328)	0.32	0.328	2857	1.0	0.8099999999999999	175426.5711472007	45685	0.5710625
(0.328, 0.336)	0.328	0.336	3014	1.0	0.83	180607.30364419156	48699	0.6087375
(0.336, 0.34400000000000003)	0.336	0.34400000000000003	3054	1.0	0.85	178698.23389803202	51753	0.6469125
(0.34400000000000003, 0.352)	0.34400000000000003	0.352	3501	1.0	0.8699999999999999	200144.20106491717	55254	0.690675
(0.352, 0.36)	0.352	0.36	3683	1.0	0.8899999999999999	205817.2947357619	58937	0.7367125
(0.36, 0.368)	0.36	0.368	3937	1.0	0.9099999999999999	215176.17134367872	62874	0.785925
(0.368, 0.376)	0.368	0.376	4141	1.0	0.9299999999999999	221458.54144608104	67015	0.8376875
(0.376, 0.384)	0.376	0.384	4334	1.0	0.95	226900.50110535335	71349	0.8918625
(0.384, 0.392)	0.384	0.392	4491	1.0	0.97	230272.18087168166	75840	0.948
(0.392, 0.4)	0.392	0.4	4160	1.0	0.99	208991.33941359966	80000	1.0
(0.5, 0.506)	0.5	0.506	2308	-1.0	1.2574999999999998	-121712.92533336491	2308	0.02885
(0.506, 0.512)	0.506	0.512	2388	-1.0	1.2725	-124447.28359641321	4696	0.0587
(0.512, 0.518)	0.512	0.518	2460	-1.0	1.2874999999999999	-126705.87702461533	7156	0.08945
(0.518, 0.524)	0.518	0.524	2338	-1.0	1.3025	-119035.27093693193	9494	0.118675
(0.524, 0.53)	0.524	0.53	2160	-1.0	1.3175	-108720.64423734792	11654	0.145675
(0.53, 0.536)	0.53	0.536	2113	-1.0	1.3325	-105157.72193657729	13767	0.1720875
(0.536, 0.542)	0.536	0.542	2164	-1.0	1.3475	-106496.99964467004	15931	0.1991375
(0.542, 0.548)	0.542	0.548	2059	-1.0	1.3625	-100214.07578783187	17990	0.224875
(0.548, 0.554)	0.548	0.554	2053	-1.0	1.3775	-98833.96798779818	20043	0.2505375
(0.554, 0.56)	0.554	0.56	1909	-1.0	1.3925	-90911.66557822551	21952	0.2744
(0.56, 0.5660000000000001)	0.56	0.5660000000000001	1816	-1.0	1.4075	-85561.09433240978	23768	0.2971
(0.5660000000000001, 0.5720000000000001)	0.5660000000000001	0.5720000000000001	1797	-1.0	1.4225	-83773.12030935439	25565	0.3195625
(0.5720000000000001, 0.5780000000000001)	0.5720000000000001	0.5780000000000001	1794	-1.0	1.4375	-82760.57040778537	27359	0.3419875
(0.5780000000000001, 0.5840000000000001)	0.5780000000000001	0.5840000000000001	1771	-1.0	1.4525000000000001	-80855.82450250932	29130	0.364125
(0.5840000000000001, 0.59)	0.5840000000000001	0.59	1774	-1.0	1.4674999999999998	-80164.92590716269	30904	0.3863
