Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.0, 0.04)	0.0	0.04	9	1.0	0.01	1790.4931097838225	9	0.00018
(0.04, 0.08)	0.04	0.08	20	1.0	0.03	1326.291192432461	29	0.00058
(0.08, 0.12)	0.08	0.12	29	1.0	0.05	1153.8733374162412	58	0.00116
(0.12, 0.16)	0.12	0.16	46	1.0	0.07	1307.3441753977115	104	0.00208
(0.16, 0.2)	0.16	0.2	73	1.0	0.09	1613.6542841261605	177	0.00354
(0.2, 0.24)	0.2	0.24	80	1.0	0.11	1446.8631190172312	257	0.00514
(0.24, 0.28)	0.24	0.28	102	1.0	0.13	1560.9427110935878	359	0.00718
(0.28, 0.32)	0.28	0.32	129	1.0	0.15000000000000002	1710.9156382378756	488	0.00976
(0.32, 0.36)	0.32	0.36	136	1.0	0.16999999999999998	1591.5494309189542	624	0.01248
(0.36, 0.4)	0.36	0.4	138	1.0	0.19	1444.9593517553637	762	0.01524
(0.4, 0.44)	0.4	0.44	168	1.0	0.21000000000000002	1591.5494309189553	930	0.0186
(0.44, 0.48)	0.44	0.48	178	1.0	0.22999999999999998	1539.6510799107266	1108	0.02216
(0.48, 0.52)	0.48	0.52	170	1.0	0.25	1352.817016281109	1278	0.02556
(0.52, 0.56)	0.52	0.56	188	1.0	0.27	1385.237467651681	1466	0.02932
(0.56, 0.6)	0.56	0.6	212	1.0	0.29000000000000004	1454.3468937707696	1678	0.03356
(0.6, 0.64)	0.6	0.64	242	1.0	0.31	1553.0442027515583	1920	0.0384
(0.64, 0.68)	0.64	0.68	256	1.0	0.33	1543.3206602850437	2176	0.04352
(0.68, 0.72)	0.68	0.72	299	1.0	0.35	1699.5474280170288	2475	0.0495
(0.72, 0.76)	0.72	0.76	259	1.0	0.37	1392.6057520540835	2734	0.05468
(0.76, 0.8)	0.76	0.8	332	1.0	0.39	1693.571830336832	3066	0.06132
(0.8, 0.84)	0.8	0.84	337	1.0	0.41000000000000003	1635.219994572223	3403	0.06806
(0.84, 0.88)	0.84	0.88	328	1.0	0.43	1517.5238759924887	3731	0.07462
(0.88, 0.92)	0.88	0.92	379	1.0	0.45	1675.547873106341	4110	0.0822
(0.92, 0.96)	0.92	0.96	388	1.0	0.47	1642.3435616929642	4498	0.08996
(0.96, 1.0)	0.96	1.0	413	1.0	0.49	1676.8110075753254	4911	0.09822
(1.0, 1.04)	1.0	1.04	465	1.0	0.51	1813.8982484738046	5376	0.10752
(1.04, 1.08)	1.04	1.08	461	1.0	0.53	1730.4346406925415	5837	0.11674
(1.08, 1.12)	1.08	1.12	501	1.0	0.55	1812.1960565690795	6338	0.12676
(1.12, 1.16)	1.12	1.16	541	1.0	0.5700000000000001	1888.2198292262203	6879	0.13758
(1.16, 1.2)	1.16	1.2	519	1.0	0.59	1750.0299886587638	7398	0.14796
(1.2, 1.24)	1.2	1.24	603	1.0	0.61	1966.6071861559994	8001	0.16002
(1.24, 1.28)	1.24	1.28	662	1.0	0.63	2090.4875461673555	8663	0.17326
(1.28, 1.32)	1.28	1.32	709	1.0	0.65	2170.0164356183404	9372	0.18744
(1.32, 1.36)	1.32	1.36	690	1.0	0.67	2048.8229614441716	10062	0.20124
(1.36, 1.4000000000000001)	1.36	1.4000000000000001	753	1.0	0.6900000000000001	2171.0810171774842	10815	0.2163
(1.4000000000000001, 1.44)	1.4000000000000001	1.44	852	1.0	0.71	2387.324146378441	11667	0.23334
(1.44, 1.48)	1.44	1.48	906	1.0	0.73	2469.0818226242664	12573	0.25146
(1.48, 1.52)	1.48	1.52	1059	1.0	0.75	2809.0847455719504	13632	0.27264
(1.52, 1.56)	1.52	1.56	1089	1.0	0.77	2813.632029660288	14721	0.29442
(1.56, 1.6)	1.56	1.6	1078	1.0	0.79	2714.699820459854	15799	0.31598
(1.6, 1.6400000000000001)	1.6	1.6400000000000001	1149	1.0	0.81	2822.0529261201827	16948	0.33896
