u/R	Sigma
0.015	1.2769107465934009
0.025	1.2771748553892133
0.035	1.2775540641114103
0.045	1.2780748950848366
0.055	1.2787135811755888
0.065	1.2794935706496433
0.075	1.280393756684287
0.085	1.2814359434157874
0.095	1.2826008108970237
0.105	1.2839091214754637
0.115	1.2853429234597609
0.125	1.286922271473322
0.135	1.2886303431965875
0.145	1.290486700953567
0.155	1.2924755032923056
0.165	1.2946159742500638
0.175	1.2968931574204212
0.185	1.299326057901294
0.195	1.3019005427401273
0.205	1.3046354970942378
0.215	1.3075175742475673
0.225	1.3105656265780075
0.235	1.3137670752322452
0.245	1.3171408207262056
0.255	1.3206750494234092
0.265	1.3243887886741077
0.275	1.3282710015490435
0.285	1.332340921888593
0.295	1.336588314524491
0.305	1.341032703208629
0.315	1.3456646933660419
0.325	1.350504188536113
0.335	1.355542688245865
0.345	1.3608005749507963
0.355	1.3662703120581579
0.365	1.3719728724081166
0.375	1.377901771631486
0.385	1.3840787003653103
0.395	1.3904983364912176
0.405	1.3971832361201462
0.415	1.4041293752615156
0.425	1.4113603487178237
0.435	1.4188735977994713
0.445	1.4266939614119099
0.455	1.4348205517023407
0.465	1.443279697738772
0.475	1.4520724356758021
0.485	1.4612268823366432
0.495	1.470746310856302
0.505	1.4806609891637037
0.515	1.490976816223216
0.525	1.5017266589482277
0.535	1.5129195283666108
0.545	1.5245914478600575
0.555	1.5367551531205639
0.565	1.5494505250429638
0.575	1.5626948025129082
0.585	1.5765326151051122
0.595	1.5909867040739216
0.605	1.6061075937559182
0.615	1.6219248243225515
0.625	1.638496307404314
0.635	1.6558600854424124
0.645	1.674083427850109
0.655	1.693215148201343
0.665	1.7133345147373493
0.675	1.734504181262277
0.685	1.7568190143017341
0.695	1.78035973206102
0.705	1.805241797419818
0.715	1.831569921810522
0.725	1.859487252048187
0.735	1.8891310010274083
0.745	1.9206822929806888
0.755	1.9543233664264565
0.765	1.9902886873919414
0.775	2.028824504641893
0.785	2.0702422987454883
0.795	2.114882109332505
0.805	2.1631702893327076
0.815	2.2155893169755245
0.825	2.272743705977398
0.835	2.3353418056002693
0.845	2.404277935714291
0.855	2.480638198548436
0.865	2.56581723226842
0.875	2.6615768652793848
0.885	2.7702441021301483
0.895	2.8949005534313934
0.905	3.039797287799036
0.915	3.2109223307441894
0.925	3.4171092543793415
0.935	3.6719672420883147
0.945	3.9978975369435004
0.955	4.434949958318463
0.965	5.064005529952469
0.975	6.08171678967443
0.985	8.149013014722957
0.995	15.631457781468582
