u/R	Sigma
0.025	1.1226295342286559
0.075	1.1265381059229531
0.125	1.1345256816421943
0.175	1.1467589137788725
0.225	1.1635634518252884
0.275	1.1854059951424833
0.325	1.2129321219792588
0.375	1.2470204381522108
0.425	1.288864731775702
0.475	1.3401004150963558
0.525	1.4030044902009733
0.575	1.4808235162522416
0.625	1.5783369846526942
0.675	1.7028833660434346
0.725	1.8663691225496923
0.775	2.0896633879413895
0.825	2.4125378087773584
0.875	2.938302971677234
0.925	3.7528986773217072
0.975	9.231588513151566
1.26875	-6.595664431258068
1.30625	-2.538656142570144
1.34375	-1.9037336517976704
1.38125	-1.4988668950672075
1.41875	-1.2505943242543287
1.45625	-1.080895201627937
1.4937500000000001	-0.9590683753908821
1.53125	-0.8689663296206404
1.56875	-0.8014171664837085
1.60625	-0.7508971339231981
1.64375	-0.7140230837496392
1.6812500000000001	-0.6888234417588329
1.71875	-0.6744156001891164
1.75625	-0.6709656353847854
1.7937500000000002	-0.6799620236342112
1.83125	-0.7050720039312246
1.8687500000000001	-0.754264559791351
1.90625	-0.8497733318189609
1.94375	-1.0093123110983329
1.9812500000000002	-2.2374867921480996
