u/R	q/Q
0.025	0.00028460696662650515
0.075	0.0025658979941485527
0.125	0.007152585250752848
0.175	0.014094062901295659
0.225	0.023466992664429885
0.275	0.03537882266022889
0.325	0.04997291231599846
0.375	0.06743592139345005
0.425	0.08800836106261199
0.475	0.11199977165860481
0.525	0.13981094106688322
0.575	0.17196729261845395
0.625	0.20917083919631388
0.675	0.2523847472561491
0.725	0.30297902791180253
0.775	0.3630029904535635
0.825	0.43571276108774276
0.875	0.527358930765827
0.925	0.6421113954626773
0.975	0.8712485190444395
1.26875	0.13794748210936503
1.30625	0.2738533467461501
1.34375	0.34371847669126365
1.38125	0.40223980705442824
1.41875	0.45095126083469633
1.45625	0.49347915864528097
1.4937500000000001	0.5317111979108332
1.53125	0.5668715221869935
1.56875	0.599813985669292
1.60625	0.6311800083095758
1.64375	0.6614865770347123
1.6812500000000001	0.6911827156989631
1.71875	0.7206923440980768
1.75625	0.7504551312700012
1.7937500000000002	0.7809770821407078
1.83125	0.8129109425383728
1.8687500000000001	0.8472007131015054
1.90625	0.8855915929197534
1.94375	0.9289179746584761
1.9812500000000002	1.0037089124957363
